[2026-05-12 10:27:39] PAMAP2 class 1 (sitting) start T=0.8
[2026-05-12 10:27:39]   1989 windows
[2026-05-12 10:28:02] #0001/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 16:32:43] #0952/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 16:33:29] #0953/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.834 conf=0.620 gap=0.280
[2026-05-12 16:33:46] #0954/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.824 conf=0.600 gap=0.250
[2026-05-12 16:34:07] #0955/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 16:34:40] #0956/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.707 conf=0.800 gap=0.680
[2026-05-12 16:35:05] #0957/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 16:35:23] #0958/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.825 conf=0.750 gap=0.600
[2026-05-12 16:35:47] #0959/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 16:36:11] #0960/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 16:36:11]   [960/1989] acc=697/960=73% filt=903
[2026-05-12 16:36:47] #0961/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 16:36:56] #0962/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.186 conf=0.450 gap=0.100
[2026-05-12 16:37:21] #0963/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-12 16:37:45] #0964/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.948 conf=0.700 gap=0.550
[2026-05-12 16:37:57] #0965/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 16:38:28] #0966/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=0.772 conf=0.720 gap=0.490
[2026-05-12 16:38:49] #0967/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 16:39:00] #0968/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 16:39:21] #0969/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 16:39:46] #0970/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.698 conf=0.820 gap=0.740
[2026-05-12 16:40:09] #0971/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.999 conf=0.650 gap=0.430
[2026-05-12 16:40:25] #0972/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 16:40:37] #0973/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.108 conf=0.550 gap=0.330
[2026-05-12 16:40:59] #0974/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 16:41:23] #0975/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.613 conf=0.850 gap=0.790
[2026-05-12 16:41:44] #0976/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 16:42:10] #0977/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.496 conf=0.880 gap=0.810
[2026-05-12 16:42:19] #0978/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.198 conf=0.500 gap=0.250
[2026-05-12 16:42:42] #0979/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 16:43:23] #0980/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.622 conf=0.850 gap=0.800
[2026-05-12 16:43:23]   [980/1989] acc=712/980=73% filt=921
[2026-05-12 16:43:36] #0981/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.102 conf=0.600 gap=0.350
[2026-05-12 16:43:50] #0982/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 16:44:17] #0983/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 16:44:27] #0984/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 16:44:54] #0985/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.376 conf=0.920 gap=0.880
[2026-05-12 16:45:19] #0986/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 16:45:30] #0987/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.143 conf=0.550 gap=0.300
[2026-05-12 16:45:52] #0988/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=0.790 conf=0.720 gap=0.500
[2026-05-12 16:46:14] #0989/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 16:46:34] #0990/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=1.102 conf=0.600 gap=0.350
[2026-05-12 16:47:03] #0991/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.140 conf=0.450 gap=0.050
[2026-05-12 16:47:32] #0992/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 16:47:52] #0993/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 16:48:04] #0994/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.088 conf=0.600 gap=0.400
[2026-05-12 16:48:15] #0995/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 16:48:47] #0996/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.152 conf=0.450 gap=0.170
[2026-05-12 16:49:07] #0997/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.825 conf=0.750 gap=0.600
[2026-05-12 16:49:22] #0998/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 16:49:44] #0999/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 16:49:55] #1000/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.016 conf=0.650 gap=0.450
[2026-05-12 16:49:55]   [1000/1989] acc=729/1000=73% filt=939
[2026-05-12 16:50:13] #1001/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.590 conf=0.850 gap=0.760
[2026-05-12 16:50:53] #1002/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.444 conf=0.900 gap=0.860
[2026-05-12 16:50:58] #1003/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 16:51:22] #1004/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.511 conf=0.880 gap=0.820
[2026-05-12 16:51:46] #1005/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.033 conf=0.650 gap=0.500
[2026-05-12 16:52:10] #1006/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 16:52:46] #1007/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 16:52:58] #1008/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 16:53:20] #1009/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=1.029 conf=0.550 gap=0.200
[2026-05-12 16:53:44] #1010/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 16:54:10] #1011/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.733 conf=0.800 gap=0.700
[2026-05-12 16:54:29] #1012/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.907 conf=0.720 gap=0.570
[2026-05-12 16:54:46] #1013/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.613 conf=0.850 gap=0.780
[2026-05-12 16:55:07] #1014/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.223 conf=0.960 gap=0.950
[2026-05-12 16:55:30] #1015/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 16:56:01] #1016/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 16:56:24] #1017/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-12 16:56:46] #1018/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.622 conf=0.850 gap=0.800
[2026-05-12 16:57:10] #1019/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 16:57:34] #1020/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 16:57:34]   [1020/1989] acc=742/1020=73% filt=959
[2026-05-12 16:57:44] #1021/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.176 conf=0.500 gap=0.200
[2026-05-12 16:57:50] #1022/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.010 conf=0.700 gap=0.600
[2026-05-12 16:58:12] #1023/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 16:58:24] #1024/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.172 conf=0.400 gap=0.050
[2026-05-12 16:58:34] #1025/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.198 conf=0.500 gap=0.250
[2026-05-12 16:59:03] #1026/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 16:59:22] #1027/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 16:59:44] #1028/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 17:00:07] #1029/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 17:00:21] #1030/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 17:00:44] #1031/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 17:01:09] #1032/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.582 conf=0.850 gap=0.770
[2026-05-12 17:01:21] #1033/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.825 conf=0.750 gap=0.630
[2026-05-12 17:01:44] #1034/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.442 conf=0.900 gap=0.850
[2026-05-12 17:01:57] #1035/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.155 conf=0.500 gap=0.150
[2026-05-12 17:02:10] #1036/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.239 conf=0.400 gap=0.050
[2026-05-12 17:02:33] #1037/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 17:02:46] #1038/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 17:03:13] #1039/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 17:03:24] #1040/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 17:03:24]   [1040/1989] acc=760/1040=73% filt=974
[2026-05-12 17:03:35] #1041/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.067 conf=0.600 gap=0.350
[2026-05-12 17:04:02] #1042/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.094 conf=0.650 gap=0.500
[2026-05-12 17:04:21] #1043/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 17:04:43] #1044/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.490 conf=0.880 gap=0.830
[2026-05-12 17:05:03] #1045/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.552 conf=0.850 gap=0.750
[2026-05-12 17:05:14] #1046/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.043 conf=0.450 gap=0.000
[2026-05-12 17:05:30] #1047/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 17:05:52] #1048/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 17:06:14] #1049/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.453 conf=0.900 gap=0.860
[2026-05-12 17:06:35] #1050/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 17:06:46] #1051/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.051 conf=0.650 gap=0.450
[2026-05-12 17:07:07] #1052/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=0.790 conf=0.720 gap=0.500
[2026-05-12 17:07:33] #1053/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 17:07:54] #1054/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 17:08:08] #1055/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.667 conf=0.820 gap=0.720
[2026-05-12 17:08:32] #1056/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.647 conf=0.820 gap=0.700
[2026-05-12 17:08:56] #1057/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 17:09:15] #1058/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 17:09:29] #1059/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.647 conf=0.820 gap=0.700
[2026-05-12 17:09:40] #1060/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.010 conf=0.700 gap=0.600
[2026-05-12 17:09:40]   [1060/1989] acc=771/1060=73% filt=993
[2026-05-12 17:09:49] #1061/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 17:10:03] #1062/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.104 conf=0.550 gap=0.250
[2026-05-12 17:10:14] #1063/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.104 conf=0.550 gap=0.250
[2026-05-12 17:10:34] #1064/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 17:10:53] #1065/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 17:11:05] #1066/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 17:11:31] #1067/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 17:11:55] #1068/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.783 conf=0.780 gap=0.680
[2026-05-12 17:12:18] #1069/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 17:12:36] #1070/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 17:12:58] #1071/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 17:13:24] #1072/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 17:13:46] #1073/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 17:14:11] #1074/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=1.029 conf=0.550 gap=0.200
[2026-05-12 17:14:24] #1075/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.029 conf=0.550 gap=0.200
[2026-05-12 17:14:52] #1076/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.675 conf=0.820 gap=0.740
[2026-05-12 17:15:05] #1077/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.278 conf=0.550 gap=0.400
[2026-05-12 17:15:23] #1078/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 17:15:41] #1079/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.144 conf=0.550 gap=0.300
[2026-05-12 17:15:52] #1080/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.029 conf=0.550 gap=0.200
[2026-05-12 17:15:52]   [1080/1989] acc=783/1080=72% filt=1013
[2026-05-12 17:16:13] #1081/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 17:16:45] #1082/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 17:17:02] #1083/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 17:17:14] #1084/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.939 conf=0.700 gap=0.550
[2026-05-12 17:17:22] #1085/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.143 conf=0.550 gap=0.300
[2026-05-12 17:17:44] #1086/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 17:17:58] #1087/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 17:18:22] #1088/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 17:18:43] #1089/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 17:19:05] #1090/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 17:19:17] #1091/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=0.780 conf=0.700 gap=0.450
[2026-05-12 17:19:35] #1092/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 17:19:43] #1093/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.344 conf=0.400 gap=0.050
[2026-05-12 17:20:08] #1094/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.985 conf=0.550 gap=0.180
[2026-05-12 17:20:28] #1095/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 17:20:38] #1096/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.062 conf=0.550 gap=0.300
[2026-05-12 17:20:57] #1097/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.307 conf=0.940 gap=0.920
[2026-05-12 17:21:12] #1098/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 17:21:33] #1099/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 17:21:44] #1100/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.594 conf=0.820 gap=0.680
[2026-05-12 17:21:44]   [1100/1989] acc=795/1100=72% filt=1032
[2026-05-12 17:22:05] #1101/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=0.988 conf=0.550 gap=0.200
[2026-05-12 17:22:25] #1102/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.552 conf=0.850 gap=0.750
[2026-05-12 17:22:46] #1103/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.582 conf=0.850 gap=0.770
[2026-05-12 17:23:10] #1104/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.731 conf=0.780 gap=0.630
[2026-05-12 17:23:30] #1105/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 17:23:43] #1106/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 17:24:06] #1107/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.961 conf=0.650 gap=0.400
[2026-05-12 17:24:29] #1108/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.608 conf=0.820 gap=0.680
[2026-05-12 17:24:51] #1109/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 17:25:03] #1110/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.743 conf=0.800 gap=0.700
[2026-05-12 17:25:28] #1111/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.720 conf=0.820 gap=0.770
[2026-05-12 17:25:50] #1112/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.582 conf=0.850 gap=0.770
[2026-05-12 17:26:02] #1113/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.143 conf=0.550 gap=0.300
[2026-05-12 17:26:42] #1114/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.582 conf=0.850 gap=0.770
[2026-05-12 17:27:08] #1115/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.647 conf=0.820 gap=0.700
[2026-05-12 17:27:32] #1116/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=1.131 conf=0.450 gap=0.050
[2026-05-12 17:27:52] #1117/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.582 conf=0.850 gap=0.770
[2026-05-12 17:28:27] #1118/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 17:28:38] #1119/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.093 conf=0.500 gap=0.150
[2026-05-12 17:29:01] #1120/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.667 conf=0.820 gap=0.720
[2026-05-12 17:29:01]   [1120/1989] acc=811/1120=72% filt=1050
[2026-05-12 17:29:15] #1121/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.235 conf=0.550 gap=0.350
[2026-05-12 17:29:33] #1122/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.421 conf=0.880 gap=0.780
[2026-05-12 17:29:54] #1123/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.652 conf=0.820 gap=0.700
[2026-05-12 17:30:05] #1124/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 17:30:26] #1125/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.458 conf=0.900 gap=0.860
[2026-05-12 17:30:43] #1126/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.758 conf=0.800 gap=0.720
[2026-05-12 17:31:18] #1127/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 17:31:42] #1128/01989 | true=sitting(1) | pred=lying(0) | ✗ | ent=0.937 conf=0.650 gap=0.400
[2026-05-12 17:31:57] #1129/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 17:32:18] #1130/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.707 conf=0.800 gap=0.680
[2026-05-12 17:32:42] #1131/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.279 conf=0.940 gap=0.900
[2026-05-12 17:32:56] #1132/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 17:33:18] #1133/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 17:33:31] #1134/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 17:33:54] #1135/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 17:34:15] #1136/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 17:34:25] #1137/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.975 conf=0.550 gap=0.250
[2026-05-12 17:34:49] #1138/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.582 conf=0.850 gap=0.770
[2026-05-12 17:35:00] #1139/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.128 conf=0.500 gap=0.150
[2026-05-12 17:35:36] #1140/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 17:35:36]   [1140/1989] acc=824/1140=72% filt=1069
[2026-05-12 17:35:49] #1141/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.096 conf=0.600 gap=0.400
[2026-05-12 17:36:02] #1142/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=1.093 conf=0.520 gap=0.170
[2026-05-12 17:36:30] #1143/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 17:37:06] #1144/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 17:37:18] #1145/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 17:37:43] #1146/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 17:37:56] #1147/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 17:38:10] #1148/01989 | true=sitting(1) | pred=walking(3) | ✗ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 17:38:32] #1149/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 17:38:54] #1150/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.707 conf=0.800 gap=0.680
[2026-05-12 17:39:14] #1151/01989 | true=sitting(1) | pred=jogging(4) | ✗ | ent=0.688 conf=0.800 gap=0.660
[2026-05-12 17:39:38] #1152/01989 | true=sitting(1) | pred=standing(2) | ✗ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 17:40:03] #1153/01989 | true=sitting(1) | pred=sitting(1) | ✓ | ent=0.582 conf=0.850 gap=0.770
