[2026-05-11 11:05:43] #0004/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 15:50:02] #0676/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.742 | conf=0.800 | gap=0.700
[2026-05-11 15:50:50] #0678/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 15:52:06] #0680/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.033 | conf=0.600 | gap=0.350
[2026-05-11 15:52:22] #0681/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 15:52:33] #0682/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 15:53:23] #0684/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 15:54:08] #0686/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.785 | conf=0.820 | gap=0.770
[2026-05-11 15:55:33] #0689/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 15:56:20] #0691/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 15:56:36] #0692/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.133 | conf=0.579 | gap=0.316
[2026-05-11 15:56:49] #0693/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 15:57:06] #0694/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 15:57:23] #0695/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 15:58:07] #0697/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 15:59:06] #0699/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.926 | conf=0.650 | gap=0.400
[2026-05-11 16:00:03] #0701/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:00:35] #0702/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 16:02:24] #0703/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 16:02:41] #0704/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 16:02:59] #0705/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.458 | conf=0.900 | gap=0.860
[2026-05-11 16:03:51] #0707/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 16:05:55] #0711/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 16:06:35] #0712/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.926 | conf=0.650 | gap=0.400
[2026-05-11 16:08:29] #0715/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.462 | conf=0.900 | gap=0.870
[2026-05-11 16:09:00] #0716/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.722 | conf=0.800 | gap=0.680
[2026-05-11 16:09:32] #0717/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 16:10:25] #0718/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.611 | conf=0.700 | gap=0.400
[2026-05-11 16:11:30] #0720/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:12:52] #0722/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.754 | conf=0.850 | gap=0.820
[2026-05-11 16:13:15] #0723/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 16:13:29] #0724/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 16:17:06] #0730/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 16:18:29] #0733/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:19:20] #0734/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 16:19:47] #0735/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.336 | conf=0.895 | gap=0.789
[2026-05-11 16:20:49] #0737/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 16:21:02] #0738/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 16:22:51] #0741/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 16:23:05] #0742/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 16:24:13] #0744/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 16:24:29] #0745/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.904 | conf=0.750 | gap=0.670
[2026-05-11 16:25:19] #0747/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.645 | conf=0.842 | gap=0.789
[2026-05-11 16:26:09] #0749/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.158 | conf=0.600 | gap=0.400
[2026-05-11 16:26:23] #0750/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 16:26:35] #0751/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.298 | conf=0.939 | gap=0.918
[2026-05-11 16:26:50] #0752/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.637 | conf=0.824 | gap=0.729
[2026-05-11 16:27:05] #0753/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.537 | conf=0.842 | gap=0.737
[2026-05-11 16:27:50] #0755/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.904 | conf=0.750 | gap=0.670
[2026-05-11 16:28:35] #0757/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 16:29:52] #0760/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.445 | conf=0.895 | gap=0.842
[2026-05-11 16:30:02] #0761/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.556 | conf=0.579 | gap=0.526
[2026-05-11 16:30:23] #0762/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.163 | conf=0.500 | gap=0.150
[2026-05-11 16:30:39] #0763/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 16:30:58] #0764/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 16:32:40] #0767/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:32:57] #0768/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.321 | conf=0.940 | gap=0.920
[2026-05-11 16:33:46] #0770/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 16:34:01] #0771/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 16:34:16] #0772/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.476 | conf=0.650 | gap=0.570
[2026-05-11 16:34:45] #0773/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.025 | conf=0.802 | gap=0.755
[2026-05-11 16:37:14] #0777/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 16:38:04] #0779/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 16:38:44] #0780/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 16:39:01] #0781/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.633 | conf=0.600 | gap=0.520
[2026-05-11 16:39:14] #0782/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:40:59] #0785/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 16:41:14] #0786/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 16:41:28] #0787/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 16:42:54] #0790/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 16:44:28] #0792/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 16:47:51] #0798/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.917 | conf=0.800 | gap=0.750
[2026-05-11 16:48:24] #0799/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 16:50:11] #0803/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.480 | conf=0.895 | gap=0.863
[2026-05-11 16:51:17] #0805/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 16:52:33] #0808/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.268 | conf=0.950 | gap=0.938
[2026-05-11 16:53:35] #0810/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.753 | conf=0.737 | gap=0.579
[2026-05-11 16:56:10] #0815/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.396 | conf=0.918 | gap=0.898
[2026-05-11 16:57:06] #0817/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.225 | conf=0.960 | gap=0.949
[2026-05-11 16:57:56] #0819/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.613 | conf=0.850 | gap=0.790
[2026-05-11 16:59:09] #0821/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.458 | conf=0.900 | gap=0.860
[2026-05-11 16:59:26] #0822/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:00:03] #0823/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 17:00:57] #0825/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.593 | conf=0.850 | gap=0.770
[2026-05-11 17:01:16] #0826/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 17:02:58] #0829/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 17:20:51] #0835/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:21:05] #0836/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 17:23:09] #0840/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.466 | conf=0.824 | gap=0.647
[2026-05-11 17:24:49] #0843/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.451 | conf=0.833 | gap=0.667
[2026-05-11 17:25:02] #0844/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 17:25:18] #0845/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 17:25:34] #0846/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 17:26:21] #0847/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.596 | conf=0.880 | gap=0.860
[2026-05-11 17:27:17] #0849/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.645 | conf=0.842 | gap=0.789
[2026-05-11 17:27:55] #0850/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.481 | conf=0.686 | gap=0.637
[2026-05-11 17:30:10] #0854/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 17:30:52] #0855/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 17:31:46] #0857/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.349 | conf=0.889 | gap=0.778
[2026-05-11 17:31:58] #0858/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 17:32:35] #0859/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 17:32:48] #0860/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 17:34:15] #0863/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.568 | conf=0.850 | gap=0.770
[2026-05-11 17:35:25] #0865/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.516 | conf=0.880 | gap=0.820
[2026-05-11 17:36:28] #0867/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.945 | conf=0.750 | gap=0.670
[2026-05-11 17:36:44] #0868/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 17:37:25] #0869/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.516 | conf=0.880 | gap=0.820
[2026-05-11 17:37:39] #0870/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.619 | conf=0.850 | gap=0.790
[2026-05-11 17:40:35] #0874/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 17:40:46] #0875/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 17:41:37] #0877/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 17:41:52] #0878/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 17:44:07] #0881/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 17:44:24] #0882/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 17:46:20] #0886/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-11 17:46:35] #0887/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.002 | conf=0.720 | gap=0.620
[2026-05-11 17:47:19] #0888/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-11 17:47:33] #0889/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.672 | conf=0.600 | gap=0.520
[2026-05-11 17:49:37] #0893/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.927 | conf=0.550 | gap=0.200
[2026-05-11 17:50:18] #0894/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.661 | conf=0.789 | gap=0.684
[2026-05-11 17:51:18] #0896/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.557 | conf=0.833 | gap=0.722
[2026-05-11 17:52:37] #0899/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.554 | conf=0.880 | gap=0.840
[2026-05-11 17:52:52] #0900/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-11 17:53:14] #0901/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.336 | conf=0.895 | gap=0.789
[2026-05-11 17:54:04] #0903/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.786 | conf=0.783 | gap=0.674
[2026-05-11 17:54:30] #0904/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 17:54:42] #0905/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.140 | conf=0.968 | gap=0.937
[2026-05-11 17:55:51] #0907/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
