[2026-05-11 11:03:49] #0001/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 13:50:10] #0405/05607 | true=Lay-stand(6) | pred=Push-up(9) | ✗ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 13:50:23] #0406/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 13:50:53] #0407/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:51:21] #0408/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.560 | conf=0.867 | gap=0.806
[2026-05-11 13:51:48] #0409/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.651 | conf=0.850 | gap=0.800
[2026-05-11 13:52:42] #0411/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.268 | conf=0.950 | gap=0.938
[2026-05-11 13:53:38] #0413/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.743 | conf=0.820 | gap=0.760
[2026-05-11 13:54:03] #0414/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.729 | conf=0.714 | gap=0.459
[2026-05-11 13:54:33] #0415/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.244 | conf=0.550 | gap=0.330
[2026-05-11 13:55:00] #0416/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.571 | conf=0.850 | gap=0.750
[2026-05-11 13:56:40] #0419/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 13:57:07] #0420/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 13:57:52] #0422/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.268 | conf=0.950 | gap=0.938
[2026-05-11 13:58:05] #0423/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 13:58:31] #0424/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.602 | conf=0.850 | gap=0.770
[2026-05-11 13:59:26] #0425/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.982 | conf=0.750 | gap=0.670
[2026-05-11 14:00:04] #0426/05607 | true=Lay-stand(6) | pred=Sit-up(10) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:00:24] #0427/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.734 | conf=0.789 | gap=0.684
[2026-05-11 14:00:36] #0428/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.674 | conf=0.850 | gap=0.800
[2026-05-11 14:01:09] #0429/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 14:01:37] #0430/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:02:46] #0431/05607 | true=Lay-stand(6) | pred=Table-tennis(17) | ✗ | ent=0.802 | conf=0.700 | gap=0.500
[2026-05-11 14:02:55] #0432/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 14:03:26] #0433/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 14:04:05] #0434/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 14:04:16] #0435/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 14:04:45] #0436/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 14:05:11] #0437/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:05:22] #0438/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 14:05:46] #0439/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.480 | conf=0.895 | gap=0.863
[2026-05-11 14:06:55] #0442/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 14:07:26] #0443/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.801 | conf=0.700 | gap=0.450
[2026-05-11 14:07:37] #0444/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.462 | conf=0.900 | gap=0.870
[2026-05-11 14:08:05] #0445/05607 | true=Lay-stand(6) | pred=Push-up(9) | ✗ | ent=0.481 | conf=0.900 | gap=0.870
[2026-05-11 14:08:48] #0446/05607 | true=Lay-stand(6) | pred=Sit-up(10) | ✗ | ent=0.996 | conf=0.550 | gap=0.200
[2026-05-11 14:09:55] #0448/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 14:10:14] #0449/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 14:10:30] #0450/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.530 | conf=0.880 | gap=0.840
[2026-05-11 14:10:44] #0451/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 14:11:42] #0453/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 14:12:28] #0454/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.117 | conf=0.684 | gap=0.579
[2026-05-11 14:13:01] #0455/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 14:13:36] #0456/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:14:07] #0457/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 14:14:40] #0458/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 14:14:53] #0459/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.401 | conf=0.907 | gap=0.856
[2026-05-11 14:15:05] #0460/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 14:15:15] #0461/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 14:15:30] #0462/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 14:15:43] #0463/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.537 | conf=0.842 | gap=0.737
[2026-05-11 14:15:59] #0464/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 14:16:10] #0465/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 14:16:37] #0466/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:17:56] #0468/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.661 | conf=0.789 | gap=0.684
[2026-05-11 14:18:11] #0469/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 14:18:25] #0470/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.445 | conf=0.895 | gap=0.842
[2026-05-11 14:18:54] #0471/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.332 | conf=0.920 | gap=0.870
[2026-05-11 14:19:21] #0472/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 14:19:35] #0473/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 14:20:05] #0474/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.374 | conf=0.876 | gap=0.753
[2026-05-11 14:20:21] #0475/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.613 | conf=0.850 | gap=0.780
[2026-05-11 14:20:48] #0476/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.398 | conf=0.891 | gap=0.804
[2026-05-11 14:21:16] #0477/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.228 | conf=0.600 | gap=0.400
[2026-05-11 14:22:30] #0479/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.279 | conf=0.920 | gap=0.840
[2026-05-11 14:22:43] #0480/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.196 | conf=0.960 | gap=0.940
[2026-05-11 14:23:11] #0481/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:23:39] #0482/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-11 14:24:06] #0483/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 14:24:22] #0484/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 14:25:20] #0485/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 14:25:50] #0486/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.375 | conf=0.632 | gap=0.579
[2026-05-11 14:26:01] #0487/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 14:26:33] #0488/05607 | true=Lay-stand(6) | pred=Sit(1) | ✗ | ent=1.271 | conf=0.600 | gap=0.450
[2026-05-11 14:26:47] #0489/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 14:27:32] #0491/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 14:28:00] #0492/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 14:28:14] #0493/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 14:28:41] #0494/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 14:28:54] #0495/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 14:29:09] #0496/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 14:29:22] #0497/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 14:29:34] #0498/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:29:48] #0499/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 14:30:17] #0500/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:30:54] #0501/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 14:31:20] #0502/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-11 14:31:52] #0503/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.373 | conf=0.550 | gap=0.400
[2026-05-11 14:32:30] #0504/05607 | true=Lay-stand(6) | pred=Push-up(9) | ✗ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-11 14:32:45] #0505/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 14:33:15] #0506/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.425 | conf=0.611 | gap=0.556
[2026-05-11 14:33:36] #0507/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 14:34:13] #0508/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.628 | conf=0.820 | gap=0.700
[2026-05-11 14:34:40] #0509/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.968 | conf=0.720 | gap=0.620
[2026-05-11 14:35:26] #0510/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 14:35:52] #0511/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.216 | conf=0.700 | gap=0.650
[2026-05-11 14:36:25] #0512/05607 | true=Lay-stand(6) | pred=Stair-up(15) | ✗ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-11 14:36:53] #0513/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 14:37:26] #0514/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 14:37:39] #0515/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 14:37:54] #0516/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 14:38:08] #0517/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.444 | conf=0.882 | gap=0.824
[2026-05-11 14:38:30] #0518/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.071 | conf=0.700 | gap=0.600
[2026-05-11 14:38:41] #0519/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:38:54] #0520/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:39:23] #0521/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 14:40:28] #0522/05607 | true=Lay-stand(6) | pred=Sit-up(10) | ✗ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 14:41:04] #0523/05607 | true=Lay-stand(6) | pred=Stair-up(15) | ✗ | ent=1.275 | conf=0.550 | gap=0.300
[2026-05-11 14:42:16] #0525/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.982 | conf=0.650 | gap=0.450
[2026-05-11 14:42:30] #0526/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 14:43:06] #0527/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:43:19] #0528/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 14:43:45] #0529/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 14:44:33] #0531/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-11 14:45:10] #0532/05607 | true=Lay-stand(6) | pred=Sit-up(10) | ✗ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 14:46:11] #0534/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 14:46:41] #0535/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 14:47:11] #0536/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.982 | conf=0.650 | gap=0.450
[2026-05-11 14:47:24] #0537/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:48:04] #0538/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:48:36] #0539/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 14:48:51] #0540/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 14:49:34] #0542/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 14:50:09] #0543/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=1.051 | conf=0.667 | gap=0.500
[2026-05-11 14:51:08] #0545/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.833 | conf=0.828 | gap=0.808
[2026-05-11 14:52:08] #0547/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:52:37] #0548/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 14:53:08] #0549/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 14:53:22] #0550/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 14:54:43] #0552/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-11 14:55:49] #0554/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 14:56:27] #0555/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.639 | conf=0.800 | gap=0.700
[2026-05-11 14:56:58] #0556/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.568 | conf=0.850 | gap=0.770
[2026-05-11 14:57:12] #0557/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.105 | conf=0.978 | gap=0.957
[2026-05-11 14:57:25] #0558/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.336 | conf=0.895 | gap=0.789
[2026-05-11 14:57:42] #0559/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.622 | conf=0.850 | gap=0.800
[2026-05-11 14:58:10] #0560/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 14:58:40] #0561/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.843 | conf=0.714 | gap=0.510
[2026-05-11 14:59:50] #0563/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.435 | conf=0.600 | gap=0.500
[2026-05-11 15:00:28] #0564/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.267 | conf=0.949 | gap=0.929
[2026-05-11 15:00:53] #0565/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 15:01:10] #0566/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.698 | conf=0.820 | gap=0.740
[2026-05-11 15:01:25] #0567/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.852 | conf=0.700 | gap=0.500
[2026-05-11 15:01:56] #0568/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-11 15:02:11] #0569/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 15:02:45] #0570/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.807 | conf=0.789 | gap=0.737
[2026-05-11 15:03:14] #0571/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.215 | conf=0.944 | gap=0.889
[2026-05-11 15:03:30] #0572/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.557 | conf=0.833 | gap=0.722
[2026-05-11 15:04:07] #0573/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.826 | conf=0.737 | gap=0.579
[2026-05-11 15:05:37] #0576/05607 | true=Lay-stand(6) | pred=Sit-up(10) | ✗ | ent=1.352 | conf=0.632 | gap=0.540
[2026-05-11 15:05:57] #0577/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.390 | conf=0.920 | gap=0.900
[2026-05-11 15:06:18] #0578/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 15:07:11] #0580/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.411 | conf=0.904 | gap=0.851
[2026-05-11 15:08:28] #0582/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=1.224 | conf=0.650 | gap=0.550
[2026-05-11 15:08:42] #0583/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 15:09:31] #0585/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 15:10:06] #0586/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 15:10:36] #0587/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 15:10:54] #0588/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 15:11:19] #0589/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.982 | conf=0.750 | gap=0.650
[2026-05-11 15:11:59] #0590/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 15:12:37] #0591/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 15:13:10] #0592/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 15:13:39] #0593/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 15:13:53] #0594/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 15:14:12] #0595/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.761 | conf=0.778 | gap=0.667
[2026-05-11 15:14:45] #0596/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 15:15:29] #0597/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.667 | conf=0.820 | gap=0.720
[2026-05-11 15:15:43] #0598/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 15:15:57] #0599/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.482 | conf=0.880 | gap=0.810
[2026-05-11 15:16:28] #0600/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-11 15:16:57] #0601/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.862 | conf=0.820 | gap=0.790
[2026-05-11 15:17:32] #0602/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 15:18:08] #0603/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.480 | conf=0.895 | gap=0.863
[2026-05-11 15:18:52] #0604/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.845 | conf=0.800 | gap=0.750
[2026-05-11 15:19:02] #0605/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 15:19:18] #0606/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 15:19:47] #0607/05607 | true=Lay-stand(6) | pred=Pick(7) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 15:20:08] #0608/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 15:20:56] #0609/05607 | true=Lay-stand(6) | pred=Table-tennis(17) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 15:21:12] #0610/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 15:21:44] #0611/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 15:22:03] #0612/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.224 | conf=0.941 | gap=0.882
[2026-05-11 15:22:16] #0613/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 15:22:37] #0614/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-11 15:23:09] #0615/05607 | true=Lay-stand(6) | pred=Talk-stand(3) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 15:23:24] #0616/05607 | true=Lay-stand(6) | pred=Lay-stand(6) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
