[2026-05-11 11:05:41] #0002/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 23:04:09] #1338/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.647 | conf=0.850 | gap=0.800
[2026-05-11 23:04:26] #1339/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 23:05:04] #1340/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 23:06:08] #1342/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 23:06:42] #1343/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 23:07:54] #1345/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 23:08:30] #1346/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 23:12:16] #1350/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 23:12:35] #1351/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 23:13:04] #1352/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.929 | conf=0.750 | gap=0.650
[2026-05-11 23:13:28] #1353/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.567 | conf=0.500 | gap=0.400
[2026-05-11 23:14:02] #1354/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.654 | conf=0.850 | gap=0.800
[2026-05-11 23:14:36] #1355/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 23:16:48] #1357/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 23:18:08] #1358/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 23:20:24] #1362/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.297 | conf=0.600 | gap=0.500
[2026-05-11 23:20:41] #1363/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 23:21:18] #1364/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.822 | conf=0.800 | gap=0.720
[2026-05-11 23:21:37] #1365/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.366 | conf=0.600 | gap=0.500
[2026-05-11 23:22:41] #1366/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 23:23:28] #1367/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.979 | conf=0.750 | gap=0.670
[2026-05-11 23:27:26] #1371/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 23:29:59] #1374/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 23:31:55] #1376/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 23:32:13] #1377/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 23:33:21] #1378/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 23:33:53] #1379/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 23:34:13] #1380/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-11 23:35:34] #1381/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 23:35:54] #1382/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 23:36:28] #1383/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 23:37:19] #1384/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 23:38:11] #1386/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 23:38:29] #1387/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 23:39:00] #1388/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-11 23:39:49] #1389/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.272 | conf=0.950 | gap=0.930
[2026-05-11 23:40:47] #1390/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.802 | conf=0.700 | gap=0.500
[2026-05-11 23:41:52] #1391/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 23:42:57] #1392/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.688 | conf=0.850 | gap=0.820
[2026-05-11 23:43:48] #1394/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 23:46:14] #1396/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 23:49:02] #1397/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.201 | conf=0.600 | gap=0.450
[2026-05-11 23:49:29] #1398/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 23:49:45] #1399/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.998 | conf=0.750 | gap=0.700
[2026-05-11 23:50:48] #1400/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.156 | conf=0.650 | gap=0.500
[2026-05-11 23:51:59] #1403/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.688 | conf=0.850 | gap=0.820
[2026-05-11 23:52:54] #1404/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 23:53:55] #1406/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.685 | conf=0.850 | gap=0.810
[2026-05-11 23:54:30] #1407/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-11 23:55:17] #1408/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 23:55:32] #1409/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.400 | conf=0.550 | gap=0.450
[2026-05-11 23:56:16] #1410/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.979 | conf=0.750 | gap=0.670
[2026-05-11 23:56:48] #1411/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 23:59:14] #1413/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-12 00:00:15] #1415/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.746 | conf=0.700 | gap=0.450
[2026-05-12 00:01:45] #1417/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-12 00:02:22] #1418/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.609 | conf=0.350 | gap=0.100
[2026-05-12 00:03:29] #1419/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.751 | conf=0.820 | gap=0.770
[2026-05-12 00:04:19] #1420/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-12 00:04:34] #1421/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.429 | conf=0.500 | gap=0.300
[2026-05-12 00:05:03] #1422/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 00:05:19] #1423/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.258 | conf=0.450 | gap=0.200
[2026-05-12 00:05:37] #1424/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 00:06:12] #1425/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-12 00:06:43] #1426/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 00:07:49] #1427/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-12 00:08:05] #1428/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.004 | conf=0.750 | gap=0.700
[2026-05-12 00:09:03] #1429/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-12 00:10:11] #1430/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-12 00:10:30] #1431/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-12 00:11:11] #1432/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.164 | conf=0.650 | gap=0.500
[2026-05-12 00:12:48] #1433/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-12 00:13:21] #1434/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-12 00:13:42] #1435/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.477 | conf=0.550 | gap=0.450
[2026-05-12 00:14:11] #1436/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-12 00:16:20] #1439/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.890 | conf=0.750 | gap=0.650
[2026-05-12 00:22:38] #1444/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.582 | conf=0.880 | gap=0.860
[2026-05-12 00:24:02] #1447/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-12 00:25:28] #1448/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 00:25:47] #1449/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.619 | conf=0.860 | gap=0.810
[2026-05-12 00:27:36] #1451/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 00:28:18] #1452/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.897 | conf=0.780 | gap=0.710
[2026-05-12 00:28:51] #1453/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-12 00:30:09] #1456/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-12 00:31:11] #1457/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-12 00:31:56] #1458/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.842 | conf=0.800 | gap=0.750
[2026-05-12 00:33:31] #1460/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 00:34:53] #1461/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 00:35:55] #1463/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.586 | conf=0.860 | gap=0.810
[2026-05-12 00:37:49] #1466/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-12 00:38:40] #1467/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-12 00:38:59] #1468/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-12 00:39:38] #1469/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-12 00:40:23] #1471/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.400 | conf=0.550 | gap=0.350
[2026-05-12 00:41:26] #1472/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 00:43:30] #1476/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.366 | conf=0.600 | gap=0.500
[2026-05-12 00:43:55] #1477/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 00:44:29] #1478/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-12 00:45:44] #1480/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.498 | conf=0.500 | gap=0.300
[2026-05-12 00:47:28] #1482/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 00:47:43] #1483/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.373 | conf=0.550 | gap=0.400
[2026-05-12 00:48:26] #1484/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-12 00:48:57] #1485/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 00:50:20] #1488/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.381 | conf=0.550 | gap=0.400
[2026-05-12 00:50:52] #1489/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-12 00:52:05] #1491/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-12 00:55:10] #1494/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 00:56:03] #1496/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.366 | conf=0.600 | gap=0.500
[2026-05-12 00:58:07] #1499/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-12 00:59:27] #1500/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.642 | conf=0.850 | gap=0.800
[2026-05-12 01:00:32] #1501/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.871 | conf=0.700 | gap=0.500
[2026-05-12 01:01:10] #1502/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.558 | conf=0.880 | gap=0.850
[2026-05-12 01:02:46] #1504/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-12 01:04:37] #1506/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-12 01:05:16] #1507/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.998 | conf=0.750 | gap=0.700
[2026-05-12 01:06:33] #1508/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-12 01:06:50] #1509/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-12 01:08:44] #1512/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-12 01:09:55] #1514/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-12 01:11:50] #1516/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-12 01:12:27] #1517/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-12 01:12:44] #1518/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.271 | conf=0.600 | gap=0.450
[2026-05-12 01:13:18] #1519/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.481 | conf=0.900 | gap=0.870
[2026-05-12 01:13:54] #1520/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-12 01:14:27] #1521/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-12 01:15:45] #1523/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-12 01:16:18] #1524/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-12 01:16:46] #1525/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.635 | conf=0.850 | gap=0.800
[2026-05-12 01:17:04] #1526/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-12 01:19:07] #1529/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.500 | conf=0.800 | gap=0.600
[2026-05-12 01:19:55] #1530/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 01:21:57] #1533/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-12 01:22:20] #1534/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.671 | conf=0.850 | gap=0.810
[2026-05-12 01:23:10] #1535/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.886 | conf=0.650 | gap=0.450
[2026-05-12 01:23:51] #1536/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 01:26:09] #1537/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-12 01:28:14] #1539/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.898 | conf=0.600 | gap=0.300
[2026-05-12 01:29:53] #1540/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.196 | conf=0.960 | gap=0.940
[2026-05-12 01:30:11] #1541/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.340 | conf=0.600 | gap=0.450
[2026-05-12 01:31:20] #1543/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 01:37:14] #1548/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-12 01:37:40] #1549/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-12 01:38:08] #1550/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.094 | conf=0.650 | gap=0.500
[2026-05-12 01:38:54] #1551/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.498 | conf=0.500 | gap=0.300
[2026-05-12 01:39:32] #1552/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.618 | conf=0.870 | gap=0.840
[2026-05-12 01:39:52] #1553/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.734 | conf=0.350 | gap=0.150
[2026-05-12 01:40:17] #1554/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 01:41:44] #1556/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-12 01:43:35] #1558/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-12 01:43:51] #1559/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.751 | conf=0.820 | gap=0.770
[2026-05-12 01:45:09] #1561/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.340 | conf=0.600 | gap=0.450
[2026-05-12 01:45:26] #1562/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-12 01:45:46] #1563/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.373 | conf=0.550 | gap=0.400
[2026-05-12 01:46:03] #1564/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-12 01:46:19] #1565/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-12 01:48:25] #1567/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 01:50:40] #1570/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-12 01:50:59] #1571/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-12 01:51:32] #1572/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.785 | conf=0.820 | gap=0.770
[2026-05-12 01:52:31] #1573/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-12 01:54:42] #1575/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.158 | conf=0.600 | gap=0.400
[2026-05-12 01:55:12] #1576/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-12 01:55:30] #1577/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 01:55:46] #1578/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.106 | conf=0.600 | gap=0.450
[2026-05-12 01:56:23] #1579/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.500 | conf=0.350 | gap=0.050
[2026-05-12 01:57:06] #1580/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-12 01:57:44] #1581/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-12 02:00:08] #1583/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-12 02:01:39] #1585/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-12 02:03:06] #1587/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 02:03:57] #1588/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-12 02:05:42] #1589/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-12 02:06:59] #1591/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.722 | conf=0.400 | gap=0.250
[2026-05-12 02:07:23] #1592/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.297 | conf=0.600 | gap=0.500
[2026-05-12 02:08:19] #1594/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.121 | conf=0.650 | gap=0.550
[2026-05-12 02:09:00] #1595/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-12 02:09:35] #1596/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.482 | conf=0.880 | gap=0.810
[2026-05-12 02:09:47] #1597/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.554 | conf=0.880 | gap=0.840
[2026-05-12 02:10:17] #1598/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 02:10:58] #1599/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.670 | conf=0.400 | gap=0.250
[2026-05-12 02:11:57] #1600/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 02:12:19] #1601/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.035 | conf=0.720 | gap=0.600
[2026-05-12 02:12:35] #1602/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 02:12:52] #1603/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.332 | conf=0.920 | gap=0.870
[2026-05-12 02:13:27] #1604/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-12 02:14:09] #1605/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 02:14:50] #1606/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-12 02:15:43] #1607/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.845 | conf=0.800 | gap=0.750
[2026-05-12 02:16:00] #1608/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-12 02:16:17] #1609/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
