[2026-05-11 11:04:47] Class 15 (Stair-up) 软标签生成开始
[2026-05-11 11:04:47]   QUICK=False LIMIT=50
[2026-05-11 11:04:47]   温度=0.8 (from api_config)
[2026-05-11 11:04:48]   本类: 2708窗口 (仅加载本类, 内存友好)
[2026-05-11 11:04:48]   实际生成: 2708 窗口
[2026-05-11 11:05:25] #0001/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 21:58:47] #1230/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.681 | conf=0.840 | gap=0.790
[2026-05-11 21:58:59] #1231/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 21:59:18] #1232/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 21:59:42] #1233/02708 | true=Stair-up(15) | pred=Run(14) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 22:00:04] #1234/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.979 | conf=0.750 | gap=0.670
[2026-05-11 22:00:19] #1235/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 22:01:37] #1236/02708 | true=Stair-up(15) | pred=Table-tennis(17) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 22:02:12] #1237/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 22:03:03] #1238/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 22:03:46] #1239/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 22:04:18] #1240/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 22:04:18]   [1240/2708] acc=850/1240=68.5% filtered=402/1240
[2026-05-11 22:04:58] #1241/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 22:05:16] #1242/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.472 | conf=0.900 | gap=0.860
[2026-05-11 22:05:52] #1243/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.800 | conf=0.800 | gap=0.700
[2026-05-11 22:06:34] #1244/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-11 22:07:17] #1245/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.685 | conf=0.850 | gap=0.810
[2026-05-11 22:07:53] #1246/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.362 | conf=0.920 | gap=0.880
[2026-05-11 22:08:04] #1247/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 22:09:01] #1248/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 22:09:15] #1249/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 22:09:43] #1250/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 22:10:03] #1251/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.347 | conf=0.550 | gap=0.400
[2026-05-11 22:11:07] #1252/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 22:11:23] #1253/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 22:11:52] #1254/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 22:12:21] #1255/02708 | true=Stair-up(15) | pred=Stair-down(16) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 22:12:55] #1256/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.614 | conf=0.850 | gap=0.790
[2026-05-11 22:13:17] #1257/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.469 | conf=0.550 | gap=0.450
[2026-05-11 22:13:51] #1258/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 22:14:20] #1259/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.486 | conf=0.900 | gap=0.880
[2026-05-11 22:14:54] #1260/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=1.275 | conf=0.550 | gap=0.300
[2026-05-11 22:14:54]   [1260/2708] acc=861/1260=68.3% filtered=422/1260
[2026-05-11 22:15:13] #1261/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 22:16:11] #1262/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.094 | conf=0.650 | gap=0.500
[2026-05-11 22:16:26] #1263/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 22:16:51] #1264/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 22:17:24] #1265/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.746 | conf=0.820 | gap=0.740
[2026-05-11 22:17:54] #1266/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 22:18:09] #1267/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 22:18:56] #1268/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.405 | conf=0.900 | gap=0.830
[2026-05-11 22:19:44] #1269/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.951 | conf=0.750 | gap=0.670
[2026-05-11 22:20:06] #1270/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.802 | conf=0.700 | gap=0.500
[2026-05-11 22:21:32] #1271/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.033 | conf=0.600 | gap=0.350
[2026-05-11 22:22:16] #1272/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 22:22:32] #1273/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.443 | conf=0.550 | gap=0.400
[2026-05-11 22:23:26] #1274/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 22:24:03] #1275/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.327 | conf=0.450 | gap=0.200
[2026-05-11 22:24:32] #1276/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.429 | conf=0.500 | gap=0.300
[2026-05-11 22:25:47] #1277/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 22:26:22] #1278/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.675 | conf=0.850 | gap=0.810
[2026-05-11 22:27:08] #1279/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.557 | conf=0.880 | gap=0.830
[2026-05-11 22:27:21] #1280/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 22:27:21]   [1280/2708] acc=877/1280=68.5% filtered=440/1280
[2026-05-11 22:27:44] #1281/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 22:28:12] #1282/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.211 | conf=0.600 | gap=0.400
[2026-05-11 22:28:47] #1283/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.462 | conf=0.900 | gap=0.870
[2026-05-11 22:29:05] #1284/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.803 | conf=0.800 | gap=0.730
[2026-05-11 22:29:51] #1285/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 22:30:33] #1286/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 22:31:03] #1287/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 22:31:54] #1288/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.504 | conf=0.880 | gap=0.830
[2026-05-11 22:32:10] #1289/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 22:33:13] #1290/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 22:33:26] #1291/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 22:34:11] #1292/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 22:34:39] #1293/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 22:35:11] #1294/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.661 | conf=0.840 | gap=0.760
[2026-05-11 22:35:51] #1295/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.921 | conf=0.700 | gap=0.500
[2026-05-11 22:36:03] #1296/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.297 | conf=0.600 | gap=0.500
[2026-05-11 22:37:07] #1297/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-11 22:37:49] #1298/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.876 | conf=0.750 | gap=0.650
[2026-05-11 22:38:07] #1299/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 22:38:38] #1300/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.211 | conf=0.960 | gap=0.939
[2026-05-11 22:38:38]   [1300/2708] acc=893/1300=68.7% filtered=460/1300
[2026-05-11 22:39:26] #1301/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.566 | conf=0.850 | gap=0.750
[2026-05-11 22:40:01] #1302/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 22:40:28] #1303/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 22:41:23] #1304/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-11 22:42:02] #1305/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 22:42:29] #1306/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.362 | conf=0.920 | gap=0.880
[2026-05-11 22:42:51] #1307/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 22:43:37] #1308/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 22:44:08] #1309/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.164 | conf=0.650 | gap=0.500
[2026-05-11 22:44:55] #1310/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-11 22:45:17] #1311/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.481 | conf=0.900 | gap=0.870
[2026-05-11 22:45:50] #1312/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 22:47:09] #1313/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 22:47:54] #1314/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.767 | conf=0.820 | gap=0.770
[2026-05-11 22:48:25] #1315/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-11 22:48:58] #1316/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.776 | conf=0.820 | gap=0.770
[2026-05-11 22:49:34] #1317/02708 | true=Stair-up(15) | pred=Table-tennis(17) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 22:50:23] #1318/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=1.777 | conf=0.350 | gap=0.200
[2026-05-11 22:50:37] #1319/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 22:52:32] #1320/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 22:52:32]   [1320/2708] acc=905/1320=68.6% filtered=479/1320
[2026-05-11 22:53:20] #1321/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
[2026-05-11 22:54:06] #1322/02708 | true=Stair-up(15) | pred=Pick(7) | ✗ | ent=1.469 | conf=0.450 | gap=0.150
[2026-05-11 22:54:51] #1323/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 22:55:10] #1324/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 22:55:26] #1325/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 22:56:13] #1326/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 22:57:22] #1327/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-11 22:57:40] #1328/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.845 | conf=0.800 | gap=0.750
[2026-05-11 22:57:55] #1329/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 22:58:23] #1330/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.754 | conf=0.750 | gap=0.550
[2026-05-11 22:59:02] #1331/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.534 | conf=0.859 | gap=0.758
[2026-05-11 22:59:23] #1332/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 23:01:13] #1333/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-11 23:01:48] #1334/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.688 | conf=0.850 | gap=0.820
[2026-05-11 23:02:23] #1335/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.307 | conf=0.940 | gap=0.920
[2026-05-11 23:02:46] #1336/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 23:03:20] #1337/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.334 | conf=0.920 | gap=0.880
[2026-05-11 23:04:09] #1338/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.647 | conf=0.850 | gap=0.800
[2026-05-11 23:04:26] #1339/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 23:05:04] #1340/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 23:05:04]   [1340/2708] acc=922/1340=68.8% filtered=498/1340
[2026-05-11 23:05:49] #1341/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 23:06:08] #1342/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 23:06:42] #1343/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 23:07:17] #1344/02708 | true=Stair-up(15) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 23:07:54] #1345/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 23:08:30] #1346/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 23:09:05] #1347/02708 | true=Stair-up(15) | pred=Stair-down(16) | ✗ | ent=0.979 | conf=0.750 | gap=0.670
[2026-05-11 23:10:02] #1348/02708 | true=Stair-up(15) | pred=Walk-backwards(12) | ✗ | ent=1.805 | conf=0.250 | gap=0.050
[2026-05-11 23:10:52] #1349/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 23:12:16] #1350/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-11 23:12:35] #1351/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 23:13:04] #1352/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.929 | conf=0.750 | gap=0.650
[2026-05-11 23:13:28] #1353/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.567 | conf=0.500 | gap=0.400
[2026-05-11 23:14:02] #1354/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.654 | conf=0.850 | gap=0.800
[2026-05-11 23:14:36] #1355/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 23:16:18] #1356/02708 | true=Stair-up(15) | pred=Stair-down(16) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 23:16:48] #1357/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 23:18:08] #1358/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-11 23:18:38] #1359/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-11 23:19:14] #1360/02708 | true=Stair-up(15) | pred=Table-tennis(17) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 23:19:14]   [1360/2708] acc=934/1360=68.7% filtered=516/1360
[2026-05-11 23:19:49] #1361/02708 | true=Stair-up(15) | pred=Stair-down(16) | ✗ | ent=0.767 | conf=0.800 | gap=0.720
[2026-05-11 23:20:24] #1362/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.297 | conf=0.600 | gap=0.500
[2026-05-11 23:20:41] #1363/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 23:21:18] #1364/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.822 | conf=0.800 | gap=0.720
[2026-05-11 23:21:37] #1365/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.366 | conf=0.600 | gap=0.500
[2026-05-11 23:22:41] #1366/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-11 23:23:28] #1367/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.979 | conf=0.750 | gap=0.670
[2026-05-11 23:24:06] #1368/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 23:26:02] #1369/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-11 23:26:54] #1370/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-11 23:27:26] #1371/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 23:28:08] #1372/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 23:29:21] #1373/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.481 | conf=0.900 | gap=0.870
[2026-05-11 23:29:59] #1374/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 23:30:30] #1375/02708 | true=Stair-up(15) | pred=Stair-down(16) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 23:31:55] #1376/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.148 | conf=0.700 | gap=0.650
[2026-05-11 23:32:13] #1377/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 23:33:21] #1378/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 23:33:53] #1379/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-11 23:34:13] #1380/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-11 23:34:13]   [1380/2708] acc=947/1380=68.6% filtered=536/1380
[2026-05-11 23:35:34] #1381/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-11 23:35:54] #1382/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-11 23:36:28] #1383/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 23:37:19] #1384/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 23:37:49] #1385/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-11 23:38:11] #1386/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 23:38:29] #1387/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 23:39:00] #1388/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.259 | conf=0.650 | gap=0.550
[2026-05-11 23:39:49] #1389/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.272 | conf=0.950 | gap=0.930
[2026-05-11 23:40:47] #1390/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.802 | conf=0.700 | gap=0.500
[2026-05-11 23:41:52] #1391/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-11 23:42:57] #1392/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.688 | conf=0.850 | gap=0.820
[2026-05-11 23:43:30] #1393/02708 | true=Stair-up(15) | pred=Pick(7) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-11 23:43:48] #1394/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 23:45:07] #1395/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 23:46:14] #1396/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-11 23:49:02] #1397/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.201 | conf=0.600 | gap=0.450
[2026-05-11 23:49:29] #1398/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-11 23:49:45] #1399/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.998 | conf=0.750 | gap=0.700
[2026-05-11 23:50:48] #1400/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.156 | conf=0.650 | gap=0.500
[2026-05-11 23:50:48]   [1400/2708] acc=964/1400=68.9% filtered=556/1400
[2026-05-11 23:51:16] #1401/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-11 23:51:42] #1402/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=0.379 | conf=0.920 | gap=0.890
[2026-05-11 23:51:59] #1403/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.688 | conf=0.850 | gap=0.820
[2026-05-11 23:52:54] #1404/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 23:53:40] #1405/02708 | true=Stair-up(15) | pred=Push-up(9) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-11 23:53:55] #1406/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.685 | conf=0.850 | gap=0.810
[2026-05-11 23:54:30] #1407/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.190 | conf=0.650 | gap=0.550
[2026-05-11 23:55:17] #1408/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-11 23:55:32] #1409/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=1.400 | conf=0.550 | gap=0.450
[2026-05-11 23:56:16] #1410/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.979 | conf=0.750 | gap=0.670
[2026-05-11 23:56:48] #1411/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-11 23:58:41] #1412/02708 | true=Stair-up(15) | pred=Walk(11) | ✗ | ent=1.678 | conf=0.350 | gap=0.100
[2026-05-11 23:59:14] #1413/02708 | true=Stair-up(15) | pred=Stair-up(15) | ✓ | ent=0.965 | conf=0.750 | gap=0.700
