[2026-05-11 21:52:20] HARTH class 7 (lying) T=0.8
[2026-05-11 21:52:20]   4689 windows
[2026-05-11 21:52:27] #0001/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:29:44] #2082/04689 | true=lying | pred=lying | ✓ | ent=1.216 conf=0.630 gap=0.480
[2026-05-12 08:29:52] #2083/04689 | true=lying | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 08:30:11] #2084/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 08:30:34] #2085/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:30:56] #2086/04689 | true=lying | pred=stand | ✗ | ent=0.827 conf=0.800 gap=0.730
[2026-05-12 08:31:15] #2087/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:31:29] #2088/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:31:36] #2089/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:31:42] #2090/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:31:50] #2091/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:31:56] #2092/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:32:18] #2093/04689 | true=lying | pred=stand | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 08:32:33] #2094/04689 | true=lying | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 08:32:43] #2095/04689 | true=lying | pred=stand | ✗ | ent=0.774 conf=0.800 gap=0.680
[2026-05-12 08:32:59] #2096/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:33:04] #2097/04689 | true=lying | pred=lying | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 08:33:24] #2098/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:33:41] #2099/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:33:55] #2100/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:33:55]   [2100/4689] acc=41% filt=2031
[2026-05-12 08:34:44] #2101/04689 | true=lying | pred=lying | ✓ | ent=0.638 conf=0.800 gap=0.650
[2026-05-12 08:34:49] #2102/04689 | true=lying | pred=lying | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 08:35:06] #2103/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:35:34] #2104/04689 | true=lying | pred=stand | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 08:35:51] #2105/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 08:36:11] #2106/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:36:28] #2107/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:36:34] #2108/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:36:58] #2109/04689 | true=lying | pred=lying | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 08:37:14] #2110/04689 | true=lying | pred=shuffle | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 08:37:36] #2111/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:37:40] #2112/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:38:13] #2113/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:38:32] #2114/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:38:45] #2115/04689 | true=lying | pred=shuffle | ✗ | ent=1.096 conf=0.350 gap=0.000
[2026-05-12 08:38:52] #2116/04689 | true=lying | pred=lying | ✓ | ent=0.544 conf=0.890 gap=0.860
[2026-05-12 08:39:06] #2117/04689 | true=lying | pred=stand | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 08:39:14] #2118/04689 | true=lying | pred=shuffle | ✗ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 08:39:22] #2119/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:39:34] #2120/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:39:34]   [2120/4689] acc=41% filt=2049
[2026-05-12 08:39:36] #2121/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:39:40] #2122/04689 | true=lying | pred=lying | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 08:40:05] #2123/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:40:29] #2124/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:40:44] #2125/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:41:11] #2126/04689 | true=lying | pred=stand | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 08:41:38] #2127/04689 | true=lying | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 08:42:12] #2128/04689 | true=lying | pred=stand | ✗ | ent=0.680 conf=0.820 gap=0.700
[2026-05-12 08:43:06] #2129/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:44:12] #2130/04689 | true=lying | pred=shuffle | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 08:44:39] #2131/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:45:32] #2132/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:46:06] #2133/04689 | true=lying | pred=lying | ✓ | ent=1.136 conf=0.600 gap=0.350
[2026-05-12 08:46:34] #2134/04689 | true=lying | pred=lying | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 08:47:03] #2135/04689 | true=lying | pred=lying | ✓ | ent=0.886 conf=0.650 gap=0.450
[2026-05-12 08:47:16] #2136/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:47:26] #2137/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:47:36] #2138/04689 | true=lying | pred=stand | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 08:47:47] #2139/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:47:55] #2140/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:47:55]   [2140/4689] acc=41% filt=2068
[2026-05-12 08:48:16] #2141/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:48:28] #2142/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:48:41] #2143/04689 | true=lying | pred=shuffle | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 08:48:51] #2144/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:48:55] #2145/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 08:49:18] #2146/04689 | true=lying | pred=lying | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 08:49:34] #2147/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:49:49] #2148/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:50:15] #2149/04689 | true=lying | pred=lying | ✓ | ent=0.565 conf=0.800 gap=0.620
[2026-05-12 08:50:23] #2150/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:50:37] #2151/04689 | true=lying | pred=lying | ✓ | ent=0.296 conf=0.930 gap=0.880
[2026-05-12 08:50:45] #2152/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:51:02] #2153/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:51:31] #2154/04689 | true=lying | pred=stand | ✗ | ent=0.112 conf=0.980 gap=0.970
[2026-05-12 08:51:41] #2155/04689 | true=lying | pred=lying | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 08:52:02] #2156/04689 | true=lying | pred=lying | ✓ | ent=1.127 conf=0.680 gap=0.530
[2026-05-12 08:52:09] #2157/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:52:19] #2158/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:52:45] #2159/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:52:57] #2160/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:52:57]   [2160/4689] acc=41% filt=2087
[2026-05-12 08:53:08] #2161/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:53:18] #2162/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:53:32] #2163/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:53:44] #2164/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:54:08] #2165/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:54:13] #2166/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 08:54:40] #2167/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 08:55:04] #2168/04689 | true=lying | pred=sit | ✗ | ent=0.168 conf=0.970 gap=0.960
[2026-05-12 08:55:08] #2169/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 08:55:17] #2170/04689 | true=lying | pred=lying | ✓ | ent=0.613 conf=0.850 gap=0.800
[2026-05-12 08:55:26] #2171/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:55:52] #2172/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:56:01] #2173/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:56:14] #2174/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 08:56:26] #2175/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:56:33] #2176/04689 | true=lying | pred=shuffle | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 08:56:57] #2177/04689 | true=lying | pred=stand | ✗ | ent=1.428 conf=0.580 gap=0.430
[2026-05-12 08:57:00] #2178/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:57:04] #2179/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:57:16] #2180/04689 | true=lying | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 08:57:16]   [2180/4689] acc=41% filt=2106
[2026-05-12 08:57:40] #2181/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:57:44] #2182/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:58:18] #2183/04689 | true=lying | pred=stand | ✗ | ent=0.584 conf=0.850 gap=0.760
[2026-05-12 08:58:34] #2184/04689 | true=lying | pred=sit | ✗ | ent=0.205 conf=0.959 gap=0.926
[2026-05-12 08:58:47] #2185/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 08:58:54] #2186/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 08:59:03] #2187/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 08:59:15] #2188/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:59:25] #2189/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:59:40] #2190/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 08:59:45] #2191/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:59:56] #2192/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:00:23] #2193/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:00:57] #2194/04689 | true=lying | pred=stand | ✗ | ent=0.596 conf=0.840 gap=0.720
[2026-05-12 09:01:22] #2195/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:01:41] #2196/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:02:03] #2197/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:02:38] #2198/04689 | true=lying | pred=lying | ✓ | ent=0.565 conf=0.800 gap=0.620
[2026-05-12 09:03:01] #2199/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:03:25] #2200/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:03:25]   [2200/4689] acc=41% filt=2126
[2026-05-12 09:03:53] #2201/04689 | true=lying | pred=stand | ✗ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 09:04:06] #2202/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:04:18] #2203/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 09:04:38] #2204/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:04:59] #2205/04689 | true=lying | pred=stand | ✗ | ent=0.958 conf=0.750 gap=0.630
[2026-05-12 09:05:14] #2206/04689 | true=lying | pred=stand | ✗ | ent=0.765 conf=0.820 gap=0.740
[2026-05-12 09:05:37] #2207/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 09:05:51] #2208/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 09:06:40] #2209/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:07:56] #2210/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:08:11] #2211/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:08:28] #2212/04689 | true=lying | pred=stand | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 09:08:36] #2213/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 09:08:47] #2214/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:08:54] #2215/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 09:09:24] #2216/04689 | true=lying | pred=lying | ✓ | ent=1.008 conf=0.680 gap=0.500
[2026-05-12 09:09:59] #2217/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:10:21] #2218/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:11:02] #2219/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:11:10] #2220/04689 | true=lying | pred=lying | ✓ | ent=1.030 conf=0.500 gap=0.200
[2026-05-12 09:11:10]   [2220/4689] acc=41% filt=2145
[2026-05-12 09:11:35] #2221/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:11:56] #2222/04689 | true=lying | pred=lying | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 09:12:11] #2223/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 09:12:51] #2224/04689 | true=lying | pred=lying | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 09:13:29] #2225/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:14:23] #2226/04689 | true=lying | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 09:14:49] #2227/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:15:36] #2228/04689 | true=lying | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 09:16:21] #2229/04689 | true=lying | pred=sit | ✗ | ent=0.467 conf=0.910 gap=0.880
[2026-05-12 09:16:47] #2230/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 09:17:15] #2231/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:17:52] #2232/04689 | true=lying | pred=sit | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 09:18:18] #2233/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 09:18:40] #2234/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:18:56] #2235/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 09:19:21] #2236/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:19:43] #2237/04689 | true=lying | pred=lying | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 09:19:55] #2238/04689 | true=lying | pred=lying | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 09:20:01] #2239/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:20:15] #2240/04689 | true=lying | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 09:20:15]   [2240/4689] acc=41% filt=2165
[2026-05-12 09:20:29] #2241/04689 | true=lying | pred=lying | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-12 09:20:40] #2242/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:21:08] #2243/04689 | true=lying | pred=stand | ✗ | ent=0.419 conf=0.900 gap=0.850
[2026-05-12 09:21:19] #2244/04689 | true=lying | pred=sit | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 09:21:27] #2245/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:21:50] #2246/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 09:22:08] #2247/04689 | true=lying | pred=sit | ✗ | ent=0.112 conf=0.980 gap=0.970
[2026-05-12 09:22:20] #2248/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 09:22:48] #2249/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:23:16] #2250/04689 | true=lying | pred=lying | ✓ | ent=0.459 conf=0.850 gap=0.710
[2026-05-12 09:23:33] #2251/04689 | true=lying | pred=lying | ✓ | ent=0.390 conf=0.930 gap=0.920
[2026-05-12 09:23:54] #2252/04689 | true=lying | pred=lying | ✓ | ent=0.933 conf=0.750 gap=0.630
[2026-05-12 09:24:38] #2253/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 09:24:44] #2254/04689 | true=lying | pred=lying | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 09:25:13] #2255/04689 | true=lying | pred=sit | ✗ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 09:25:31] #2256/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:25:40] #2257/04689 | true=lying | pred=lying | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 09:25:59] #2258/04689 | true=lying | pred=stand | ✗ | ent=0.693 conf=0.800 gap=0.650
[2026-05-12 09:26:10] #2259/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:26:22] #2260/04689 | true=lying | pred=lying | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-12 09:26:22]   [2260/4689] acc=41% filt=2185
[2026-05-12 09:26:38] #2261/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 09:26:59] #2262/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:27:18] #2263/04689 | true=lying | pred=shuffle | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 09:27:32] #2264/04689 | true=lying | pred=stand | ✗ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 09:27:54] #2265/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:28:18] #2266/04689 | true=lying | pred=shuffle | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 09:28:32] #2267/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:28:50] #2268/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:29:11] #2269/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 09:29:16] #2270/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:29:29] #2271/04689 | true=lying | pred=stand | ✗ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 09:29:53] #2272/04689 | true=lying | pred=stand | ✗ | ent=1.026 conf=0.720 gap=0.600
[2026-05-12 09:30:18] #2273/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 09:30:44] #2274/04689 | true=lying | pred=stand | ✗ | ent=0.635 conf=0.850 gap=0.770
[2026-05-12 09:31:03] #2275/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 09:31:35] #2276/04689 | true=lying | pred=stand | ✗ | ent=0.419 conf=0.900 gap=0.850
[2026-05-12 09:32:01] #2277/04689 | true=lying | pred=lying | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 09:32:10] #2278/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:32:17] #2279/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 09:32:48] #2280/04689 | true=lying | pred=lying | ✓ | ent=0.482 conf=0.850 gap=0.720
[2026-05-12 09:32:48]   [2280/4689] acc=41% filt=2204
[2026-05-12 09:32:59] #2281/04689 | true=lying | pred=lying | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:33:35] #2282/04689 | true=lying | pred=stand | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 09:33:54] #2283/04689 | true=lying | pred=stand | ✗ | ent=0.689 conf=0.800 gap=0.700
[2026-05-12 09:34:17] #2284/04689 | true=lying | pred=lying | ✓ | ent=0.815 conf=0.790 gap=0.690
[2026-05-12 09:34:28] #2285/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:34:46] #2286/04689 | true=lying | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 09:34:55] #2287/04689 | true=lying | pred=shuffle | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 09:35:10] #2288/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:35:20] #2289/04689 | true=lying | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 09:35:27] #2290/04689 | true=lying | pred=lying | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 09:35:35] #2291/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:35:45] #2292/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:36:10] #2293/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 09:36:32] #2294/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:36:55] #2295/04689 | true=lying | pred=shuffle | ✗ | ent=1.049 conf=0.550 gap=0.200
[2026-05-12 09:37:03] #2296/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:37:19] #2297/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:37:30] #2298/04689 | true=lying | pred=lying | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 09:37:40] #2299/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:37:56] #2300/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:37:56]   [2300/4689] acc=41% filt=2223
[2026-05-12 09:38:07] #2301/04689 | true=lying | pred=lying | ✓ | ent=0.419 conf=0.900 gap=0.850
[2026-05-12 09:38:18] #2302/04689 | true=lying | pred=lying | ✓ | ent=0.761 conf=0.749 gap=0.601
[2026-05-12 09:38:35] #2303/04689 | true=lying | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:39:01] #2304/04689 | true=lying | pred=lying | ✓ | ent=1.197 conf=0.650 gap=0.500
[2026-05-12 09:39:31] #2305/04689 | true=lying | pred=sit | ✗ | ent=0.767 conf=0.800 gap=0.720
[2026-05-12 09:39:50] #2306/04689 | true=lying | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 09:39:58] #2307/04689 | true=lying | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 09:40:19] #2308/04689 | true=lying | pred=sit | ✗ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 09:40:45] #2309/04689 | true=lying | pred=stand | ✗ | ent=0.599 conf=0.850 gap=0.750
