[2026-05-11 21:52:46] #0002/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:31:08] #3500/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:32:01] #3501/08147 | true=stand | pred=stand | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 11:32:07] #3502/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:32:10] #3503/08147 | true=stand | pred=stand | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 11:32:18] #3504/08147 | true=stand | pred=stand | ✓ | ent=0.486 conf=0.900 gap=0.860
[2026-05-12 11:32:54] #3506/08147 | true=stand | pred=stand | ✓ | ent=0.279 conf=0.940 gap=0.900
[2026-05-12 11:33:18] #3507/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 11:33:22] #3508/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 11:33:26] #3509/08147 | true=stand | pred=stand | ✓ | ent=1.164 conf=0.650 gap=0.500
[2026-05-12 11:33:31] #3510/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 11:33:55] #3511/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 11:34:22] #3512/08147 | true=stand | pred=stand | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 11:34:25] #3513/08147 | true=stand | pred=stand | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 11:34:33] #3514/08147 | true=stand | pred=stand | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 11:34:55] #3516/08147 | true=stand | pred=stand | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 11:35:05] #3517/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:35:11] #3518/08147 | true=stand | pred=stand | ✓ | ent=0.742 conf=0.500 gap=0.010
[2026-05-12 11:35:20] #3519/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:36:02] #3522/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:36:20] #3523/08147 | true=stand | pred=stand | ✓ | ent=0.942 conf=0.750 gap=0.630
[2026-05-12 11:36:45] #3525/08147 | true=stand | pred=stand | ✓ | ent=0.630 conf=0.850 gap=0.770
[2026-05-12 11:37:11] #3526/08147 | true=stand | pred=stand | ✓ | ent=0.467 conf=0.880 gap=0.790
[2026-05-12 11:37:14] #3527/08147 | true=stand | pred=stand | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 11:37:18] #3528/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 11:37:45] #3530/08147 | true=stand | pred=stand | ✓ | ent=0.867 conf=0.750 gap=0.600
[2026-05-12 11:38:22] #3532/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 11:38:25] #3533/08147 | true=stand | pred=stand | ✓ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 11:38:47] #3534/08147 | true=stand | pred=stand | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 11:39:17] #3535/08147 | true=stand | pred=stand | ✓ | ent=1.197 conf=0.650 gap=0.500
[2026-05-12 11:39:28] #3536/08147 | true=stand | pred=stand | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 11:39:32] #3537/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:40:11] #3539/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 11:40:20] #3540/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:40:55] #3542/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:41:46] #3544/08147 | true=stand | pred=stand | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 11:42:00] #3545/08147 | true=stand | pred=stand | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-12 11:42:21] #3546/08147 | true=stand | pred=stand | ✓ | ent=0.509 conf=0.900 gap=0.870
[2026-05-12 11:42:25] #3547/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 11:42:34] #3548/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:42:37] #3549/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:42:41] #3550/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:42:52] #3551/08147 | true=stand | pred=stand | ✓ | ent=0.731 conf=0.820 gap=0.740
[2026-05-12 11:43:03] #3552/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 11:43:18] #3553/08147 | true=stand | pred=stand | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 11:43:23] #3554/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 11:43:31] #3555/08147 | true=stand | pred=stand | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 11:44:04] #3556/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:44:07] #3557/08147 | true=stand | pred=stand | ✓ | ent=1.477 conf=0.400 gap=0.050
[2026-05-12 11:44:11] #3558/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.900 gap=0.860
[2026-05-12 11:44:14] #3559/08147 | true=stand | pred=stand | ✓ | ent=1.237 conf=0.620 gap=0.470
[2026-05-12 11:44:41] #3561/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:45:01] #3563/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:45:05] #3564/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 11:45:14] #3565/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:47:31] #3567/08147 | true=stand | pred=stand | ✓ | ent=0.490 conf=0.880 gap=0.830
[2026-05-12 11:47:34] #3568/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 11:47:44] #3569/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:47:53] #3570/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:47:57] #3571/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 11:48:01] #3572/08147 | true=stand | pred=stand | ✓ | ent=1.040 conf=0.500 gap=0.250
[2026-05-12 11:48:05] #3573/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 11:48:21] #3574/08147 | true=stand | pred=stand | ✓ | ent=0.477 conf=0.840 gap=0.690
[2026-05-12 11:48:44] #3576/08147 | true=stand | pred=stand | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 11:48:57] #3577/08147 | true=stand | pred=stand | ✓ | ent=0.471 conf=0.880 gap=0.800
[2026-05-12 11:49:05] #3578/08147 | true=stand | pred=stand | ✓ | ent=0.653 conf=0.840 gap=0.740
[2026-05-12 11:49:09] #3579/08147 | true=stand | pred=stand | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 11:49:53] #3581/08147 | true=stand | pred=stand | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 11:50:04] #3582/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 11:50:15] #3583/08147 | true=stand | pred=stand | ✓ | ent=0.406 conf=0.910 gap=0.860
[2026-05-12 11:50:19] #3584/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:50:23] #3585/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 11:51:24] #3586/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:51:30] #3587/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:51:32] #3588/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:51:53] #3590/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 11:52:20] #3591/08147 | true=stand | pred=stand | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 11:52:26] #3592/08147 | true=stand | pred=stand | ✓ | ent=0.435 conf=0.880 gap=0.780
[2026-05-12 11:52:35] #3593/08147 | true=stand | pred=stand | ✓ | ent=0.389 conf=0.900 gap=0.820
[2026-05-12 11:53:22] #3597/08147 | true=stand | pred=stand | ✓ | ent=0.824 conf=0.600 gap=0.250
[2026-05-12 11:53:26] #3598/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:53:37] #3599/08147 | true=stand | pred=stand | ✓ | ent=0.471 conf=0.880 gap=0.800
[2026-05-12 11:53:56] #3600/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:54:47] #3601/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 11:54:55] #3602/08147 | true=stand | pred=stand | ✓ | ent=1.315 conf=0.450 gap=0.100
[2026-05-12 11:54:59] #3603/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:55:19] #3604/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:55:31] #3605/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:55:42] #3606/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:55:50] #3607/08147 | true=stand | pred=stand | ✓ | ent=1.467 conf=0.450 gap=0.150
[2026-05-12 11:56:28] #3608/08147 | true=stand | pred=stand | ✓ | ent=0.826 conf=0.800 gap=0.720
[2026-05-12 11:56:39] #3609/08147 | true=stand | pred=stand | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 11:57:42] #3612/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:57:55] #3613/08147 | true=stand | pred=stand | ✓ | ent=0.490 conf=0.880 gap=0.830
[2026-05-12 11:58:06] #3614/08147 | true=stand | pred=stand | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 11:59:37] #3618/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 11:59:41] #3619/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 11:59:43] #3620/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 11:59:53] #3621/08147 | true=stand | pred=stand | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 12:00:04] #3622/08147 | true=stand | pred=stand | ✓ | ent=0.649 conf=0.850 gap=0.770
[2026-05-12 12:00:21] #3624/08147 | true=stand | pred=stand | ✓ | ent=0.827 conf=0.700 gap=0.450
[2026-05-12 12:00:32] #3625/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 12:00:48] #3626/08147 | true=stand | pred=stand | ✓ | ent=0.958 conf=0.750 gap=0.630
[2026-05-12 12:01:00] #3627/08147 | true=stand | pred=stand | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-12 12:01:18] #3629/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 12:01:28] #3630/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:01:40] #3631/08147 | true=stand | pred=stand | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 12:01:52] #3632/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 12:01:57] #3633/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 12:02:10] #3634/08147 | true=stand | pred=stand | ✓ | ent=0.982 conf=0.750 gap=0.650
[2026-05-12 12:02:30] #3635/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:02:42] #3636/08147 | true=stand | pred=stand | ✓ | ent=0.817 conf=0.550 gap=0.130
[2026-05-12 12:02:46] #3637/08147 | true=stand | pred=stand | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 12:02:50] #3638/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 12:03:11] #3639/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 12:03:15] #3640/08147 | true=stand | pred=stand | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 12:03:26] #3641/08147 | true=stand | pred=stand | ✓ | ent=1.031 conf=0.700 gap=0.550
[2026-05-12 12:03:41] #3642/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 12:03:46] #3643/08147 | true=stand | pred=stand | ✓ | ent=0.666 conf=0.850 gap=0.790
[2026-05-12 12:03:48] #3644/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:03:52] #3645/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 12:03:55] #3646/08147 | true=stand | pred=stand | ✓ | ent=1.040 conf=0.500 gap=0.250
[2026-05-12 12:03:58] #3647/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 12:04:01] #3648/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 12:04:06] #3649/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:04:17] #3650/08147 | true=stand | pred=stand | ✓ | ent=0.296 conf=0.930 gap=0.880
[2026-05-12 12:04:22] #3651/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 12:04:29] #3652/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 12:04:41] #3653/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 12:05:02] #3654/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 12:06:04] #3655/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 12:06:07] #3656/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 12:06:10] #3657/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 12:06:18] #3658/08147 | true=stand | pred=stand | ✓ | ent=0.787 conf=0.780 gap=0.630
[2026-05-12 12:06:21] #3659/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:06:26] #3660/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 12:06:31] #3661/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 12:06:35] #3662/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 12:06:45] #3663/08147 | true=stand | pred=stand | ✓ | ent=1.321 conf=0.550 gap=0.350
[2026-05-12 12:06:48] #3664/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:06:57] #3665/08147 | true=stand | pred=stand | ✓ | ent=0.638 conf=0.800 gap=0.650
[2026-05-12 12:07:05] #3666/08147 | true=stand | pred=stand | ✓ | ent=0.571 conf=0.880 gap=0.830
[2026-05-12 12:07:08] #3667/08147 | true=stand | pred=stand | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 12:07:11] #3668/08147 | true=stand | pred=stand | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 12:07:22] #3669/08147 | true=stand | pred=stand | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-12 12:07:32] #3670/08147 | true=stand | pred=stand | ✓ | ent=0.756 conf=0.820 gap=0.740
[2026-05-12 12:07:41] #3671/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:08:01] #3672/08147 | true=stand | pred=stand | ✓ | ent=1.070 conf=0.700 gap=0.550
[2026-05-12 12:08:04] #3673/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 12:08:15] #3674/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 12:08:24] #3675/08147 | true=stand | pred=stand | ✓ | ent=0.864 conf=0.800 gap=0.750
[2026-05-12 12:08:27] #3676/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:09:02] #3678/08147 | true=stand | pred=stand | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-12 12:09:43] #3680/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 12:10:05] #3681/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:10:08] #3682/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 12:10:41] #3684/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 12:10:54] #3685/08147 | true=stand | pred=stand | ✓ | ent=0.444 conf=0.900 gap=0.860
[2026-05-12 12:11:07] #3686/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 12:11:39] #3687/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:11:49] #3688/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 12:12:09] #3689/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 12:12:33] #3690/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 12:12:36] #3691/08147 | true=stand | pred=stand | ✓ | ent=0.055 conf=0.993 gap=0.992
[2026-05-12 12:12:40] #3692/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 12:13:06] #3693/08147 | true=stand | pred=stand | ✓ | ent=1.180 conf=0.650 gap=0.500
[2026-05-12 12:13:15] #3694/08147 | true=stand | pred=stand | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 12:13:17] #3695/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:13:50] #3697/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 12:14:14] #3698/08147 | true=stand | pred=stand | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 12:14:17] #3699/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 12:14:27] #3700/08147 | true=stand | pred=stand | ✓ | ent=1.132 conf=0.700 gap=0.600
[2026-05-12 12:14:37] #3702/08147 | true=stand | pred=stand | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 12:14:41] #3703/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 12:14:44] #3704/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 12:15:09] #3705/08147 | true=stand | pred=stand | ✓ | ent=0.594 conf=0.790 gap=0.600
[2026-05-12 12:15:11] #3706/08147 | true=stand | pred=stand | ✓ | ent=1.287 conf=0.600 gap=0.450
[2026-05-12 12:15:29] #3707/08147 | true=stand | pred=stand | ✓ | ent=1.278 conf=0.550 gap=0.400
[2026-05-12 12:15:34] #3708/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 12:15:38] #3709/08147 | true=stand | pred=stand | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 12:15:58] #3710/08147 | true=stand | pred=stand | ✓ | ent=1.091 conf=0.650 gap=0.450
[2026-05-12 12:16:26] #3711/08147 | true=stand | pred=stand | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-12 12:16:32] #3712/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:16:48] #3714/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 12:16:52] #3715/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 12:16:56] #3716/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 12:17:48] #3717/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:17:57] #3718/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 12:18:27] #3719/08147 | true=stand | pred=stand | ✓ | ent=0.626 conf=0.730 gap=0.470
[2026-05-12 12:18:47] #3720/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 12:18:51] #3721/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:18:57] #3722/08147 | true=stand | pred=stand | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 12:19:37] #3724/08147 | true=stand | pred=stand | ✓ | ent=0.867 conf=0.750 gap=0.600
[2026-05-12 12:19:42] #3725/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:19:46] #3726/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 12:20:04] #3727/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:20:08] #3728/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 12:20:28] #3729/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 12:21:00] #3731/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:21:04] #3732/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 12:21:07] #3733/08147 | true=stand | pred=stand | ✓ | ent=0.950 conf=0.600 gap=0.400
[2026-05-12 12:21:26] #3734/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:21:36] #3735/08147 | true=stand | pred=stand | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 12:21:38] #3736/08147 | true=stand | pred=stand | ✓ | ent=0.660 conf=0.800 gap=0.650
[2026-05-12 12:22:02] #3737/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 12:22:05] #3738/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 12:22:15] #3739/08147 | true=stand | pred=stand | ✓ | ent=0.710 conf=0.830 gap=0.750
[2026-05-12 12:22:18] #3740/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 12:22:43] #3741/08147 | true=stand | pred=stand | ✓ | ent=0.549 conf=0.882 gap=0.824
[2026-05-12 12:22:46] #3742/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:22:56] #3743/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:23:04] #3744/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 12:23:15] #3745/08147 | true=stand | pred=stand | ✓ | ent=0.841 conf=0.800 gap=0.730
[2026-05-12 12:23:36] #3746/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 12:23:40] #3747/08147 | true=stand | pred=stand | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 12:23:42] #3748/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 12:23:45] #3749/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 12:23:49] #3750/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 12:23:51] #3751/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 12:24:03] #3752/08147 | true=stand | pred=stand | ✓ | ent=0.693 conf=0.800 gap=0.650
[2026-05-12 12:25:22] #3754/08147 | true=stand | pred=stand | ✓ | ent=1.128 conf=0.650 gap=0.500
[2026-05-12 12:25:46] #3755/08147 | true=stand | pred=stand | ✓ | ent=0.742 conf=0.792 gap=0.644
[2026-05-12 12:25:50] #3756/08147 | true=stand | pred=stand | ✓ | ent=0.864 conf=0.760 gap=0.620
[2026-05-12 12:26:00] #3757/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 12:26:17] #3758/08147 | true=stand | pred=stand | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 12:26:29] #3759/08147 | true=stand | pred=stand | ✓ | ent=0.756 conf=0.820 gap=0.740
[2026-05-12 12:26:37] #3760/08147 | true=stand | pred=stand | ✓ | ent=0.465 conf=0.890 gap=0.810
[2026-05-12 12:26:45] #3761/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:26:53] #3762/08147 | true=stand | pred=stand | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 12:26:55] #3763/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 12:27:15] #3764/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 12:27:44] #3766/08147 | true=stand | pred=stand | ✓ | ent=0.858 conf=0.750 gap=0.580
[2026-05-12 12:27:47] #3767/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.900 gap=0.860
[2026-05-12 12:27:51] #3768/08147 | true=stand | pred=stand | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-12 12:28:12] #3770/08147 | true=stand | pred=stand | ✓ | ent=1.169 conf=0.650 gap=0.470
[2026-05-12 12:29:03] #3773/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:29:10] #3774/08147 | true=stand | pred=stand | ✓ | ent=0.224 conf=0.950 gap=0.910
