[2026-05-11 21:51:59] HARTH class 5 (stand) T=0.8
[2026-05-11 21:51:59]   8147 windows
[2026-05-11 21:52:24] #0001/08147 | true=stand | pred=stairs_up | ✗ | ent=1.808 conf=0.250 gap=0.050
[2026-05-13 23:21:44] #2420/08147 | true=stand | pred=lying | ✗ | ent=0.733 conf=0.800 gap=0.700
[2026-05-13 23:21:44]   [2420/8147] acc=84% filt=2193
[2026-05-13 23:21:47] #2421/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 23:21:51] #2422/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-13 23:21:59] #2423/08147 | true=stand | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 23:22:10] #2424/08147 | true=stand | pred=stand | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-13 23:22:20] #2425/08147 | true=stand | pred=stand | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-13 23:22:36] #2426/08147 | true=stand | pred=stand | ✓ | ent=0.833 conf=0.750 gap=0.570
[2026-05-13 23:22:46] #2427/08147 | true=stand | pred=stand | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-13 23:22:50] #2428/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 23:22:53] #2429/08147 | true=stand | pred=stand | ✓ | ent=1.047 conf=0.700 gap=0.550
[2026-05-13 23:23:03] #2430/08147 | true=stand | pred=shuffle | ✗ | ent=0.802 conf=0.700 gap=0.500
[2026-05-13 23:23:07] #2431/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 23:23:17] #2432/08147 | true=stand | pred=stand | ✓ | ent=0.309 conf=0.930 gap=0.880
[2026-05-13 23:23:32] #2433/08147 | true=stand | pred=stairs_down | ✗ | ent=0.516 conf=0.860 gap=0.760
[2026-05-13 23:23:35] #2434/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 23:23:47] #2435/08147 | true=stand | pred=stand | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-13 23:23:50] #2436/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 23:24:02] #2437/08147 | true=stand | pred=stand | ✓ | ent=0.945 conf=0.750 gap=0.670
[2026-05-13 23:24:24] #2438/08147 | true=stand | pred=sit | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 23:24:41] #2439/08147 | true=stand | pred=shuffle | ✗ | ent=1.400 conf=0.550 gap=0.400
[2026-05-13 23:24:45] #2440/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 23:24:45]   [2440/8147] acc=84% filt=2213
[2026-05-13 23:24:59] #2441/08147 | true=stand | pred=stand | ✓ | ent=0.449 conf=0.890 gap=0.840
[2026-05-13 23:25:13] #2442/08147 | true=stand | pred=stand | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-13 23:25:17] #2443/08147 | true=stand | pred=stand | ✓ | ent=1.677 conf=0.450 gap=0.300
[2026-05-13 23:25:20] #2444/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 23:25:35] #2445/08147 | true=stand | pred=stand | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-13 23:25:48] #2446/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 23:25:52] #2447/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-13 23:25:56] #2448/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 23:26:00] #2449/08147 | true=stand | pred=stand | ✓ | ent=0.965 conf=0.750 gap=0.700
[2026-05-13 23:26:03] #2450/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 23:26:07] #2451/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 23:26:11] #2452/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-13 23:26:18] #2453/08147 | true=stand | pred=stand | ✓ | ent=0.467 conf=0.910 gap=0.880
[2026-05-13 23:26:26] #2454/08147 | true=stand | pred=stand | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-13 23:26:32] #2455/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 23:26:45] #2456/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 23:27:00] #2457/08147 | true=stand | pred=shuffle | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-13 23:27:02] #2458/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 23:27:12] #2459/08147 | true=stand | pred=stand | ✓ | ent=0.419 conf=0.900 gap=0.850
[2026-05-13 23:27:22] #2460/08147 | true=stand | pred=stand | ✓ | ent=0.635 conf=0.850 gap=0.770
[2026-05-13 23:27:22]   [2460/8147] acc=84% filt=2232
[2026-05-13 23:27:35] #2461/08147 | true=stand | pred=stand | ✓ | ent=1.056 conf=0.700 gap=0.580
[2026-05-13 23:27:47] #2462/08147 | true=stand | pred=stand | ✓ | ent=0.594 conf=0.780 gap=0.580
[2026-05-13 23:27:57] #2463/08147 | true=stand | pred=stand | ✓ | ent=0.296 conf=0.930 gap=0.880
[2026-05-13 23:28:05] #2464/08147 | true=stand | pred=sit | ✗ | ent=0.639 conf=0.800 gap=0.700
[2026-05-13 23:28:26] #2465/08147 | true=stand | pred=stand | ✓ | ent=0.907 conf=0.650 gap=0.400
[2026-05-13 23:28:29] #2466/08147 | true=stand | pred=stand | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-13 23:28:37] #2467/08147 | true=stand | pred=sit | ✗ | ent=0.509 conf=0.900 gap=0.870
[2026-05-13 23:28:39] #2468/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 23:28:59] #2469/08147 | true=stand | pred=stand | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-13 23:29:03] #2470/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 23:29:18] #2471/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 23:29:20] #2472/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 23:29:24] #2473/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 23:29:28] #2474/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-13 23:29:39] #2475/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 23:29:43] #2476/08147 | true=stand | pred=stand | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-13 23:29:52] #2477/08147 | true=stand | pred=stand | ✓ | ent=0.824 conf=0.600 gap=0.250
[2026-05-13 23:29:56] #2478/08147 | true=stand | pred=stand | ✓ | ent=0.824 conf=0.600 gap=0.250
[2026-05-13 23:30:03] #2479/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-13 23:30:08] #2480/08147 | true=stand | pred=stand | ✓ | ent=0.467 conf=0.910 gap=0.880
[2026-05-13 23:30:08]   [2480/8147] acc=84% filt=2252
[2026-05-13 23:30:13] #2481/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 23:30:27] #2482/08147 | true=stand | pred=lying | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 23:30:30] #2483/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 23:30:40] #2484/08147 | true=stand | pred=stand | ✓ | ent=1.133 conf=0.580 gap=0.280
[2026-05-13 23:30:57] #2485/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 23:31:08] #2486/08147 | true=stand | pred=stand | ✓ | ent=0.689 conf=0.840 gap=0.760
[2026-05-13 23:31:11] #2487/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 23:31:20] #2488/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 23:31:23] #2489/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 23:31:27] #2490/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 23:31:47] #2491/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 23:31:56] #2492/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 23:32:05] #2493/08147 | true=stand | pred=stand | ✓ | ent=1.435 conf=0.600 gap=0.500
[2026-05-13 23:32:09] #2494/08147 | true=stand | pred=stand | ✓ | ent=0.693 conf=0.800 gap=0.650
[2026-05-13 23:32:17] #2495/08147 | true=stand | pred=stand | ✓ | ent=0.334 conf=0.930 gap=0.890
[2026-05-13 23:32:24] #2496/08147 | true=stand | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 23:32:34] #2497/08147 | true=stand | pred=lying | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 23:32:45] #2498/08147 | true=stand | pred=stand | ✓ | ent=1.100 conf=0.600 gap=0.350
[2026-05-13 23:32:48] #2499/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 23:33:02] #2500/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 23:33:02]   [2500/8147] acc=84% filt=2272
[2026-05-13 23:33:06] #2501/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 23:33:14] #2502/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 23:33:18] #2503/08147 | true=stand | pred=stand | ✓ | ent=0.582 conf=0.880 gap=0.840
[2026-05-13 23:33:22] #2504/08147 | true=stand | pred=stand | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-13 23:33:26] #2505/08147 | true=stand | pred=stand | ✓ | ent=0.693 conf=0.800 gap=0.650
[2026-05-13 23:33:39] #2506/08147 | true=stand | pred=lying | ✗ | ent=0.551 conf=0.870 gap=0.820
[2026-05-13 23:33:42] #2507/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-13 23:33:46] #2508/08147 | true=stand | pred=stand | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-13 23:33:57] #2509/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-13 23:34:01] #2510/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-13 23:34:04] #2511/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 23:34:09] #2512/08147 | true=stand | pred=stand | ✓ | ent=0.365 conf=0.920 gap=0.870
[2026-05-13 23:34:13] #2513/08147 | true=stand | pred=stand | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-13 23:34:16] #2514/08147 | true=stand | pred=stand | ✓ | ent=1.047 conf=0.700 gap=0.550
[2026-05-13 23:34:25] #2515/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 23:34:28] #2516/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 23:34:30] #2517/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 23:34:36] #2518/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 23:34:48] #2519/08147 | true=stand | pred=stand | ✓ | ent=1.323 conf=0.500 gap=0.200
[2026-05-13 23:34:50] #2520/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 23:34:50]   [2520/8147] acc=84% filt=2291
[2026-05-13 23:34:53] #2521/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 23:35:07] #2522/08147 | true=stand | pred=stand | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-13 23:35:11] #2523/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 23:35:20] #2524/08147 | true=stand | pred=stand | ✓ | ent=1.030 conf=0.500 gap=0.200
[2026-05-13 23:35:24] #2525/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 23:35:27] #2526/08147 | true=stand | pred=stand | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-13 23:35:38] #2527/08147 | true=stand | pred=shuffle | ✗ | ent=0.949 conf=0.450 gap=0.000
[2026-05-13 23:35:48] #2528/08147 | true=stand | pred=sit | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 23:35:51] #2529/08147 | true=stand | pred=stand | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-13 23:36:12] #2530/08147 | true=stand | pred=shuffle | ✗ | ent=0.855 conf=0.800 gap=0.750
[2026-05-13 23:36:25] #2531/08147 | true=stand | pred=stand | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-13 23:36:27] #2532/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 23:36:41] #2533/08147 | true=stand | pred=stand | ✓ | ent=0.800 conf=0.800 gap=0.700
[2026-05-13 23:36:48] #2534/08147 | true=stand | pred=stand | ✓ | ent=0.321 conf=0.930 gap=0.890
[2026-05-13 23:36:57] #2535/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 23:37:01] #2536/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 23:37:05] #2537/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 23:37:10] #2538/08147 | true=stand | pred=stand | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-13 23:37:25] #2539/08147 | true=stand | pred=lying | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 23:37:28] #2540/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 23:37:28]   [2540/8147] acc=84% filt=2309
[2026-05-13 23:37:41] #2541/08147 | true=stand | pred=lying | ✗ | ent=0.196 conf=0.960 gap=0.940
[2026-05-13 23:37:44] #2542/08147 | true=stand | pred=stand | ✓ | ent=0.707 conf=0.812 gap=0.683
[2026-05-13 23:37:58] #2543/08147 | true=stand | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 23:38:02] #2544/08147 | true=stand | pred=stand | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-13 23:38:05] #2545/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 23:38:09] #2546/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 23:38:19] #2547/08147 | true=stand | pred=stand | ✓ | ent=0.309 conf=0.930 gap=0.880
[2026-05-13 23:38:23] #2548/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 23:38:36] #2549/08147 | true=stand | pred=walk | ✗ | ent=0.690 conf=0.850 gap=0.810
[2026-05-13 23:38:43] #2550/08147 | true=stand | pred=stand | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-13 23:38:52] #2551/08147 | true=stand | pred=stand | ✓ | ent=0.471 conf=0.880 gap=0.800
[2026-05-13 23:39:06] #2552/08147 | true=stand | pred=stand | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-13 23:39:10] #2553/08147 | true=stand | pred=stand | ✓ | ent=1.862 conf=0.250 gap=0.020
[2026-05-13 23:39:15] #2554/08147 | true=stand | pred=stand | ✓ | ent=0.553 conf=0.870 gap=0.790
[2026-05-13 23:39:19] #2555/08147 | true=stand | pred=stand | ✓ | ent=0.530 conf=0.890 gap=0.840
[2026-05-13 23:39:25] #2556/08147 | true=stand | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 23:39:39] #2557/08147 | true=stand | pred=sit | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-13 23:39:42] #2558/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 23:39:49] #2559/08147 | true=stand | pred=sit | ✗ | ent=0.940 conf=0.700 gap=0.600
[2026-05-13 23:40:02] #2560/08147 | true=stand | pred=stand | ✓ | ent=0.959 conf=0.730 gap=0.580
[2026-05-13 23:40:02]   [2560/8147] acc=84% filt=2328
[2026-05-13 23:40:14] #2561/08147 | true=stand | pred=stand | ✓ | ent=0.797 conf=0.800 gap=0.720
[2026-05-13 23:40:19] #2562/08147 | true=stand | pred=stand | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-13 23:40:44] #2563/08147 | true=stand | pred=shuffle | ✗ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 23:40:54] #2564/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 23:41:03] #2565/08147 | true=stand | pred=stand | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-13 23:41:28] #2566/08147 | true=stand | pred=stand | ✓ | ent=0.845 conf=0.800 gap=0.720
[2026-05-13 23:41:36] #2567/08147 | true=stand | pred=stand | ✓ | ent=0.571 conf=0.880 gap=0.830
[2026-05-13 23:41:40] #2568/08147 | true=stand | pred=stand | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-13 23:41:52] #2569/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 23:42:17] #2570/08147 | true=stand | pred=shuffle | ✗ | ent=1.468 conf=0.500 gap=0.250
[2026-05-13 23:42:26] #2571/08147 | true=stand | pred=stand | ✓ | ent=0.387 conf=0.931 gap=0.921
[2026-05-13 23:42:41] #2572/08147 | true=stand | pred=stand | ✓ | ent=0.279 conf=0.940 gap=0.900
[2026-05-13 23:42:52] #2573/08147 | true=stand | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 23:42:58] #2574/08147 | true=stand | pred=stand | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-13 23:43:06] #2575/08147 | true=stand | pred=stand | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-13 23:43:09] #2576/08147 | true=stand | pred=stand | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-13 23:43:19] #2577/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 23:43:23] #2578/08147 | true=stand | pred=stand | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-13 23:43:35] #2579/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 23:43:46] #2580/08147 | true=stand | pred=stand | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-13 23:43:46]   [2580/8147] acc=84% filt=2346
[2026-05-13 23:43:56] #2581/08147 | true=stand | pred=stand | ✓ | ent=0.679 conf=0.850 gap=0.800
[2026-05-13 23:44:00] #2582/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 23:44:02] #2583/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 23:44:18] #2584/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 23:44:20] #2585/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 23:44:24] #2586/08147 | true=stand | pred=stand | ✓ | ent=1.089 conf=0.400 gap=0.100
[2026-05-13 23:44:27] #2587/08147 | true=stand | pred=stand | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-13 23:44:39] #2588/08147 | true=stand | pred=stand | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-13 23:45:04] #2589/08147 | true=stand | pred=walk | ✗ | ent=1.327 conf=0.450 gap=0.200
[2026-05-13 23:45:07] #2590/08147 | true=stand | pred=stand | ✓ | ent=0.858 conf=0.750 gap=0.580
[2026-05-13 23:45:10] #2591/08147 | true=stand | pred=stand | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-13 23:45:13] #2592/08147 | true=stand | pred=stand | ✓ | ent=0.880 conf=0.750 gap=0.600
[2026-05-13 23:45:16] #2593/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 23:45:25] #2594/08147 | true=stand | pred=stand | ✓ | ent=0.927 conf=0.550 gap=0.200
[2026-05-13 23:45:38] #2595/08147 | true=stand | pred=shuffle | ✗ | ent=0.791 conf=0.650 gap=0.350
[2026-05-13 23:45:46] #2596/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-13 23:45:50] #2597/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 23:46:05] #2598/08147 | true=stand | pred=stand | ✓ | ent=0.585 conf=0.850 gap=0.750
[2026-05-13 23:46:19] #2599/08147 | true=stand | pred=shuffle | ✗ | ent=1.040 conf=0.480 gap=0.040
[2026-05-13 23:46:23] #2600/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 23:46:23]   [2600/8147] acc=84% filt=2363
[2026-05-13 23:46:27] #2601/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 23:46:45] #2602/08147 | true=stand | pred=lying | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 23:47:01] #2603/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 23:47:10] #2604/08147 | true=stand | pred=stand | ✓ | ent=0.814 conf=0.800 gap=0.700
[2026-05-13 23:47:26] #2605/08147 | true=stand | pred=lying | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 23:47:38] #2606/08147 | true=stand | pred=stand | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-13 23:47:45] #2607/08147 | true=stand | pred=walk | ✗ | ent=0.806 conf=0.800 gap=0.720
[2026-05-13 23:48:02] #2608/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 23:48:27] #2609/08147 | true=stand | pred=stand | ✓ | ent=0.334 conf=0.930 gap=0.890
[2026-05-13 23:48:31] #2610/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 23:48:34] #2611/08147 | true=stand | pred=stand | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-13 23:48:45] #2612/08147 | true=stand | pred=stand | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-13 23:48:49] #2613/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 23:48:54] #2614/08147 | true=stand | pred=stand | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-13 23:48:58] #2615/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 23:49:02] #2616/08147 | true=stand | pred=stand | ✓ | ent=0.693 conf=0.820 gap=0.700
[2026-05-13 23:49:05] #2617/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 23:49:11] #2618/08147 | true=stand | pred=stand | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 23:49:15] #2619/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-13 23:49:34] #2620/08147 | true=stand | pred=walk | ✗ | ent=1.709 conf=0.350 gap=0.100
[2026-05-13 23:49:34]   [2620/8147] acc=84% filt=2382
[2026-05-13 23:49:49] #2621/08147 | true=stand | pred=sit | ✗ | ent=0.986 conf=0.700 gap=0.580
[2026-05-13 23:50:06] #2622/08147 | true=stand | pred=stand | ✓ | ent=1.017 conf=0.700 gap=0.550
[2026-05-13 23:50:12] #2623/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 23:50:16] #2624/08147 | true=stand | pred=stand | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-13 23:50:31] #2625/08147 | true=stand | pred=stand | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-13 23:50:35] #2626/08147 | true=stand | pred=stand | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-13 23:50:44] #2627/08147 | true=stand | pred=stand | ✓ | ent=0.517 conf=0.830 gap=0.680
[2026-05-13 23:50:48] #2628/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 23:51:03] #2629/08147 | true=stand | pred=shuffle | ✗ | ent=1.440 conf=0.450 gap=0.200
[2026-05-13 23:51:11] #2630/08147 | true=stand | pred=stand | ✓ | ent=1.040 conf=0.500 gap=0.250
[2026-05-13 23:51:20] #2631/08147 | true=stand | pred=stand | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-13 23:51:23] #2632/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 23:51:37] #2633/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 23:51:53] #2634/08147 | true=stand | pred=shuffle | ✗ | ent=1.469 conf=0.350 gap=0.000
[2026-05-13 23:52:01] #2635/08147 | true=stand | pred=stand | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-13 23:52:12] #2636/08147 | true=stand | pred=stand | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 23:52:20] #2637/08147 | true=stand | pred=stand | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 23:52:23] #2638/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 23:52:26] #2639/08147 | true=stand | pred=stand | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 23:52:36] #2640/08147 | true=stand | pred=stand | ✓ | ent=0.679 conf=0.850 gap=0.800
[2026-05-13 23:52:36]   [2640/8147] acc=84% filt=2399
[2026-05-13 23:52:45] #2641/08147 | true=stand | pred=stand | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-13 23:52:59] #2642/08147 | true=stand | pred=stand | ✓ | ent=0.321 conf=0.930 gap=0.890
[2026-05-13 23:53:20] #2643/08147 | true=stand | pred=shuffle | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-13 23:53:25] #2644/08147 | true=stand | pred=stand | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-13 23:53:30] #2645/08147 | true=stand | pred=stand | ✓ | ent=0.649 conf=0.850 gap=0.770
[2026-05-13 23:53:33] #2646/08147 | true=stand | pred=stand | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 23:53:52] #2647/08147 | true=stand | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
