[2026-05-11 11:04:24] #0001/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.458 | conf=0.900 | gap=0.860
[2026-05-12 06:40:29] #1923/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-12 06:40:58] #1924/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.875 | conf=0.800 | gap=0.750
[2026-05-12 06:41:29] #1925/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.693 | conf=0.850 | gap=0.800
[2026-05-12 06:42:22] #1926/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 06:43:15] #1927/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 06:43:41] #1928/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.286 | conf=0.950 | gap=0.940
[2026-05-12 06:44:16] #1929/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-12 06:45:01] #1930/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.689 | conf=0.812 | gap=0.750
[2026-05-12 06:47:37] #1931/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.332 | conf=0.920 | gap=0.870
[2026-05-12 06:47:58] #1932/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-12 06:48:10] #1933/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.687 | conf=0.750 | gap=0.550
[2026-05-12 06:48:54] #1934/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.611 | conf=0.700 | gap=0.400
[2026-05-12 06:49:39] #1935/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.389 | conf=0.895 | gap=0.811
[2026-05-12 06:50:15] #1936/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 06:50:45] #1937/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.807 | conf=0.789 | gap=0.737
[2026-05-12 06:51:24] #1938/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 06:52:17] #1939/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=1.089 | conf=0.600 | gap=0.400
[2026-05-12 06:53:25] #1940/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.961 | conf=0.722 | gap=0.611
[2026-05-12 06:54:09] #1941/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-12 06:55:03] #1942/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 06:55:19] #1943/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-12 06:55:48] #1944/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.200 | conf=0.959 | gap=0.938
[2026-05-12 06:56:24] #1945/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.716 | conf=0.830 | gap=0.780
[2026-05-12 06:57:16] #1946/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-12 06:57:46] #1947/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-12 06:58:16] #1948/03347 | true=Sit-up(10) | pred=Pick(7) | ✗ | ent=0.536 | conf=0.876 | gap=0.825
[2026-05-12 06:58:57] #1949/03347 | true=Sit-up(10) | pred=Pick(7) | ✗ | ent=1.070 | conf=0.550 | gap=0.250
[2026-05-12 07:00:00] #1951/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.674 | conf=0.850 | gap=0.800
[2026-05-12 07:00:36] #1952/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-12 07:00:53] #1953/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-12 07:01:13] #1954/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.708 | conf=0.850 | gap=0.820
[2026-05-12 07:02:12] #1955/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.610 | conf=0.842 | gap=0.789
[2026-05-12 07:02:52] #1956/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-12 07:04:20] #1957/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.674 | conf=0.850 | gap=0.800
[2026-05-12 07:04:45] #1958/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 07:05:11] #1959/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-12 07:05:42] #1960/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=1.449 | conf=0.650 | gap=0.570
[2026-05-12 07:06:42] #1961/03347 | true=Sit-up(10) | pred=Stair-up(15) | ✗ | ent=1.110 | conf=0.700 | gap=0.620
[2026-05-12 07:07:26] #1962/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.404 | conf=0.920 | gap=0.900
[2026-05-12 07:08:21] #1963/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.834 | conf=0.750 | gap=0.600
[2026-05-12 07:09:19] #1964/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-12 07:10:13] #1965/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=1.348 | conf=0.611 | gap=0.500
[2026-05-12 07:11:20] #1966/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-12 07:11:52] #1967/03347 | true=Sit-up(10) | pred=Stair-up(15) | ✗ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-12 07:12:47] #1968/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.094 | conf=0.650 | gap=0.500
[2026-05-12 07:13:00] #1969/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 07:13:30] #1970/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-12 07:13:42] #1971/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-12 07:14:02] #1972/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-12 07:14:20] #1973/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.367 | conf=0.880 | gap=0.760
[2026-05-12 07:14:51] #1974/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.389 | conf=0.895 | gap=0.811
[2026-05-12 07:15:25] #1975/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.974 | conf=0.667 | gap=0.500
[2026-05-12 07:16:14] #1976/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=1.460 | conf=0.567 | gap=0.443
[2026-05-12 07:17:04] #1977/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-12 07:17:18] #1978/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 07:18:04] #1979/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=1.216 | conf=0.700 | gap=0.650
[2026-05-12 07:18:39] #1980/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.332 | conf=0.920 | gap=0.870
[2026-05-12 07:19:04] #1981/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.898 | conf=0.730 | gap=0.610
[2026-05-12 07:19:53] #1982/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=1.233 | conf=0.700 | gap=0.640
[2026-05-12 07:20:26] #1983/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-12 07:21:37] #1984/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 07:22:12] #1985/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.826 | conf=0.750 | gap=0.650
[2026-05-12 07:22:42] #1986/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-12 07:23:00] #1987/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-12 07:23:47] #1988/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 07:24:51] #1990/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 07:25:05] #1991/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 07:25:47] #1992/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-12 07:27:17] #1994/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-12 07:28:11] #1995/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-12 07:29:53] #1996/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 07:30:27] #1997/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-12 07:31:16] #1998/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.857 | conf=0.733 | gap=0.600
[2026-05-12 07:31:54] #1999/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-12 07:32:09] #2000/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-12 07:32:19] #2001/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.462 | conf=0.900 | gap=0.870
[2026-05-12 07:32:51] #2002/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-12 07:33:44] #2003/03347 | true=Sit-up(10) | pred=Stair-up(15) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-12 07:35:18] #2004/03347 | true=Sit-up(10) | pred=Pick(7) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 07:35:51] #2005/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 07:36:32] #2006/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=1.007 | conf=0.600 | gap=0.300
[2026-05-12 07:36:49] #2007/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-12 07:37:05] #2008/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-12 07:37:32] #2009/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 07:37:55] #2010/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-12 07:38:42] #2011/03347 | true=Sit-up(10) | pred=Stair-up(15) | ✗ | ent=0.657 | conf=0.850 | gap=0.810
[2026-05-12 07:39:39] #2013/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-12 07:40:24] #2014/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-12 07:41:08] #2015/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-12 07:42:45] #2017/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.516 | conf=0.880 | gap=0.820
[2026-05-12 07:43:16] #2018/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.375 | conf=0.900 | gap=0.820
[2026-05-12 07:43:45] #2019/03347 | true=Sit-up(10) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 07:44:56] #2020/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.859 | conf=0.800 | gap=0.750
[2026-05-12 07:45:14] #2021/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-12 07:45:44] #2022/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.537 | conf=0.842 | gap=0.737
[2026-05-12 07:46:39] #2023/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 07:47:43] #2025/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 07:48:13] #2026/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.582 | conf=0.880 | gap=0.860
[2026-05-12 07:48:29] #2027/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.434 | conf=0.900 | gap=0.860
[2026-05-12 07:48:45] #2028/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.196 | conf=0.960 | gap=0.940
[2026-05-12 07:49:18] #2029/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 07:51:47] #2030/03347 | true=Sit-up(10) | pred=Stair-up(15) | ✗ | ent=0.811 | conf=0.800 | gap=0.750
[2026-05-12 07:52:35] #2031/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 07:53:21] #2032/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.409 | conf=0.895 | gap=0.842
[2026-05-12 07:53:48] #2033/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.613 | conf=0.800 | gap=0.650
[2026-05-12 07:54:20] #2034/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.689 | conf=0.800 | gap=0.700
[2026-05-12 07:55:05] #2035/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 07:55:41] #2036/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=1.070 | conf=0.550 | gap=0.250
[2026-05-12 07:56:35] #2037/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.077 | conf=0.714 | gap=0.619
[2026-05-12 07:57:22] #2038/03347 | true=Sit-up(10) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 07:58:09] #2039/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-12 07:58:48] #2040/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.731 | conf=0.750 | gap=0.600
[2026-05-12 07:59:48] #2041/03347 | true=Sit-up(10) | pred=Table-tennis(17) | ✗ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 08:00:26] #2042/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.396 | conf=0.918 | gap=0.898
[2026-05-12 08:01:04] #2043/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-12 08:01:36] #2044/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-12 08:02:12] #2045/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.753 | conf=0.737 | gap=0.579
[2026-05-12 08:03:03] #2046/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.673 | conf=0.600 | gap=0.200
[2026-05-12 08:03:57] #2047/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-12 08:04:35] #2048/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.984 | conf=0.700 | gap=0.550
[2026-05-12 08:05:11] #2049/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=1.400 | conf=0.550 | gap=0.350
[2026-05-12 08:05:45] #2050/03347 | true=Sit-up(10) | pred=Stand(0) | ✗ | ent=1.275 | conf=0.550 | gap=0.300
[2026-05-12 08:06:38] #2051/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-12 08:07:11] #2052/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-12 08:08:16] #2053/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=1.464 | conf=0.619 | gap=0.476
[2026-05-12 08:08:59] #2054/03347 | true=Sit-up(10) | pred=Stair-up(15) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 08:09:40] #2055/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-12 08:10:33] #2056/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.462 | conf=0.900 | gap=0.870
[2026-05-12 08:10:52] #2057/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.518 | conf=0.850 | gap=0.750
[2026-05-12 08:11:48] #2058/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.792 | conf=0.800 | gap=0.720
[2026-05-12 08:12:31] #2059/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-12 08:12:54] #2060/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.445 | conf=0.895 | gap=0.842
[2026-05-12 08:13:27] #2061/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.278 | conf=0.550 | gap=0.400
[2026-05-12 08:14:55] #2063/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-12 08:15:49] #2064/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.933 | conf=0.789 | gap=0.737
[2026-05-12 08:16:25] #2065/03347 | true=Sit-up(10) | pred=Pick(7) | ✗ | ent=0.895 | conf=0.750 | gap=0.650
[2026-05-12 08:17:16] #2066/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.886 | conf=0.650 | gap=0.450
[2026-05-12 08:17:44] #2067/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-12 08:18:34] #2068/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 08:19:20] #2069/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-12 08:20:47] #2070/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.490 | conf=0.880 | gap=0.830
[2026-05-12 08:21:52] #2071/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.325 | conf=0.900 | gap=0.800
[2026-05-12 08:22:42] #2072/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.892 | conf=0.750 | gap=0.600
[2026-05-12 08:23:06] #2073/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.708 | conf=0.800 | gap=0.700
[2026-05-12 08:24:04] #2074/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.390 | conf=0.920 | gap=0.900
[2026-05-12 08:24:26] #2075/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.792 | conf=0.800 | gap=0.720
[2026-05-12 08:25:26] #2076/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-12 08:26:29] #2077/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.669 | conf=0.850 | gap=0.800
[2026-05-12 08:27:38] #2078/03347 | true=Sit-up(10) | pred=Stair-up(15) | ✗ | ent=1.297 | conf=0.600 | gap=0.500
[2026-05-12 08:28:24] #2079/03347 | true=Sit-up(10) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 08:28:53] #2080/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.079 | conf=0.700 | gap=0.600
[2026-05-12 08:29:37] #2081/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.164 | conf=0.650 | gap=0.500
[2026-05-12 08:30:26] #2082/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.524 | conf=0.880 | gap=0.830
[2026-05-12 08:31:08] #2083/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.461 | conf=0.900 | gap=0.850
[2026-05-12 08:31:30] #2084/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.661 | conf=0.789 | gap=0.684
[2026-05-12 08:32:26] #2085/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-12 08:33:29] #2086/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.687 | conf=0.750 | gap=0.550
[2026-05-12 08:34:18] #2087/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.688 | conf=0.550 | gap=0.100
[2026-05-12 08:35:04] #2088/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=1.070 | conf=0.550 | gap=0.250
[2026-05-12 08:35:54] #2089/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.445 | conf=0.895 | gap=0.842
[2026-05-12 08:36:36] #2090/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=1.010 | conf=0.700 | gap=0.600
[2026-05-12 08:37:27] #2091/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 08:37:57] #2092/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 08:38:48] #2093/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.655 | conf=0.850 | gap=0.800
[2026-05-12 08:39:24] #2094/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 08:40:38] #2095/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=1.271 | conf=0.600 | gap=0.450
[2026-05-12 08:41:47] #2097/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.655 | conf=0.778 | gap=0.611
[2026-05-12 08:42:46] #2098/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.778 | conf=0.800 | gap=0.750
[2026-05-12 08:44:32] #2099/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.669 | conf=0.850 | gap=0.800
[2026-05-12 08:46:17] #2100/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.679 | conf=0.850 | gap=0.800
[2026-05-12 08:47:28] #2101/03347 | true=Sit-up(10) | pred=Walk(11) | ✗ | ent=1.005 | conf=0.720 | gap=0.620
[2026-05-12 08:48:26] #2102/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.679 | conf=0.850 | gap=0.800
[2026-05-12 08:49:03] #2103/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.426 | conf=0.889 | gap=0.833
[2026-05-12 08:49:19] #2104/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 08:50:07] #2105/03347 | true=Sit-up(10) | pred=Stair-up(15) | ✗ | ent=0.945 | conf=0.750 | gap=0.670
[2026-05-12 08:50:59] #2106/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 08:51:17] #2107/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.206 | conf=0.947 | gap=0.895
[2026-05-12 08:51:57] #2108/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 08:52:20] #2109/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=1.094 | conf=0.650 | gap=0.500
[2026-05-12 08:52:37] #2110/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.480 | conf=0.895 | gap=0.863
[2026-05-12 08:53:05] #2111/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=0.384 | conf=0.920 | gap=0.890
[2026-05-12 08:53:21] #2112/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.807 | conf=0.789 | gap=0.737
[2026-05-12 08:53:42] #2113/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.742 | conf=0.800 | gap=0.700
[2026-05-12 08:54:35] #2114/03347 | true=Sit-up(10) | pred=Stair-up(15) | ✗ | ent=0.688 | conf=0.850 | gap=0.820
[2026-05-12 08:55:12] #2115/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.423 | conf=0.850 | gap=0.700
[2026-05-12 08:55:45] #2116/03347 | true=Sit-up(10) | pred=Lay-stand(6) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-12 08:57:00] #2117/03347 | true=Sit-up(10) | pred=Stand-sit(4) | ✗ | ent=0.621 | conf=0.850 | gap=0.800
[2026-05-12 08:57:44] #2118/03347 | true=Sit-up(10) | pred=Sit-up(10) | ✓ | ent=0.279 | conf=0.950 | gap=0.940
[2026-05-12 08:58:35] #2119/03347 | true=Sit-up(10) | pred=Pick(7) | ✗ | ent=0.914 | conf=0.700 | gap=0.550
[2026-05-12 08:59:15] #2120/03347 | true=Sit-up(10) | pred=Push-up(9) | ✗ | ent=1.469 | conf=0.550 | gap=0.450
