[2026-05-08 16:32:10]   [002/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.13 | top=5:0.98, 0:0.00
[2026-05-09 05:50:34]   [5235/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=0.89 | top=16:0.75, 15:0.12
[2026-05-09 05:50:50]   [5237/41505] | true=Talk-sit(2) | pred=Talk-sit(2) |  ✓ | ent=1.21 | top=2:0.72, 1:0.08
[2026-05-09 05:51:00]   [5239/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.92 | top=5:0.83, 0:0.01
[2026-05-09 05:51:04]   [5240/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.15 | top=5:0.98, 1:0.00
[2026-05-09 05:51:16]   [5242/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.80 | top=1:0.78, 0:0.12
[2026-05-09 05:51:21]   [5243/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.54 | top=5:0.90, 1:0.02
[2026-05-09 05:51:47]   [5247/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.76 | top=11:0.55, 13:0.12
[2026-05-09 05:51:51]   [5248/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.38 | top=4:0.69, 6:0.10
[2026-05-09 05:51:56]   [5249/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.03 | top=14:0.99, 8:0.01
[2026-05-09 05:52:16]   [5251/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=1.53 | top=8:0.63, 14:0.14
[2026-05-09 05:52:23]   [5252/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.07 | top=11:0.80, 7:0.02
[2026-05-09 05:52:42]   [5255/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.48 | top=4:0.69, 6:0.05
[2026-05-09 05:53:04]   [5259/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.18 | top=11:0.62, 16:0.18
[2026-05-09 05:53:09]   [5260/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.78 | top=4:0.85, 7:0.03
[2026-05-09 05:53:22]   [5262/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.76 | top=4:0.85, 6:0.04
[2026-05-09 05:53:42]   [5266/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.92 | top=5:0.83, 2:0.02
[2026-05-09 05:53:47]   [5267/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.45 | top=4:0.92, 0:0.01
[2026-05-09 05:54:07]   [5270/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.84 | top=1:0.83, 0:0.08
[2026-05-09 05:54:42]   [5274/41505] | true=Pick(7) | pred=Pick(7) |  ✓ | ent=1.81 | top=7:0.55, 3:0.10
[2026-05-09 05:54:47]   [5275/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.05 | top=11:0.72, 12:0.12
[2026-05-09 05:54:53]   [5276/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=2.01 | top=6:0.45, 5:0.15
[2026-05-09 05:55:22]   [5279/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.96 | top=1:0.72, 0:0.18
[2026-05-09 05:55:46]   [5282/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.63 | top=0:0.86, 1:0.05
[2026-05-09 05:55:52]   [5283/41505] | true=Talk-sit(2) | pred=Talk-sit(2) |  ✓ | ent=1.03 | top=2:0.80, 1:0.05
[2026-05-09 05:56:19]   [5288/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.77 | top=4:0.85, 6:0.03
[2026-05-09 05:56:47]   [5292/41505] | true=Talk-sit(2) | pred=Talk-sit(2) |  ✓ | ent=1.24 | top=2:0.72, 1:0.08
[2026-05-09 05:56:53]   [5293/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.20 | top=14:0.95, 8:0.05
[2026-05-09 05:57:36]   [5300/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.61 | top=0:0.85, 1:0.07
[2026-05-09 05:57:41]   [5301/41505] | true=Stair-up(15) | pred=Stair-up(15) |  ✓ | ent=1.58 | top=15:0.48, 12:0.15
[2026-05-09 05:59:05]   [5311/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.07 | top=6:0.78, 4:0.05
[2026-05-09 05:59:11]   [5312/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=0.96 | top=6:0.83, 7:0.02
[2026-05-09 05:59:47]   [5318/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.20 | top=14:0.95, 17:0.05
[2026-05-09 06:00:09]   [5322/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.32 | top=0:0.93, 1:0.04
[2026-05-09 06:00:50]   [5327/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=1.56 | top=17:0.61, 11:0.08
[2026-05-09 06:01:04]   [5329/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.30 | top=4:0.72, 10:0.08
[2026-05-09 06:01:09]   [5330/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.22 | top=8:0.95, 14:0.04
[2026-05-09 06:01:20]   [5332/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.29 | top=4:0.71, 6:0.08
[2026-05-09 06:02:00]   [5338/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=-0.00 | top=17:1.00, 0:0.00
[2026-05-09 06:02:06]   [5339/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=0.74 | top=11:0.85, 12:0.04
[2026-05-09 06:02:18]   [5341/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.15 | top=8:0.97, 14:0.02
[2026-05-09 06:02:22]   [5342/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.33 | top=1:0.92, 2:0.04
[2026-05-09 06:02:31]   [5343/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.48 | top=1:0.87, 2:0.08
[2026-05-09 06:02:43]   [5345/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.28 | top=3:0.74, 0:0.05
[2026-05-09 06:02:59]   [5348/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.87 | top=0:0.84, 1:0.01
[2026-05-09 06:03:15]   [5350/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.42 | top=4:0.67, 6:0.10
[2026-05-09 06:03:20]   [5351/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.17 | top=14:0.97, 8:0.01
[2026-05-09 06:03:32]   [5353/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=0.93 | top=16:0.75, 15:0.10
[2026-05-09 06:03:36]   [5354/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.62 | top=1:0.86, 0:0.05
[2026-05-09 06:03:48]   [5355/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=0.92 | top=17:0.75, 16:0.10
[2026-05-09 06:03:54]   [5356/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.13 | top=5:0.98, 0:0.00
[2026-05-09 06:03:58]   [5357/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.15 | top=8:0.97, 14:0.02
[2026-05-09 06:04:10]   [5359/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.87 | top=0:0.84, 1:0.01
[2026-05-09 06:04:57]   [5365/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.82 | top=4:0.82, 3:0.05
[2026-05-09 06:05:04]   [5366/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.33 | top=11:0.72, 12:0.05
[2026-05-09 06:05:43]   [5370/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=0.64 | top=11:0.85, 12:0.05
[2026-05-09 06:05:54]   [5372/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=0.84 | top=16:0.80, 11:0.08
[2026-05-09 06:06:20]   [5375/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.37 | top=0:0.92, 1:0.05
[2026-05-09 06:07:20]   [5384/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.28 | top=8:0.94, 14:0.04
[2026-05-09 06:07:25]   [5385/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=2.47 | top=16:0.25, 15:0.12
[2026-05-09 06:07:48]   [5388/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=1.32 | top=8:0.65, 14:0.15
[2026-05-09 06:08:09]   [5392/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.17 | top=14:0.97, 8:0.01
[2026-05-09 06:08:26]   [5395/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=0.80 | top=3:0.85, 0:0.02
[2026-05-09 06:08:40]   [5397/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.87 | top=0:0.82, 1:0.06
[2026-05-09 06:08:45]   [5398/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=1.04 | top=5:0.80, 2:0.03
[2026-05-09 06:09:39]   [5404/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=0.91 | top=16:0.78, 11:0.05
[2026-05-09 06:10:50]   [5415/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=1.18 | top=0:0.70, 1:0.12
[2026-05-09 06:11:04]   [5417/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.94 | top=6:0.50, 5:0.10
[2026-05-09 06:11:19]   [5419/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.61 | top=3:0.65, 0:0.05
[2026-05-09 06:11:24]   [5420/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=0.90 | top=11:0.82, 12:0.04
[2026-05-09 06:11:42]   [5423/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=-0.00 | top=17:1.00, 0:0.00
[2026-05-09 06:12:05]   [5427/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=1.29 | top=0:0.65, 2:0.10
[2026-05-09 06:12:20]   [5429/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.59 | top=14:0.85, 8:0.05
[2026-05-09 06:12:26]   [5430/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=0.23 | top=11:0.97, 12:0.01
[2026-05-09 06:12:36]   [5432/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.61 | top=8:0.85, 14:0.10
[2026-05-09 06:13:02]   [5435/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.43 | top=6:0.69, 5:0.05
[2026-05-09 06:14:00]   [5444/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.28 | top=8:0.92, 14:0.08
[2026-05-09 06:14:18]   [5446/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=1.03 | top=16:0.72, 11:0.12
[2026-05-09 06:14:32]   [5448/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=1.15 | top=17:0.74, 16:0.07
[2026-05-09 06:14:36]   [5449/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.13 | top=5:0.98, 0:0.00
[2026-05-09 06:14:57]   [5452/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.85 | top=11:0.54, 12:0.08
[2026-05-09 06:15:18]   [5455/41505] | true=Talk-sit(2) | pred=Talk-sit(2) |  ✓ | ent=1.64 | top=2:0.44, 0:0.34
[2026-05-09 06:16:03]   [5461/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.18 | top=6:0.72, 7:0.08
[2026-05-09 06:16:08]   [5462/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.89 | top=5:0.84, 0:0.01
[2026-05-09 06:17:49]   [5477/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=1.16 | top=1:0.76, 0:0.05
[2026-05-09 06:18:03]   [5479/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.33 | top=14:0.94, 8:0.03
[2026-05-09 06:18:33]   [5483/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.30 | top=5:0.95, 1:0.01
[2026-05-09 06:19:01]   [5488/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.43 | top=0:0.93, 1:0.01
[2026-05-09 06:19:07]   [5489/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.23 | top=0:0.96, 1:0.01
[2026-05-09 06:19:27]   [5492/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=0.90 | top=11:0.75, 16:0.10
[2026-05-09 06:19:39]   [5494/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.16 | top=0:0.98, 1:0.00
[2026-05-09 06:20:15]   [5499/41505] | true=Talk-sit(2) | pred=Talk-sit(2) |  ✓ | ent=1.67 | top=2:0.55, 1:0.15
[2026-05-09 06:20:26]   [5500/41505] | true=Stair-up(15) | pred=Stair-up(15) |  ✓ | ent=2.12 | top=15:0.42, 12:0.10
[2026-05-09 06:20:57]   [5504/41505] | true=Talk-sit(2) | pred=Talk-sit(2) |  ✓ | ent=1.25 | top=2:0.70, 1:0.15
[2026-05-09 06:21:35]   [5509/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.35 | top=0:0.94, 1:0.01
[2026-05-09 06:21:42]   [5510/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.39 | top=11:0.70, 12:0.06
[2026-05-09 06:22:28]   [5516/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.30 | top=0:0.95, 1:0.01
[2026-05-09 06:23:29]   [5525/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.06 | top=5:0.99, 6:0.01
[2026-05-09 06:23:58]   [5531/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.90 | top=4:0.80, 3:0.05
[2026-05-09 06:24:04]   [5532/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.39 | top=14:0.90, 8:0.05
[2026-05-09 06:24:27]   [5535/41505] | true=Talk-sit(2) | pred=Talk-sit(2) |  ✓ | ent=1.54 | top=2:0.60, 1:0.15
[2026-05-09 06:24:46]   [5538/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.31 | top=0:0.94, 1:0.02
[2026-05-09 06:24:53]   [5539/41505] | true=Stair-up(15) | pred=Stair-up(15) |  ✓ | ent=2.29 | top=15:0.25, 11:0.15
[2026-05-09 06:25:04]   [5541/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.40 | top=8:0.92, 14:0.04
[2026-05-09 06:25:17]   [5543/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=2.15 | top=6:0.45, 10:0.10
[2026-05-09 06:25:28]   [5545/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.55 | top=1:0.85, 2:0.10
[2026-05-09 06:25:46]   [5548/41505] | true=Push-up(9) | pred=Push-up(9) |  ✓ | ent=0.99 | top=9:0.82, 7:0.02
[2026-05-09 06:26:41]   [5555/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.15 | top=5:0.98, 2:0.00
[2026-05-09 06:27:01]   [5558/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=0.79 | top=17:0.80, 16:0.09
[2026-05-09 06:27:33]   [5562/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=-0.00 | top=5:1.00, 0:0.00
[2026-05-09 06:27:48]   [5564/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.53 | top=5:0.92, 0:0.00
[2026-05-09 06:28:00]   [5566/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.89 | top=5:0.84, 0:0.01
[2026-05-09 06:28:18]   [5568/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=1.02 | top=16:0.74, 11:0.08
[2026-05-09 06:28:58]   [5574/41505] | true=Pick(7) | pred=Pick(7) |  ✓ | ent=1.32 | top=7:0.72, 4:0.06
[2026-05-09 06:29:05]   [5575/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=0.74 | top=16:0.84, 11:0.05
[2026-05-09 06:29:23]   [5578/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.13 | top=6:0.78, 5:0.05
[2026-05-09 06:29:39]   [5581/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.13 | top=5:0.98, 0:0.00
[2026-05-09 06:29:56]   [5583/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=2.08 | top=6:0.45, 10:0.12
[2026-05-09 06:30:39]   [5589/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=0.72 | top=3:0.85, 0:0.05
[2026-05-09 06:30:46]   [5590/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=0.65 | top=16:0.85, 11:0.05
[2026-05-09 06:31:03]   [5592/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.45 | top=0:0.90, 1:0.06
[2026-05-09 06:31:55]   [5599/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.31 | top=8:0.95, 14:0.02
[2026-05-09 06:32:24]   [5604/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.92 | top=5:0.83, 0:0.01
[2026-05-09 06:32:59]   [5608/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.14 | top=11:0.78, 9:0.02
[2026-05-09 06:33:19]   [5611/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=0.87 | top=16:0.79, 15:0.08
[2026-05-09 06:33:36]   [5612/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=1.77 | top=16:0.53, 11:0.15
[2026-05-09 06:33:52]   [5614/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.21 | top=0:0.96, 1:0.02
[2026-05-09 06:34:09]   [5617/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.06 | top=11:0.70, 16:0.10
[2026-05-09 06:34:19]   [5618/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=0.66 | top=17:0.85, 16:0.07
[2026-05-09 06:34:25]   [5619/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.58 | top=0:0.88, 2:0.05
[2026-05-09 06:34:54]   [5623/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.59 | top=6:0.64, 4:0.08
[2026-05-09 06:35:01]   [5624/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.50 | top=8:0.85, 14:0.12
[2026-05-09 06:36:24]   [5635/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.23 | top=5:0.97, 0:0.00
[2026-05-09 06:36:46]   [5639/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.67 | top=1:0.86, 0:0.05
[2026-05-09 06:36:56]   [5641/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=1.08 | top=17:0.65, 16:0.20
[2026-05-09 06:37:21]   [5645/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=0.57 | top=17:0.85, 16:0.08
[2026-05-09 06:38:27]   [5653/41505] | true=Talk-sit(2) | pred=Talk-sit(2) |  ✓ | ent=1.03 | top=2:0.80, 17:0.03
[2026-05-09 06:38:55]   [5657/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=0.50 | top=4:0.91, 0:0.01
[2026-05-09 06:39:00]   [5658/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.82 | top=6:0.55, 5:0.10
[2026-05-09 06:39:11]   [5659/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.03 | top=11:0.72, 13:0.10
[2026-05-09 06:39:20]   [5660/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.77 | top=3:0.55, 7:0.10
[2026-05-09 06:39:29]   [5661/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.11 | top=8:0.98, 14:0.01
[2026-05-09 06:39:34]   [5662/41505] | true=Push-up(9) | pred=Push-up(9) |  ✓ | ent=0.14 | top=9:0.98, 0:0.00
[2026-05-09 06:39:56]   [5666/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.35 | top=0:0.94, 1:0.01
[2026-05-09 06:40:44]   [5673/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.52 | top=5:0.92, 0:0.00
[2026-05-09 06:41:08]   [5676/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.91 | top=1:0.72, 2:0.14
[2026-05-09 06:41:30]   [5680/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=0.53 | top=1:0.88, 0:0.05
[2026-05-09 06:41:48]   [5682/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.33 | top=0:0.95, 1:0.02
[2026-05-09 06:41:57]   [5683/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.74 | top=11:0.55, 9:0.15
[2026-05-09 06:42:39]   [5690/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.66 | top=8:0.85, 14:0.07
[2026-05-09 06:43:40]   [5698/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.52 | top=0:0.90, 3:0.05
[2026-05-09 06:43:47]   [5699/41505] | true=Pick(7) | pred=Pick(7) |  ✓ | ent=1.41 | top=7:0.70, 10:0.05
[2026-05-09 06:43:54]   [5700/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=0.89 | top=11:0.82, 12:0.04
[2026-05-09 06:43:59]   [5701/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.26 | top=4:0.74, 6:0.05
[2026-05-09 06:44:16]   [5704/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.42 | top=8:0.93, 14:0.03
[2026-05-09 06:44:45]   [5709/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.20 | top=14:0.96, 8:0.02
[2026-05-09 06:44:58]   [5711/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.57 | top=5:0.90, 2:0.02
[2026-05-09 06:45:49]   [5718/41505] | true=Push-up(9) | pred=Push-up(9) |  ✓ | ent=1.26 | top=9:0.74, 7:0.05
[2026-05-09 06:46:40]   [5725/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.36 | top=8:0.93, 14:0.03
[2026-05-09 06:46:46]   [5726/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=0.65 | top=11:0.85, 12:0.05
[2026-05-09 06:47:01]   [5728/41505] | true=Sit-up(10) | pred=Sit-up(10) |  ✓ | ent=2.00 | top=10:0.50, 7:0.08
[2026-05-09 06:47:12]   [5729/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.57 | top=14:0.85, 16:0.08
[2026-05-09 06:47:18]   [5730/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=1.16 | top=14:0.72, 8:0.12
[2026-05-09 06:47:49]   [5733/41505] | true=Sit-up(10) | pred=Sit-up(10) |  ✓ | ent=1.87 | top=10:0.55, 6:0.08
[2026-05-09 06:48:08]   [5735/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.02 | top=0:1.00, 1:0.00
[2026-05-09 06:48:38]   [5738/41505] | true=Table-tennis(17) | pred=Table-tennis(17) |  ✓ | ent=2.07 | top=17:0.48, 16:0.08
[2026-05-09 06:49:06]   [5742/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.17 | top=0:0.98, 3:0.01
[2026-05-09 06:49:23]   [5745/41505] | true=Sit(1) | pred=Sit(1) |  ✓ | ent=1.10 | top=1:0.70, 0:0.15
[2026-05-09 06:49:52]   [5749/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.87 | top=8:0.65, 14:0.30
[2026-05-09 06:50:02]   [5751/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.19 | top=5:0.97, 6:0.00
[2026-05-09 06:50:41]   [5756/41505] | true=Stand-sit(4) | pred=Stand-sit(4) |  ✓ | ent=1.24 | top=4:0.72, 3:0.05
[2026-05-09 06:50:57]   [5758/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.27 | top=8:0.96, 14:0.01
[2026-05-09 06:51:18]   [5760/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=1.81 | top=11:0.54, 12:0.10
[2026-05-09 06:51:26]   [5761/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.43 | top=8:0.92, 14:0.02
[2026-05-09 06:51:32]   [5762/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.31 | top=3:0.73, 2:0.05
[2026-05-09 06:51:45]   [5764/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.21 | top=5:0.97, 6:0.01
[2026-05-09 06:51:58]   [5766/41505] | true=Push-up(9) | pred=Push-up(9) |  ✓ | ent=0.59 | top=9:0.88, 11:0.03
[2026-05-09 06:52:04]   [5767/41505] | true=Sit-up(10) | pred=Sit-up(10) |  ✓ | ent=2.30 | top=10:0.35, 7:0.15
[2026-05-09 06:52:20]   [5769/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.31 | top=0:0.95, 1:0.02
[2026-05-09 06:52:35]   [5771/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=1.79 | top=3:0.45, 4:0.20
[2026-05-09 06:53:03]   [5774/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.36 | top=14:0.94, 8:0.02
[2026-05-09 06:53:08]   [5775/41505] | true=Lay-stand(6) | pred=Lay-stand(6) |  ✓ | ent=1.20 | top=6:0.76, 10:0.05
[2026-05-09 06:53:21]   [5777/41505] | true=Stair-down(16) | pred=Stair-down(16) |  ✓ | ent=0.54 | top=16:0.89, 11:0.05
[2026-05-09 06:53:42]   [5780/41505] | true=Run(14) | pred=Run(14) |  ✓ | ent=0.41 | top=14:0.93, 11:0.02
[2026-05-09 06:54:06]   [5782/41505] | true=Talk-stand(3) | pred=Talk-stand(3) |  ✓ | ent=0.99 | top=3:0.82, 0:0.02
[2026-05-09 06:54:34]   [5785/41505] | true=Walk(11) | pred=Walk(11) |  ✓ | ent=0.86 | top=11:0.78, 16:0.10
[2026-05-09 06:54:43]   [5786/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.63 | top=0:0.89, 1:0.02
[2026-05-09 06:55:25]   [5790/41505] | true=Jump(8) | pred=Jump(8) |  ✓ | ent=0.59 | top=8:0.82, 14:0.15
[2026-05-09 06:55:35]   [5792/41505] | true=Stand(0) | pred=Stand(0) |  ✓ | ent=0.74 | top=0:0.85, 1:0.05
[2026-05-09 06:56:05]   [5797/41505] | true=Walk-backwards(12) | pred=Walk-backwards(12) |  ✓ | ent=1.72 | top=12:0.45, 13:0.30
[2026-05-09 06:56:15]   [5799/41505] | true=Lay(5) | pred=Lay(5) |  ✓ | ent=0.89 | top=5:0.84, 0:0.01
