[2026-05-08 11:36:33]   [001/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:05:38]   [400/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:05:40]   [401/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:05:46]   [402/673] | true=sit_on_bed(0) | pred=sit_on_chair(1) |  ✗ | ent=1.11 | top=1:0.60, 0:0.15
[2026-05-08 12:05:50]   [403/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:05:55]   [404/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=1.21 | top=2:0.50, 3:0.25
[2026-05-08 12:06:00]   [405/673] | true=ambulating(3) | pred=ambulating(3) |  ✓ | ent=1.06 | top=3:0.60, 1:0.20
[2026-05-08 12:06:03]   [406/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:06:08]   [407/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:06:21]   [408/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:06:27]   [409/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.07 | top=0:0.55, 1:0.30
[2026-05-08 12:06:30]   [410/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.14 | top=0:0.55, 1:0.25
[2026-05-08 12:06:32]   [411/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:06:38]   [412/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 12:06:41]   [413/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 12:06:46]   [414/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:06:50]   [415/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:06:52]   [416/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:06:57]   [417/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:06:59]   [418/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:07:00]   [419/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:07:02]   [420/673] | true=sit_on_chair(1) | pred=sit_on_chair(1) |  ✓ | ent=1.06 | top=1:0.60, 3:0.20
[2026-05-08 12:07:06]   [421/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:07:08]   [422/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 12:07:15]   [423/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:07:17]   [424/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.71 | top=2:0.80, 3:0.10
[2026-05-08 12:07:23]   [425/673] | true=sit_on_chair(1) | pred=sit_on_chair(1) |  ✓ | ent=1.17 | top=1:0.55, 3:0.20
[2026-05-08 12:07:26]   [426/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.07 | top=0:0.55, 1:0.30
[2026-05-08 12:07:30]   [427/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:07:35]   [428/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:07:37]   [429/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.94 | top=2:0.70, 0:0.10
[2026-05-08 12:07:43]   [430/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:07:45]   [431/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:07:51]   [432/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:07:53]   [433/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:07:57]   [434/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:08:01]   [435/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:08:04]   [436/673] | true=ambulating(3) | pred=ambulating(3) |  ✓ | ent=1.21 | top=3:0.50, 1:0.25
[2026-05-08 12:08:06]   [437/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:08:07]   [438/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:08:12]   [439/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.07 | top=0:0.55, 1:0.30
[2026-05-08 12:08:19]   [440/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:08:24]   [441/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 12:08:29]   [442/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:08:31]   [443/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:08:36]   [444/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:08:38]   [445/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:08:44]   [446/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 12:08:46]   [447/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.95 | top=2:0.68, 1:0.15
[2026-05-08 12:08:49]   [448/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.07 | top=0:0.55, 1:0.30
[2026-05-08 12:08:51]   [449/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 12:08:53]   [450/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.89 | top=2:0.72, 3:0.13
[2026-05-08 12:08:55]   [451/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:09:00]   [452/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 12:09:03]   [453/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:09:08]   [454/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:09:10]   [455/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 12:09:19]   [456/673] | true=sit_on_bed(0) | pred=sit_on_chair(1) |  ✗ | ent=1.11 | top=1:0.55, 3:0.25
[2026-05-08 12:09:21]   [457/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 12:09:25]   [458/673] | true=sit_on_chair(1) | pred=sit_on_chair(1) |  ✓ | ent=1.11 | top=1:0.55, 3:0.25
[2026-05-08 12:09:29]   [459/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:09:35]   [460/673] | true=sit_on_bed(0) | pred=sit_on_chair(1) |  ✗ | ent=1.11 | top=1:0.55, 3:0.25
[2026-05-08 12:09:38]   [461/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:09:41]   [462/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:09:45]   [463/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 12:09:47]   [464/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 12:09:52]   [465/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:09:54]   [466/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 12:09:57]   [467/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 12:09:59]   [468/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 12:10:01]   [469/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:10:03]   [470/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 12:10:06]   [471/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:10:13]   [472/673] | true=ambulating(3) | pred=sit_on_chair(1) |  ✗ | ent=1.16 | top=1:0.45, 3:0.35
[2026-05-08 12:10:20]   [473/673] | true=sit_on_chair(1) | pred=sit_on_chair(1) |  ✓ | ent=0.91 | top=1:0.70, 3:0.15
[2026-05-08 12:10:23]   [474/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 12:10:29]   [475/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.07 | top=0:0.55, 1:0.30
[2026-05-08 12:10:31]   [476/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:10:34]   [477/673] | true=sit_on_bed(0) | pred=sit_on_chair(1) |  ✗ | ent=1.06 | top=1:0.60, 3:0.20
[2026-05-08 12:10:37]   [478/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 3:0.15
[2026-05-08 12:10:39]   [479/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:10:40]   [480/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:10:43]   [481/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:10:50]   [482/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:10:52]   [483/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:10:53]   [484/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:10:56]   [485/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:10:59]   [486/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 12:11:00]   [487/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:11:04]   [488/673] | true=lying(2) | pred=sit_on_chair(1) |  ✗ | ent=1.11 | top=1:0.55, 3:0.25
[2026-05-08 12:11:08]   [489/673] | true=ambulating(3) | pred=sit_on_chair(1) |  ✗ | ent=1.18 | top=1:0.55, 0:0.15
[2026-05-08 12:11:14]   [490/673] | true=sit_on_bed(0) | pred=sit_on_chair(1) |  ✗ | ent=1.17 | top=1:0.55, 3:0.20
[2026-05-08 12:11:16]   [491/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:11:22]   [492/673] | true=sit_on_bed(0) | pred=sit_on_chair(1) |  ✗ | ent=1.06 | top=1:0.60, 3:0.20
[2026-05-08 12:11:24]   [493/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:11:30]   [494/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 12:11:33]   [495/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:11:35]   [496/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.02 | top=2:0.65, 3:0.15
[2026-05-08 12:11:41]   [497/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:11:44]   [498/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.94 | top=2:0.70, 0:0.10
[2026-05-08 12:11:48]   [499/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.83 | top=2:0.75, 1:0.10
[2026-05-08 12:11:50]   [500/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:11:52]   [501/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 12:11:54]   [502/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:11:57]   [503/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 12:12:05]   [504/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:12:07]   [505/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:12:09]   [506/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:12:12]   [507/673] | true=sit_on_bed(0) | pred=ambulating(3) |  ✗ | ent=1.21 | top=3:0.50, 1:0.25
[2026-05-08 12:12:14]   [508/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.98 | top=2:0.68, 1:0.12
[2026-05-08 12:12:17]   [509/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:12:20]   [510/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:12:25]   [511/673] | true=ambulating(3) | pred=lying(2) |  ✗ | ent=0.83 | top=2:0.75, 1:0.10
[2026-05-08 12:12:26]   [512/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:12:32]   [513/673] | true=sit_on_chair(1) | pred=lying(2) |  ✗ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 12:12:36]   [514/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:12:38]   [515/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.11 | top=2:0.60, 0:0.15
[2026-05-08 12:12:40]   [516/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 12:12:42]   [517/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:12:44]   [518/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:12:48]   [519/673] | true=sit_on_bed(0) | pred=sit_on_chair(1) |  ✗ | ent=1.11 | top=1:0.55, 3:0.25
[2026-05-08 12:12:52]   [520/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:12:54]   [521/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.94 | top=2:0.70, 0:0.10
[2026-05-08 12:12:55]   [522/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 3:0.15
[2026-05-08 12:12:58]   [523/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 3:0.15
[2026-05-08 12:13:02]   [524/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:13:06]   [525/673] | true=ambulating(3) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:13:12]   [526/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 12:13:15]   [527/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:13:18]   [528/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:13:20]   [529/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 3:0.15
[2026-05-08 12:13:22]   [530/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:13:27]   [531/673] | true=ambulating(3) | pred=lying(2) |  ✗ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 12:13:39]   [532/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.71 | top=2:0.80, 3:0.10
[2026-05-08 12:13:42]   [533/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:13:47]   [534/673] | true=sit_on_bed(0) | pred=ambulating(3) |  ✗ | ent=0.91 | top=3:0.70, 0:0.15
[2026-05-08 12:13:50]   [535/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:13:53]   [536/673] | true=sit_on_bed(0) | pred=sit_on_chair(1) |  ✗ | ent=1.24 | top=1:0.45, 3:0.30
[2026-05-08 12:13:55]   [537/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=0.95 | top=0:0.62, 1:0.28
[2026-05-08 12:13:58]   [538/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:14:01]   [539/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.91 | top=2:0.70, 0:0.15
[2026-05-08 12:14:06]   [540/673] | true=ambulating(3) | pred=ambulating(3) |  ✓ | ent=0.91 | top=3:0.70, 1:0.15
[2026-05-08 12:14:08]   [541/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:14:13]   [542/673] | true=sit_on_bed(0) | pred=sit_on_chair(1) |  ✗ | ent=0.97 | top=1:0.68, 0:0.12
[2026-05-08 12:14:16]   [543/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=1.03 | top=2:0.65, 3:0.15
[2026-05-08 12:14:19]   [544/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 12:14:21]   [545/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.07 | top=0:0.55, 1:0.30
[2026-05-08 12:14:22]   [546/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:14:25]   [547/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:14:30]   [548/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.90 | top=2:0.72, 1:0.12
[2026-05-08 12:14:34]   [549/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:14:37]   [550/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:14:40]   [551/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:14:42]   [552/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 1:0.15
[2026-05-08 12:14:47]   [553/673] | true=ambulating(3) | pred=sit_on_chair(1) |  ✗ | ent=1.16 | top=1:0.45, 0:0.35
[2026-05-08 12:14:49]   [554/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 3:0.15
[2026-05-08 12:14:51]   [555/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:14:53]   [556/673] | true=ambulating(3) | pred=ambulating(3) |  ✓ | ent=0.59 | top=3:0.85, 0:0.05
[2026-05-08 12:14:56]   [557/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:14:58]   [558/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:15:03]   [559/673] | true=sit_on_bed(0) | pred=ambulating(3) |  ✗ | ent=1.21 | top=3:0.50, 1:0.25
[2026-05-08 12:15:08]   [560/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=0.98 | top=0:0.65, 1:0.20
[2026-05-08 12:15:10]   [561/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:15:14]   [562/673] | true=sit_on_chair(1) | pred=sit_on_bed(0) |  ✗ | ent=0.95 | top=0:0.62, 1:0.28
[2026-05-08 12:15:16]   [563/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.17 | top=2:0.55, 3:0.20
[2026-05-08 12:15:18]   [564/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:15:23]   [565/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:15:28]   [566/673] | true=ambulating(3) | pred=lying(2) |  ✗ | ent=1.03 | top=2:0.65, 1:0.15
[2026-05-08 12:15:36]   [567/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 12:15:42]   [568/673] | true=sit_on_chair(1) | pred=sit_on_chair(1) |  ✓ | ent=1.11 | top=1:0.55, 3:0.25
[2026-05-08 12:15:44]   [569/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 12:15:46]   [570/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=0.95 | top=0:0.62, 1:0.28
[2026-05-08 12:15:50]   [571/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.94 | top=2:0.70, 0:0.10
[2026-05-08 12:15:53]   [572/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.80 | top=2:0.75, 3:0.15
[2026-05-08 12:16:01]   [573/673] | true=ambulating(3) | pred=lying(2) |  ✗ | ent=0.91 | top=2:0.70, 0:0.15
[2026-05-08 12:16:08]   [574/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 12:16:10]   [575/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.02 | top=2:0.65, 3:0.15
[2026-05-08 12:16:17]   [576/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:16:19]   [577/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:16:23]   [578/673] | true=lying(2) | pred=sit_on_chair(1) |  ✗ | ent=1.11 | top=1:0.55, 3:0.25
[2026-05-08 12:16:26]   [579/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:16:31]   [580/673] | true=sit_on_chair(1) | pred=sit_on_bed(0) |  ✗ | ent=1.11 | top=0:0.55, 1:0.25
[2026-05-08 12:16:35]   [581/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=0.95 | top=0:0.62, 1:0.28
[2026-05-08 12:16:40]   [582/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:16:46]   [583/673] | true=sit_on_bed(0) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:16:48]   [584/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.71 | top=2:0.80, 3:0.10
[2026-05-08 12:16:51]   [585/673] | true=sit_on_bed(0) | pred=sit_on_chair(1) |  ✗ | ent=1.11 | top=1:0.55, 3:0.25
[2026-05-08 12:16:53]   [586/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:16:58]   [587/673] | true=ambulating(3) | pred=lying(2) |  ✗ | ent=0.71 | top=2:0.80, 3:0.10
[2026-05-08 12:17:00]   [588/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:17:03]   [589/673] | true=sit_on_chair(1) | pred=lying(2) |  ✗ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:17:05]   [590/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:17:09]   [591/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.98 | top=2:0.68, 0:0.12
[2026-05-08 12:17:12]   [592/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.59 | top=2:0.85, 0:0.05
[2026-05-08 12:17:15]   [593/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.94 | top=2:0.70, 0:0.10
[2026-05-08 12:17:17]   [594/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=1.03 | top=2:0.65, 0:0.15
[2026-05-08 12:17:22]   [595/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=0.93 | top=0:0.65, 1:0.25
[2026-05-08 12:17:24]   [596/673] | true=ambulating(3) | pred=ambulating(3) |  ✓ | ent=1.21 | top=3:0.50, 1:0.25
[2026-05-08 12:17:25]   [597/673] | true=lying(2) | pred=lying(2) |  ✓ | ent=0.90 | top=2:0.72, 0:0.10
[2026-05-08 12:17:30]   [598/673] | true=sit_on_bed(0) | pred=sit_on_bed(0) |  ✓ | ent=0.95 | top=0:0.62, 1:0.28
