[2026-05-11 23:15:03] MotionSense class 5 (walking) T=0.8
[2026-05-11 23:15:03]   3743 windows
[2026-05-11 23:15:14] #0001/03743 | true=walking | pred=walking | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 07:23:29] #1657/03743 | true=walking | pred=walking | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:23:41] #1658/03743 | true=walking | pred=walking | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 07:23:50] #1659/03743 | true=walking | pred=walking | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 07:23:53] #1660/03743 | true=walking | pred=walking | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 07:23:53]   [1660/3743] acc=74% filt=1362
[2026-05-12 07:23:56] #1661/03743 | true=walking | pred=walking | ✓ | ent=1.142 conf=0.500 gap=0.200
[2026-05-12 07:24:30] #1662/03743 | true=walking | pred=walking | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 07:24:48] #1663/03743 | true=walking | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 07:24:59] #1664/03743 | true=walking | pred=walking | ✓ | ent=1.033 conf=0.600 gap=0.350
[2026-05-12 07:25:01] #1665/03743 | true=walking | pred=walking | ✓ | ent=1.168 conf=0.500 gap=0.200
[2026-05-12 07:25:58] #1666/03743 | true=walking | pred=walking | ✓ | ent=0.979 conf=0.650 gap=0.400
[2026-05-12 07:26:11] #1667/03743 | true=walking | pred=upstairs | ✗ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 07:27:06] #1668/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 07:27:37] #1669/03743 | true=walking | pred=walking | ✓ | ent=0.853 conf=0.750 gap=0.600
[2026-05-12 07:27:47] #1670/03743 | true=walking | pred=walking | ✓ | ent=1.219 conf=0.600 gap=0.450
[2026-05-12 07:28:04] #1671/03743 | true=walking | pred=walking | ✓ | ent=0.839 conf=0.750 gap=0.600
[2026-05-12 07:28:47] #1672/03743 | true=walking | pred=downstairs | ✗ | ent=1.105 conf=0.450 gap=0.010
[2026-05-12 07:28:57] #1673/03743 | true=walking | pred=walking | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:29:03] #1674/03743 | true=walking | pred=walking | ✓ | ent=1.128 conf=0.650 gap=0.500
[2026-05-12 07:29:06] #1675/03743 | true=walking | pred=walking | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 07:29:09] #1676/03743 | true=walking | pred=walking | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 07:29:13] #1677/03743 | true=walking | pred=walking | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 07:29:44] #1678/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 07:29:58] #1679/03743 | true=walking | pred=upstairs | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 07:30:01] #1680/03743 | true=walking | pred=walking | ✓ | ent=1.147 conf=0.500 gap=0.150
[2026-05-12 07:30:01]   [1680/3743] acc=74% filt=1378
[2026-05-12 07:30:15] #1681/03743 | true=walking | pred=downstairs | ✗ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 07:30:19] #1682/03743 | true=walking | pred=walking | ✓ | ent=1.271 conf=0.600 gap=0.450
[2026-05-12 07:30:55] #1683/03743 | true=walking | pred=downstairs | ✗ | ent=1.146 conf=0.420 gap=0.020
[2026-05-12 07:31:07] #1684/03743 | true=walking | pred=walking | ✓ | ent=0.824 conf=0.600 gap=0.250
[2026-05-12 07:31:26] #1685/03743 | true=walking | pred=walking | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 07:31:31] #1686/03743 | true=walking | pred=walking | ✓ | ent=1.239 conf=0.550 gap=0.300
[2026-05-12 07:31:44] #1687/03743 | true=walking | pred=upstairs | ✗ | ent=0.833 conf=0.780 gap=0.700
[2026-05-12 07:31:54] #1688/03743 | true=walking | pred=walking | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 07:32:17] #1689/03743 | true=walking | pred=walking | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 07:32:23] #1690/03743 | true=walking | pred=walking | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 07:32:54] #1691/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 07:33:04] #1692/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 07:33:26] #1693/03743 | true=walking | pred=walking | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 07:33:40] #1694/03743 | true=walking | pred=walking | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 07:33:43] #1695/03743 | true=walking | pred=walking | ✓ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 07:33:46] #1696/03743 | true=walking | pred=walking | ✓ | ent=0.856 conf=0.500 gap=0.050
[2026-05-12 07:34:04] #1697/03743 | true=walking | pred=walking | ✓ | ent=0.928 conf=0.710 gap=0.560
[2026-05-12 07:34:18] #1698/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 07:34:22] #1699/03743 | true=walking | pred=walking | ✓ | ent=1.249 conf=0.400 gap=0.050
[2026-05-12 07:34:45] #1700/03743 | true=walking | pred=upstairs | ✗ | ent=1.268 conf=0.550 gap=0.350
[2026-05-12 07:34:45]   [1700/3743] acc=74% filt=1395
[2026-05-12 07:34:54] #1701/03743 | true=walking | pred=walking | ✓ | ent=1.048 conf=0.620 gap=0.370
[2026-05-12 07:35:14] #1702/03743 | true=walking | pred=upstairs | ✗ | ent=0.853 conf=0.750 gap=0.620
[2026-05-12 07:35:20] #1703/03743 | true=walking | pred=walking | ✓ | ent=0.978 conf=0.700 gap=0.550
[2026-05-12 07:35:43] #1704/03743 | true=walking | pred=walking | ✓ | ent=0.679 conf=0.800 gap=0.650
[2026-05-12 07:35:45] #1705/03743 | true=walking | pred=walking | ✓ | ent=1.161 conf=0.450 gap=0.100
[2026-05-12 07:35:52] #1706/03743 | true=walking | pred=walking | ✓ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 07:36:02] #1707/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 07:36:14] #1708/03743 | true=walking | pred=walking | ✓ | ent=1.093 conf=0.650 gap=0.500
[2026-05-12 07:36:27] #1709/03743 | true=walking | pred=walking | ✓ | ent=1.035 conf=0.550 gap=0.200
[2026-05-12 07:36:42] #1710/03743 | true=walking | pred=walking | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:38:38] #1711/03743 | true=walking | pred=walking | ✓ | ent=1.094 conf=0.500 gap=0.150
[2026-05-12 07:39:14] #1712/03743 | true=walking | pred=upstairs | ✗ | ent=0.952 conf=0.730 gap=0.630
[2026-05-12 07:39:40] #1713/03743 | true=walking | pred=walking | ✓ | ent=1.352 conf=0.400 gap=0.050
[2026-05-12 07:40:10] #1714/03743 | true=walking | pred=walking | ✓ | ent=0.772 conf=0.800 gap=0.720
[2026-05-12 07:40:19] #1715/03743 | true=walking | pred=walking | ✓ | ent=0.911 conf=0.700 gap=0.500
[2026-05-12 07:40:47] #1716/03743 | true=walking | pred=walking | ✓ | ent=0.982 conf=0.650 gap=0.450
[2026-05-12 07:41:02] #1717/03743 | true=walking | pred=upstairs | ✗ | ent=0.700 conf=0.820 gap=0.730
[2026-05-12 07:41:22] #1718/03743 | true=walking | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 07:41:25] #1719/03743 | true=walking | pred=walking | ✓ | ent=1.507 conf=0.450 gap=0.270
[2026-05-12 07:41:35] #1720/03743 | true=walking | pred=walking | ✓ | ent=0.845 conf=0.550 gap=0.150
[2026-05-12 07:41:35]   [1720/3743] acc=74% filt=1411
[2026-05-12 07:41:38] #1721/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 07:41:50] #1722/03743 | true=walking | pred=upstairs | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 07:41:54] #1723/03743 | true=walking | pred=walking | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 07:42:00] #1724/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 07:42:10] #1725/03743 | true=walking | pred=walking | ✓ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 07:42:37] #1726/03743 | true=walking | pred=walking | ✓ | ent=1.117 conf=0.600 gap=0.350
[2026-05-12 07:42:59] #1727/03743 | true=walking | pred=walking | ✓ | ent=0.911 conf=0.700 gap=0.500
[2026-05-12 07:43:10] #1728/03743 | true=walking | pred=upstairs | ✗ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 07:43:24] #1729/03743 | true=walking | pred=upstairs | ✗ | ent=0.595 conf=0.820 gap=0.720
[2026-05-12 07:43:32] #1730/03743 | true=walking | pred=upstairs | ✗ | ent=1.338 conf=0.520 gap=0.270
[2026-05-12 07:43:45] #1731/03743 | true=walking | pred=walking | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 07:43:54] #1732/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 07:44:43] #1733/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 07:45:14] #1734/03743 | true=walking | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 07:45:31] #1735/03743 | true=walking | pred=upstairs | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 07:45:48] #1736/03743 | true=walking | pred=walking | ✓ | ent=1.128 conf=0.650 gap=0.500
[2026-05-12 07:46:25] #1737/03743 | true=walking | pred=downstairs | ✗ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 07:46:29] #1738/03743 | true=walking | pred=walking | ✓ | ent=1.035 conf=0.550 gap=0.200
[2026-05-12 07:47:02] #1739/03743 | true=walking | pred=upstairs | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 07:47:34] #1740/03743 | true=walking | pred=walking | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 07:47:34]   [1740/3743] acc=74% filt=1431
[2026-05-12 07:47:56] #1741/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 07:48:01] #1742/03743 | true=walking | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 07:48:14] #1743/03743 | true=walking | pred=walking | ✓ | ent=0.635 conf=0.800 gap=0.680
[2026-05-12 07:48:19] #1744/03743 | true=walking | pred=upstairs | ✗ | ent=0.980 conf=0.700 gap=0.540
[2026-05-12 07:48:24] #1745/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 07:49:00] #1746/03743 | true=walking | pred=upstairs | ✗ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 07:49:20] #1747/03743 | true=walking | pred=downstairs | ✗ | ent=1.106 conf=0.450 gap=0.050
[2026-05-12 07:49:29] #1748/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 07:49:56] #1749/03743 | true=walking | pred=walking | ✓ | ent=0.919 conf=0.700 gap=0.500
[2026-05-12 07:50:00] #1750/03743 | true=walking | pred=walking | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 07:50:02] #1751/03743 | true=walking | pred=walking | ✓ | ent=0.999 conf=0.500 gap=0.150
[2026-05-12 07:50:30] #1752/03743 | true=walking | pred=upstairs | ✗ | ent=0.459 conf=0.850 gap=0.710
[2026-05-12 07:50:40] #1753/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 07:51:08] #1754/03743 | true=walking | pred=walking | ✓ | ent=0.627 conf=0.850 gap=0.790
[2026-05-12 07:51:37] #1755/03743 | true=walking | pred=walking | ✓ | ent=0.732 conf=0.800 gap=0.680
[2026-05-12 07:51:40] #1756/03743 | true=walking | pred=walking | ✓ | ent=0.999 conf=0.650 gap=0.500
[2026-05-12 07:51:59] #1757/03743 | true=walking | pred=walking | ✓ | ent=0.999 conf=0.500 gap=0.150
[2026-05-12 07:52:11] #1758/03743 | true=walking | pred=walking | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 07:52:28] #1759/03743 | true=walking | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 07:52:33] #1760/03743 | true=walking | pred=upstairs | ✗ | ent=1.254 conf=0.550 gap=0.320
[2026-05-12 07:52:33]   [1760/3743] acc=74% filt=1448
[2026-05-12 07:52:45] #1761/03743 | true=walking | pred=walking | ✓ | ent=0.907 conf=0.650 gap=0.400
[2026-05-12 07:52:51] #1762/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 07:53:19] #1763/03743 | true=walking | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 07:53:41] #1764/03743 | true=walking | pred=walking | ✓ | ent=1.033 conf=0.600 gap=0.350
[2026-05-12 07:53:43] #1765/03743 | true=walking | pred=walking | ✓ | ent=1.446 conf=0.500 gap=0.350
[2026-05-12 07:53:55] #1766/03743 | true=walking | pred=upstairs | ✗ | ent=0.741 conf=0.800 gap=0.690
[2026-05-12 07:54:15] #1767/03743 | true=walking | pred=upstairs | ✗ | ent=0.853 conf=0.750 gap=0.600
[2026-05-12 07:54:51] #1768/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 07:55:00] #1769/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 07:55:07] #1770/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 07:55:32] #1771/03743 | true=walking | pred=upstairs | ✗ | ent=0.646 conf=0.850 gap=0.800
[2026-05-12 07:56:07] #1772/03743 | true=walking | pred=upstairs | ✗ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 07:56:26] #1773/03743 | true=walking | pred=walking | ✓ | ent=1.049 conf=0.610 gap=0.360
[2026-05-12 07:56:31] #1774/03743 | true=walking | pred=walking | ✓ | ent=1.166 conf=0.550 gap=0.350
[2026-05-12 07:56:57] #1775/03743 | true=walking | pred=upstairs | ✗ | ent=0.467 conf=0.900 gap=0.860
[2026-05-12 07:57:27] #1776/03743 | true=walking | pred=walking | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 07:57:30] #1777/03743 | true=walking | pred=walking | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 07:57:40] #1778/03743 | true=walking | pred=walking | ✓ | ent=0.482 conf=0.880 gap=0.810
[2026-05-12 07:58:00] #1779/03743 | true=walking | pred=walking | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 07:58:20] #1780/03743 | true=walking | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 07:58:20]   [1780/3743] acc=74% filt=1467
[2026-05-12 07:58:37] #1781/03743 | true=walking | pred=walking | ✓ | ent=1.147 conf=0.500 gap=0.150
[2026-05-12 07:58:50] #1782/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 07:58:54] #1783/03743 | true=walking | pred=walking | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 07:59:10] #1784/03743 | true=walking | pred=walking | ✓ | ent=0.894 conf=0.700 gap=0.550
[2026-05-12 07:59:34] #1785/03743 | true=walking | pred=walking | ✓ | ent=1.049 conf=0.450 gap=0.100
[2026-05-12 07:59:46] #1786/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 07:59:59] #1787/03743 | true=walking | pred=walking | ✓ | ent=1.049 conf=0.550 gap=0.200
[2026-05-12 08:01:13] #1788/03743 | true=walking | pred=walking | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 08:01:31] #1789/03743 | true=walking | pred=upstairs | ✗ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 08:01:57] #1790/03743 | true=walking | pred=jogging | ✗ | ent=0.999 conf=0.650 gap=0.500
[2026-05-12 08:02:04] #1791/03743 | true=walking | pred=upstairs | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 08:02:17] #1792/03743 | true=walking | pred=walking | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 08:02:31] #1793/03743 | true=walking | pred=walking | ✓ | ent=1.124 conf=0.630 gap=0.480
[2026-05-12 08:03:04] #1794/03743 | true=walking | pred=walking | ✓ | ent=0.813 conf=0.760 gap=0.610
[2026-05-12 08:04:07] #1795/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 08:04:11] #1796/03743 | true=walking | pred=walking | ✓ | ent=1.161 conf=0.450 gap=0.100
[2026-05-12 08:04:23] #1797/03743 | true=walking | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 08:04:33] #1798/03743 | true=walking | pred=walking | ✓ | ent=0.975 conf=0.550 gap=0.250
[2026-05-12 08:05:08] #1799/03743 | true=walking | pred=upstairs | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:05:20] #1800/03743 | true=walking | pred=walking | ✓ | ent=0.732 conf=0.800 gap=0.680
[2026-05-12 08:05:20]   [1800/3743] acc=74% filt=1484
[2026-05-12 08:05:23] #1801/03743 | true=walking | pred=walking | ✓ | ent=0.982 conf=0.650 gap=0.450
[2026-05-12 08:05:30] #1802/03743 | true=walking | pred=jogging | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 08:05:33] #1803/03743 | true=walking | pred=walking | ✓ | ent=0.967 conf=0.600 gap=0.300
[2026-05-12 08:05:44] #1804/03743 | true=walking | pred=walking | ✓ | ent=1.046 conf=0.650 gap=0.450
[2026-05-12 08:05:54] #1805/03743 | true=walking | pred=walking | ✓ | ent=1.414 conf=0.400 gap=0.050
[2026-05-12 08:05:59] #1806/03743 | true=walking | pred=walking | ✓ | ent=1.187 conf=0.450 gap=0.100
[2026-05-12 08:06:25] #1807/03743 | true=walking | pred=walking | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 08:06:31] #1808/03743 | true=walking | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 08:06:47] #1809/03743 | true=walking | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 08:06:58] #1810/03743 | true=walking | pred=walking | ✓ | ent=1.123 conf=0.550 gap=0.250
[2026-05-12 08:07:02] #1811/03743 | true=walking | pred=walking | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:07:04] #1812/03743 | true=walking | pred=walking | ✓ | ent=1.614 conf=0.300 gap=0.050
[2026-05-12 08:07:21] #1813/03743 | true=walking | pred=walking | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 08:07:41] #1814/03743 | true=walking | pred=upstairs | ✗ | ent=0.926 conf=0.750 gap=0.670
[2026-05-12 08:07:45] #1815/03743 | true=walking | pred=walking | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 08:08:00] #1816/03743 | true=walking | pred=upstairs | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 08:08:23] #1817/03743 | true=walking | pred=upstairs | ✗ | ent=0.711 conf=0.800 gap=0.670
[2026-05-12 08:08:47] #1818/03743 | true=walking | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 08:08:54] #1819/03743 | true=walking | pred=walking | ✓ | ent=1.096 conf=0.530 gap=0.180
[2026-05-12 08:09:19] #1820/03743 | true=walking | pred=upstairs | ✗ | ent=0.956 conf=0.680 gap=0.510
[2026-05-12 08:09:19]   [1820/3743] acc=73% filt=1501
[2026-05-12 08:09:39] #1821/03743 | true=walking | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 08:09:53] #1822/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 08:10:26] #1823/03743 | true=walking | pred=upstairs | ✗ | ent=1.190 conf=0.650 gap=0.550
[2026-05-12 08:10:41] #1824/03743 | true=walking | pred=walking | ✓ | ent=1.239 conf=0.550 gap=0.300
[2026-05-12 08:11:02] #1825/03743 | true=walking | pred=walking | ✓ | ent=0.795 conf=0.780 gap=0.660
[2026-05-12 08:11:40] #1826/03743 | true=walking | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 08:11:50] #1827/03743 | true=walking | pred=jogging | ✗ | ent=1.161 conf=0.450 gap=0.100
[2026-05-12 08:11:58] #1828/03743 | true=walking | pred=walking | ✓ | ent=1.122 conf=0.550 gap=0.350
[2026-05-12 08:12:19] #1829/03743 | true=walking | pred=walking | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 08:12:38] #1830/03743 | true=walking | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 08:13:00] #1831/03743 | true=walking | pred=upstairs | ✗ | ent=1.164 conf=0.650 gap=0.500
[2026-05-12 08:13:18] #1832/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 08:13:30] #1833/03743 | true=walking | pred=walking | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 08:13:41] #1834/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 08:13:44] #1835/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 08:14:02] #1836/03743 | true=walking | pred=jogging | ✗ | ent=0.962 conf=0.700 gap=0.550
[2026-05-12 08:14:17] #1837/03743 | true=walking | pred=upstairs | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 08:14:26] #1838/03743 | true=walking | pred=jogging | ✗ | ent=1.142 conf=0.500 gap=0.200
[2026-05-12 08:14:43] #1839/03743 | true=walking | pred=upstairs | ✗ | ent=1.194 conf=0.550 gap=0.270
[2026-05-12 08:14:46] #1840/03743 | true=walking | pred=walking | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 08:14:46]   [1840/3743] acc=73% filt=1519
[2026-05-12 08:14:50] #1841/03743 | true=walking | pred=walking | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 08:15:02] #1842/03743 | true=walking | pred=walking | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 08:15:16] #1843/03743 | true=walking | pred=walking | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 08:15:21] #1844/03743 | true=walking | pred=walking | ✓ | ent=1.161 conf=0.450 gap=0.100
[2026-05-12 08:15:28] #1845/03743 | true=walking | pred=walking | ✓ | ent=1.249 conf=0.400 gap=0.050
[2026-05-12 08:15:32] #1846/03743 | true=walking | pred=walking | ✓ | ent=0.940 conf=0.700 gap=0.600
[2026-05-12 08:15:57] #1847/03743 | true=walking | pred=walking | ✓ | ent=0.780 conf=0.730 gap=0.530
[2026-05-12 08:16:00] #1848/03743 | true=walking | pred=walking | ✓ | ent=1.094 conf=0.500 gap=0.150
[2026-05-12 08:16:02] #1849/03743 | true=walking | pred=walking | ✓ | ent=1.161 conf=0.450 gap=0.100
[2026-05-12 08:16:39] #1850/03743 | true=walking | pred=walking | ✓ | ent=0.986 conf=0.700 gap=0.550
[2026-05-12 08:16:51] #1851/03743 | true=walking | pred=walking | ✓ | ent=0.979 conf=0.650 gap=0.400
[2026-05-12 08:16:55] #1852/03743 | true=walking | pred=walking | ✓ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 08:17:18] #1853/03743 | true=walking | pred=walking | ✓ | ent=1.030 conf=0.500 gap=0.200
[2026-05-12 08:17:33] #1854/03743 | true=walking | pred=upstairs | ✗ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 08:17:39] #1855/03743 | true=walking | pred=upstairs | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 08:17:42] #1856/03743 | true=walking | pred=walking | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 08:17:44] #1857/03743 | true=walking | pred=walking | ✓ | ent=1.123 conf=0.550 gap=0.250
[2026-05-12 08:17:57] #1858/03743 | true=walking | pred=walking | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 08:18:03] #1859/03743 | true=walking | pred=walking | ✓ | ent=1.440 conf=0.450 gap=0.200
[2026-05-12 08:18:18] #1860/03743 | true=walking | pred=walking | ✓ | ent=1.271 conf=0.600 gap=0.450
[2026-05-12 08:18:18]   [1860/3743] acc=73% filt=1533
[2026-05-12 08:18:51] #1861/03743 | true=walking | pred=walking | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 08:19:44] #1862/03743 | true=walking | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 08:20:27] #1863/03743 | true=walking | pred=upstairs | ✗ | ent=0.872 conf=0.720 gap=0.530
[2026-05-12 08:20:36] #1864/03743 | true=walking | pred=walking | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 08:20:40] #1865/03743 | true=walking | pred=walking | ✓ | ent=1.166 conf=0.550 gap=0.350
[2026-05-12 08:20:45] #1866/03743 | true=walking | pred=walking | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 08:21:10] #1867/03743 | true=walking | pred=walking | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 08:21:15] #1868/03743 | true=walking | pred=walking | ✓ | ent=1.249 conf=0.400 gap=0.050
[2026-05-12 08:21:21] #1869/03743 | true=walking | pred=upstairs | ✗ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 08:21:36] #1870/03743 | true=walking | pred=walking | ✓ | ent=0.948 conf=0.600 gap=0.300
[2026-05-12 08:21:50] #1871/03743 | true=walking | pred=walking | ✓ | ent=1.017 conf=0.700 gap=0.550
[2026-05-12 08:22:15] #1872/03743 | true=walking | pred=upstairs | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 08:22:38] #1873/03743 | true=walking | pred=downstairs | ✗ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 08:22:52] #1874/03743 | true=walking | pred=walking | ✓ | ent=0.999 conf=0.500 gap=0.150
[2026-05-12 08:22:57] #1875/03743 | true=walking | pred=walking | ✓ | ent=0.982 conf=0.650 gap=0.450
[2026-05-12 08:23:02] #1876/03743 | true=walking | pred=walking | ✓ | ent=1.063 conf=0.600 gap=0.400
[2026-05-12 08:23:05] #1877/03743 | true=walking | pred=walking | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 08:23:20] #1878/03743 | true=walking | pred=walking | ✓ | ent=0.856 conf=0.500 gap=0.050
[2026-05-12 08:23:23] #1879/03743 | true=walking | pred=walking | ✓ | ent=1.290 conf=0.450 gap=0.100
[2026-05-12 08:24:25] #1880/03743 | true=walking | pred=walking | ✓ | ent=1.239 conf=0.550 gap=0.300
[2026-05-12 08:24:25]   [1880/3743] acc=73% filt=1549
[2026-05-12 08:24:39] #1881/03743 | true=walking | pred=walking | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 08:24:44] #1882/03743 | true=walking | pred=walking | ✓ | ent=0.423 conf=0.850 gap=0.700
