[2026-05-11 23:14:23] MotionSense class 1 (jogging) T=0.8
[2026-05-11 23:14:23]   1443 windows
[2026-05-11 23:14:26] #0001/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 01:01:26] #0444/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:01:29] #0445/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:01:32] #0446/01443 | true=jogging | pred=jogging | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 01:02:00] #0447/01443 | true=jogging | pred=jogging | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-12 01:02:20] #0448/01443 | true=jogging | pred=jogging | ✓ | ent=0.362 conf=0.920 gap=0.880
[2026-05-12 01:02:29] #0449/01443 | true=jogging | pred=jogging | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 01:02:41] #0450/01443 | true=jogging | pred=jogging | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 01:03:01] #0451/01443 | true=jogging | pred=jogging | ✓ | ent=0.904 conf=0.680 gap=0.500
[2026-05-12 01:03:10] #0452/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 01:03:26] #0453/01443 | true=jogging | pred=jogging | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 01:03:29] #0454/01443 | true=jogging | pred=jogging | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 01:03:31] #0455/01443 | true=jogging | pred=jogging | ✓ | ent=0.288 conf=0.940 gap=0.910
[2026-05-12 01:03:39] #0456/01443 | true=jogging | pred=jogging | ✓ | ent=0.338 conf=0.920 gap=0.860
[2026-05-12 01:04:08] #0457/01443 | true=jogging | pred=jogging | ✓ | ent=0.824 conf=0.600 gap=0.250
[2026-05-12 01:04:28] #0458/01443 | true=jogging | pred=jogging | ✓ | ent=0.420 conf=0.900 gap=0.840
[2026-05-12 01:04:30] #0459/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:04:32] #0460/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:04:32]   [460/1443] acc=98% filt=449
[2026-05-12 01:04:44] #0461/01443 | true=jogging | pred=jogging | ✓ | ent=0.288 conf=0.940 gap=0.910
[2026-05-12 01:04:47] #0462/01443 | true=jogging | pred=jogging | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 01:05:10] #0463/01443 | true=jogging | pred=jogging | ✓ | ent=0.938 conf=0.600 gap=0.350
[2026-05-12 01:05:35] #0464/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 01:05:40] #0465/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 01:06:39] #0466/01443 | true=jogging | pred=jogging | ✓ | ent=0.982 conf=0.650 gap=0.450
[2026-05-12 01:06:42] #0467/01443 | true=jogging | pred=jogging | ✓ | ent=0.752 conf=0.750 gap=0.570
[2026-05-12 01:06:53] #0468/01443 | true=jogging | pred=jogging | ✓ | ent=0.387 conf=0.910 gap=0.860
[2026-05-12 01:06:57] #0469/01443 | true=jogging | pred=jogging | ✓ | ent=0.938 conf=0.600 gap=0.350
[2026-05-12 01:07:08] #0470/01443 | true=jogging | pred=jogging | ✓ | ent=0.404 conf=0.920 gap=0.900
[2026-05-12 01:07:12] #0471/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 01:07:14] #0472/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:07:24] #0473/01443 | true=jogging | pred=jogging | ✓ | ent=0.471 conf=0.880 gap=0.800
[2026-05-12 01:07:44] #0474/01443 | true=jogging | pred=jogging | ✓ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 01:07:53] #0475/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:08:21] #0476/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 01:08:30] #0477/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:09:18] #0478/01443 | true=jogging | pred=jogging | ✓ | ent=0.329 conf=0.930 gap=0.900
[2026-05-12 01:09:31] #0479/01443 | true=jogging | pred=jogging | ✓ | ent=0.864 conf=0.650 gap=0.370
[2026-05-12 01:09:47] #0480/01443 | true=jogging | pred=jogging | ✓ | ent=0.398 conf=0.920 gap=0.890
[2026-05-12 01:09:47]   [480/1443] acc=98% filt=469
[2026-05-12 01:09:49] #0481/01443 | true=jogging | pred=jogging | ✓ | ent=0.645 conf=0.820 gap=0.740
[2026-05-12 01:09:54] #0482/01443 | true=jogging | pred=jogging | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 01:10:04] #0483/01443 | true=jogging | pred=jogging | ✓ | ent=0.362 conf=0.930 gap=0.910
[2026-05-12 01:10:13] #0484/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 01:10:17] #0485/01443 | true=jogging | pred=jogging | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 01:10:21] #0486/01443 | true=jogging | pred=jogging | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-12 01:10:24] #0487/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:10:27] #0488/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:11:51] #0489/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 01:11:59] #0490/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:12:04] #0491/01443 | true=jogging | pred=jogging | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-12 01:12:06] #0492/01443 | true=jogging | pred=jogging | ✓ | ent=0.482 conf=0.880 gap=0.810
[2026-05-12 01:12:10] #0493/01443 | true=jogging | pred=jogging | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 01:12:17] #0494/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:12:31] #0495/01443 | true=jogging | pred=jogging | ✓ | ent=0.405 conf=0.900 gap=0.830
[2026-05-12 01:12:51] #0496/01443 | true=jogging | pred=jogging | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 01:12:59] #0497/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 01:13:04] #0498/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:13:08] #0499/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:13:18] #0500/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 01:13:18]   [500/1443] acc=98% filt=489
[2026-05-12 01:13:20] #0501/01443 | true=jogging | pred=jogging | ✓ | ent=1.165 conf=0.500 gap=0.250
[2026-05-12 01:13:31] #0502/01443 | true=jogging | pred=jogging | ✓ | ent=0.279 conf=0.940 gap=0.900
[2026-05-12 01:13:55] #0503/01443 | true=jogging | pred=jogging | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 01:14:02] #0504/01443 | true=jogging | pred=jogging | ✓ | ent=0.321 conf=0.930 gap=0.890
[2026-05-12 01:14:06] #0505/01443 | true=jogging | pred=jogging | ✓ | ent=0.886 conf=0.650 gap=0.450
[2026-05-12 01:14:10] #0506/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 01:14:18] #0507/01443 | true=jogging | pred=jogging | ✓ | ent=0.288 conf=0.940 gap=0.910
[2026-05-12 01:14:22] #0508/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:14:26] #0509/01443 | true=jogging | pred=jogging | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 01:14:47] #0510/01443 | true=jogging | pred=jogging | ✓ | ent=0.816 conf=0.700 gap=0.470
[2026-05-12 01:14:57] #0511/01443 | true=jogging | pred=jogging | ✓ | ent=0.752 conf=0.750 gap=0.570
[2026-05-12 01:15:04] #0512/01443 | true=jogging | pred=jogging | ✓ | ent=0.420 conf=0.900 gap=0.840
[2026-05-12 01:15:07] #0513/01443 | true=jogging | pred=jogging | ✓ | ent=0.826 conf=0.750 gap=0.650
[2026-05-12 01:15:43] #0514/01443 | true=jogging | pred=jogging | ✓ | ent=0.904 conf=0.680 gap=0.500
[2026-05-12 01:15:51] #0515/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:16:05] #0516/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:16:08] #0517/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 01:16:11] #0518/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:16:19] #0519/01443 | true=jogging | pred=jogging | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 01:16:24] #0520/01443 | true=jogging | pred=jogging | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 01:16:24]   [520/1443] acc=98% filt=508
[2026-05-12 01:16:37] #0521/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:17:01] #0522/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:17:21] #0523/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 01:17:31] #0524/01443 | true=jogging | pred=jogging | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-12 01:17:42] #0525/01443 | true=jogging | pred=jogging | ✓ | ent=0.404 conf=0.920 gap=0.900
[2026-05-12 01:18:09] #0526/01443 | true=jogging | pred=jogging | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 01:18:20] #0527/01443 | true=jogging | pred=jogging | ✓ | ent=0.927 conf=0.650 gap=0.420
[2026-05-12 01:18:40] #0528/01443 | true=jogging | pred=jogging | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 01:18:44] #0529/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 01:18:46] #0530/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:19:12] #0531/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 01:19:21] #0532/01443 | true=jogging | pred=jogging | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 01:19:33] #0533/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:19:41] #0534/01443 | true=jogging | pred=jogging | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 01:19:56] #0535/01443 | true=jogging | pred=jogging | ✓ | ent=0.611 conf=0.820 gap=0.690
[2026-05-12 01:20:17] #0536/01443 | true=jogging | pred=jogging | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 01:20:29] #0537/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:20:32] #0538/01443 | true=jogging | pred=jogging | ✓ | ent=0.168 conf=0.970 gap=0.960
[2026-05-12 01:20:43] #0539/01443 | true=jogging | pred=jogging | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 01:21:43] #0540/01443 | true=jogging | pred=jogging | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 01:21:43]   [540/1443] acc=98% filt=528
[2026-05-12 01:22:37] #0541/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:22:40] #0542/01443 | true=jogging | pred=jogging | ✓ | ent=1.033 conf=0.550 gap=0.250
[2026-05-12 01:22:50] #0543/01443 | true=jogging | pred=jogging | ✓ | ent=0.362 conf=0.920 gap=0.880
[2026-05-12 01:23:11] #0544/01443 | true=jogging | pred=jogging | ✓ | ent=0.471 conf=0.880 gap=0.800
[2026-05-12 01:23:30] #0545/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 01:23:32] #0546/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:23:35] #0547/01443 | true=jogging | pred=jogging | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 01:23:43] #0548/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 01:23:52] #0549/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:24:08] #0550/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:24:22] #0551/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:24:34] #0552/01443 | true=jogging | pred=jogging | ✓ | ent=0.279 conf=0.940 gap=0.900
[2026-05-12 01:24:43] #0553/01443 | true=jogging | pred=jogging | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-12 01:24:46] #0554/01443 | true=jogging | pred=jogging | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-12 01:24:49] #0555/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 01:24:52] #0556/01443 | true=jogging | pred=jogging | ✓ | ent=0.672 conf=0.800 gap=0.670
[2026-05-12 01:24:57] #0557/01443 | true=jogging | pred=jogging | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 01:26:01] #0558/01443 | true=jogging | pred=jogging | ✓ | ent=0.420 conf=0.900 gap=0.840
[2026-05-12 01:26:05] #0559/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:26:57] #0560/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:26:57]   [560/1443] acc=98% filt=548
[2026-05-12 01:27:08] #0561/01443 | true=jogging | pred=jogging | ✓ | ent=0.672 conf=0.800 gap=0.670
[2026-05-12 01:27:41] #0562/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 01:28:01] #0563/01443 | true=jogging | pred=downstairs | ✗ | ent=0.997 conf=0.550 gap=0.300
[2026-05-12 01:28:04] #0564/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:28:07] #0565/01443 | true=jogging | pred=jogging | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 01:28:11] #0566/01443 | true=jogging | pred=jogging | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 01:28:17] #0567/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:28:31] #0568/01443 | true=jogging | pred=jogging | ✓ | ent=0.538 conf=0.880 gap=0.830
[2026-05-12 01:28:43] #0569/01443 | true=jogging | pred=jogging | ✓ | ent=0.572 conf=0.820 gap=0.670
[2026-05-12 01:28:55] #0570/01443 | true=jogging | pred=jogging | ✓ | ent=0.404 conf=0.920 gap=0.900
[2026-05-12 01:28:58] #0571/01443 | true=jogging | pred=jogging | ✓ | ent=0.867 conf=0.700 gap=0.520
[2026-05-12 01:29:01] #0572/01443 | true=jogging | pred=jogging | ✓ | ent=0.190 conf=0.960 gap=0.930
[2026-05-12 01:29:10] #0573/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:29:14] #0574/01443 | true=jogging | pred=jogging | ✓ | ent=0.362 conf=0.920 gap=0.880
[2026-05-12 01:29:26] #0575/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:30:18] #0576/01443 | true=jogging | pred=jogging | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 01:30:30] #0577/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:31:22] #0578/01443 | true=jogging | pred=jogging | ✓ | ent=0.390 conf=0.920 gap=0.880
[2026-05-12 01:31:26] #0579/01443 | true=jogging | pred=jogging | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 01:33:21] #0580/01443 | true=jogging | pred=jogging | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 01:33:21]   [580/1443] acc=98% filt=568
[2026-05-12 01:33:31] #0581/01443 | true=jogging | pred=jogging | ✓ | ent=0.543 conf=0.880 gap=0.830
[2026-05-12 01:33:34] #0582/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 01:33:37] #0583/01443 | true=jogging | pred=jogging | ✓ | ent=0.420 conf=0.900 gap=0.840
[2026-05-12 01:33:47] #0584/01443 | true=jogging | pred=jogging | ✓ | ent=0.472 conf=0.900 gap=0.860
[2026-05-12 01:33:59] #0585/01443 | true=jogging | pred=jogging | ✓ | ent=0.889 conf=0.650 gap=0.380
[2026-05-12 01:34:02] #0586/01443 | true=jogging | pred=jogging | ✓ | ent=0.852 conf=0.700 gap=0.500
[2026-05-12 01:34:05] #0587/01443 | true=jogging | pred=jogging | ✓ | ent=1.161 conf=0.450 gap=0.100
[2026-05-12 01:34:18] #0588/01443 | true=jogging | pred=jogging | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-12 01:34:23] #0589/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:34:31] #0590/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 01:34:50] #0591/01443 | true=jogging | pred=jogging | ✓ | ent=0.552 conf=0.850 gap=0.750
[2026-05-12 01:35:01] #0592/01443 | true=jogging | pred=jogging | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 01:35:24] #0593/01443 | true=jogging | pred=jogging | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 01:35:27] #0594/01443 | true=jogging | pred=jogging | ✓ | ent=0.190 conf=0.960 gap=0.930
[2026-05-12 01:35:37] #0595/01443 | true=jogging | pred=jogging | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 01:35:45] #0596/01443 | true=jogging | pred=jogging | ✓ | ent=0.288 conf=0.940 gap=0.910
[2026-05-12 01:36:12] #0597/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:36:17] #0598/01443 | true=jogging | pred=jogging | ✓ | ent=0.752 conf=0.750 gap=0.570
[2026-05-12 01:36:21] #0599/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:36:33] #0600/01443 | true=jogging | pred=jogging | ✓ | ent=0.476 conf=0.900 gap=0.870
[2026-05-12 01:36:33]   [600/1443] acc=98% filt=587
[2026-05-12 01:36:36] #0601/01443 | true=jogging | pred=jogging | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 01:36:47] #0602/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:36:52] #0603/01443 | true=jogging | pred=jogging | ✓ | ent=0.351 conf=0.920 gap=0.870
[2026-05-12 01:36:57] #0604/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:37:03] #0605/01443 | true=jogging | pred=jogging | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 01:37:27] #0606/01443 | true=jogging | pred=jogging | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 01:37:45] #0607/01443 | true=jogging | pred=jogging | ✓ | ent=0.900 conf=0.600 gap=0.270
[2026-05-12 01:37:53] #0608/01443 | true=jogging | pred=jogging | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 01:37:56] #0609/01443 | true=jogging | pred=jogging | ✓ | ent=0.871 conf=0.700 gap=0.500
[2026-05-12 01:38:01] #0610/01443 | true=jogging | pred=jogging | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 01:38:21] #0611/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:38:34] #0612/01443 | true=jogging | pred=jogging | ✓ | ent=0.420 conf=0.900 gap=0.840
[2026-05-12 01:38:38] #0613/01443 | true=jogging | pred=jogging | ✓ | ent=0.852 conf=0.700 gap=0.500
[2026-05-12 01:38:41] #0614/01443 | true=jogging | pred=jogging | ✓ | ent=0.624 conf=0.820 gap=0.700
[2026-05-12 01:38:51] #0615/01443 | true=jogging | pred=jogging | ✓ | ent=0.471 conf=0.880 gap=0.800
[2026-05-12 01:38:58] #0616/01443 | true=jogging | pred=jogging | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 01:39:02] #0617/01443 | true=jogging | pred=jogging | ✓ | ent=0.752 conf=0.750 gap=0.570
[2026-05-12 01:39:05] #0618/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:39:19] #0619/01443 | true=jogging | pred=jogging | ✓ | ent=0.857 conf=0.600 gap=0.250
[2026-05-12 01:39:22] #0620/01443 | true=jogging | pred=jogging | ✓ | ent=0.999 conf=0.650 gap=0.500
[2026-05-12 01:39:22]   [620/1443] acc=98% filt=607
[2026-05-12 01:39:37] #0621/01443 | true=jogging | pred=jogging | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 01:39:46] #0622/01443 | true=jogging | pred=jogging | ✓ | ent=0.296 conf=0.930 gap=0.880
[2026-05-12 01:40:08] #0623/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:40:19] #0624/01443 | true=jogging | pred=jogging | ✓ | ent=0.627 conf=0.850 gap=0.780
[2026-05-12 01:40:45] #0625/01443 | true=jogging | pred=jogging | ✓ | ent=0.752 conf=0.750 gap=0.570
[2026-05-12 01:40:58] #0626/01443 | true=jogging | pred=jogging | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 01:41:07] #0627/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:41:10] #0628/01443 | true=jogging | pred=jogging | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 01:42:12] #0629/01443 | true=jogging | pred=jogging | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 01:42:51] #0630/01443 | true=jogging | pred=jogging | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 01:43:10] #0631/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 01:43:15] #0632/01443 | true=jogging | pred=jogging | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 01:43:30] #0633/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:43:34] #0634/01443 | true=jogging | pred=jogging | ✓ | ent=0.420 conf=0.900 gap=0.840
[2026-05-12 01:43:39] #0635/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:43:49] #0636/01443 | true=jogging | pred=jogging | ✓ | ent=0.251 conf=0.950 gap=0.930
[2026-05-12 01:43:52] #0637/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 01:44:51] #0638/01443 | true=jogging | pred=jogging | ✓ | ent=0.825 conf=0.720 gap=0.540
[2026-05-12 01:45:03] #0639/01443 | true=jogging | pred=jogging | ✓ | ent=0.420 conf=0.900 gap=0.840
[2026-05-12 01:45:08] #0640/01443 | true=jogging | pred=jogging | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 01:45:08]   [640/1443] acc=98% filt=627
[2026-05-12 01:45:11] #0641/01443 | true=jogging | pred=jogging | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 01:45:22] #0642/01443 | true=jogging | pred=jogging | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 01:45:42] #0643/01443 | true=jogging | pred=jogging | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 01:45:45] #0644/01443 | true=jogging | pred=jogging | ✓ | ent=0.288 conf=0.940 gap=0.910
[2026-05-12 01:45:53] #0645/01443 | true=jogging | pred=jogging | ✓ | ent=0.530 conf=0.880 gap=0.820
[2026-05-12 01:45:57] #0646/01443 | true=jogging | pred=jogging | ✓ | ent=0.752 conf=0.750 gap=0.570
[2026-05-12 01:46:55] #0647/01443 | true=jogging | pred=jogging | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 01:47:15] #0648/01443 | true=jogging | pred=jogging | ✓ | ent=0.729 conf=0.780 gap=0.660
[2026-05-12 01:47:18] #0649/01443 | true=jogging | pred=jogging | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:47:29] #0650/01443 | true=jogging | pred=jogging | ✓ | ent=0.404 conf=0.920 gap=0.900
[2026-05-12 01:47:31] #0651/01443 | true=jogging | pred=jogging | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 01:47:40] #0652/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:47:43] #0653/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:47:47] #0654/01443 | true=jogging | pred=jogging | ✓ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 01:47:50] #0655/01443 | true=jogging | pred=jogging | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 01:48:06] #0656/01443 | true=jogging | pred=jogging | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 01:48:32] #0657/01443 | true=jogging | pred=jogging | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 01:48:53] #0658/01443 | true=jogging | pred=jogging | ✓ | ent=0.752 conf=0.750 gap=0.570
[2026-05-12 01:49:12] #0659/01443 | true=jogging | pred=jogging | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:49:21] #0660/01443 | true=jogging | pred=jogging | ✓ | ent=0.154 conf=0.970 gap=0.950
[2026-05-12 01:49:21]   [660/1443] acc=98% filt=647
[2026-05-12 01:49:24] #0661/01443 | true=jogging | pred=jogging | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 01:49:34] #0662/01443 | true=jogging | pred=jogging | ✓ | ent=0.362 conf=0.920 gap=0.880
[2026-05-12 01:49:41] #0663/01443 | true=jogging | pred=jogging | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:49:45] #0664/01443 | true=jogging | pred=jogging | ✓ | ent=0.982 conf=0.650 gap=0.450
[2026-05-12 01:49:48] #0665/01443 | true=jogging | pred=jogging | ✓ | ent=0.056 conf=0.990 gap=0.980
