[2026-05-11 21:51:24] #0001/03185 | true=run | pred=run | ✓ | ent=0.665 conf=0.850 gap=0.800
[2026-05-12 02:56:25] #1435/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 02:56:31] #1436/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:57:12] #1437/03185 | true=run | pred=walk | ✗ | ent=0.694 conf=0.850 gap=0.810
[2026-05-12 02:57:21] #1438/03185 | true=run | pred=run | ✓ | ent=0.655 conf=0.850 gap=0.800
[2026-05-12 02:57:30] #1439/03185 | true=run | pred=run | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-12 02:57:33] #1440/03185 | true=run | pred=run | ✓ | ent=1.050 conf=0.700 gap=0.550
[2026-05-12 02:58:26] #1441/03185 | true=run | pred=run | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 02:58:39] #1442/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 02:58:46] #1443/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:58:50] #1444/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:59:02] #1445/03185 | true=run | pred=run | ✓ | ent=0.215 conf=0.944 gap=0.889
[2026-05-12 02:59:13] #1446/03185 | true=run | pred=run | ✓ | ent=0.134 conf=0.980 gap=0.975
[2026-05-12 02:59:16] #1447/03185 | true=run | pred=run | ✓ | ent=0.679 conf=0.850 gap=0.800
[2026-05-12 02:59:19] #1448/03185 | true=run | pred=run | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 02:59:21] #1449/03185 | true=run | pred=run | ✓ | ent=0.599 conf=0.850 gap=0.750
[2026-05-12 02:59:28] #1450/03185 | true=run | pred=run | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 02:59:34] #1451/03185 | true=run | pred=run | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-12 02:59:39] #1452/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-12 03:00:36] #1453/03185 | true=run | pred=walk | ✗ | ent=0.606 conf=0.850 gap=0.750
[2026-05-12 03:00:42] #1454/03185 | true=run | pred=run | ✓ | ent=0.655 conf=0.850 gap=0.800
[2026-05-12 03:01:50] #1455/03185 | true=run | pred=run | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 03:02:09] #1456/03185 | true=run | pred=walk | ✗ | ent=0.630 conf=0.850 gap=0.770
[2026-05-12 03:02:38] #1457/03185 | true=run | pred=run | ✓ | ent=0.481 conf=0.900 gap=0.870
[2026-05-12 03:02:46] #1458/03185 | true=run | pred=run | ✓ | ent=1.032 conf=0.650 gap=0.400
[2026-05-12 03:02:57] #1459/03185 | true=run | pred=run | ✓ | ent=0.168 conf=0.970 gap=0.960
[2026-05-12 03:03:02] #1460/03185 | true=run | pred=run | ✓ | ent=0.762 conf=0.833 gap=0.784
[2026-05-12 03:03:07] #1461/03185 | true=run | pred=run | ✓ | ent=1.075 conf=0.700 gap=0.550
[2026-05-12 03:03:19] #1462/03185 | true=run | pred=run | ✓ | ent=0.254 conf=0.940 gap=0.890
[2026-05-12 03:03:47] #1463/03185 | true=run | pred=run | ✓ | ent=0.376 conf=0.920 gap=0.880
[2026-05-12 03:03:56] #1464/03185 | true=run | pred=run | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-12 03:03:58] #1465/03185 | true=run | pred=run | ✓ | ent=0.215 conf=0.944 gap=0.889
[2026-05-12 03:04:07] #1466/03185 | true=run | pred=walk | ✗ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 03:04:11] #1467/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:04:14] #1468/03185 | true=run | pred=run | ✓ | ent=0.855 conf=0.800 gap=0.750
[2026-05-12 03:04:23] #1469/03185 | true=run | pred=run | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-12 03:04:43] #1470/03185 | true=run | pred=run | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 03:04:48] #1471/03185 | true=run | pred=run | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-12 03:04:51] #1472/03185 | true=run | pred=run | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-12 03:04:55] #1473/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:04:58] #1474/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 03:05:02] #1475/03185 | true=run | pred=run | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 03:05:10] #1476/03185 | true=run | pred=run | ✓ | ent=0.321 conf=0.940 gap=0.920
[2026-05-12 03:05:24] #1477/03185 | true=run | pred=walk | ✗ | ent=0.529 conf=0.880 gap=0.810
[2026-05-12 03:05:51] #1478/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:05:54] #1479/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:05:57] #1480/03185 | true=run | pred=run | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 03:06:08] #1481/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 03:06:16] #1482/03185 | true=run | pred=run | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 03:07:08] #1484/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-12 03:07:12] #1485/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:07:20] #1486/03185 | true=run | pred=run | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-12 03:07:24] #1487/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 03:07:27] #1488/03185 | true=run | pred=run | ✓ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 03:08:02] #1489/03185 | true=run | pred=run | ✓ | ent=0.362 conf=0.930 gap=0.910
[2026-05-12 03:08:06] #1490/03185 | true=run | pred=run | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:08:09] #1491/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:08:22] #1492/03185 | true=run | pred=walk | ✗ | ent=0.431 conf=0.920 gap=0.900
[2026-05-12 03:08:26] #1493/03185 | true=run | pred=run | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 03:08:30] #1494/03185 | true=run | pred=run | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:09:01] #1495/03185 | true=run | pred=run | ✓ | ent=0.966 conf=0.650 gap=0.400
[2026-05-12 03:09:16] #1496/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 03:09:26] #1497/03185 | true=run | pred=run | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 03:09:41] #1498/03185 | true=run | pred=run | ✓ | ent=0.518 conf=0.867 gap=0.765
[2026-05-12 03:10:03] #1499/03185 | true=run | pred=run | ✓ | ent=0.683 conf=0.850 gap=0.800
[2026-05-12 03:10:25] #1500/03185 | true=run | pred=walk | ✗ | ent=1.075 conf=0.720 gap=0.640
[2026-05-12 03:11:18] #1501/03185 | true=run | pred=run | ✓ | ent=0.666 conf=0.800 gap=0.650
[2026-05-12 03:11:22] #1502/03185 | true=run | pred=run | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-12 03:11:38] #1503/03185 | true=run | pred=walk | ✗ | ent=0.734 conf=0.820 gap=0.720
[2026-05-12 03:11:45] #1504/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:12:25] #1505/03185 | true=run | pred=walk | ✗ | ent=0.657 conf=0.850 gap=0.800
[2026-05-12 03:12:39] #1506/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-12 03:13:31] #1507/03185 | true=run | pred=walk | ✗ | ent=0.879 conf=0.800 gap=0.750
[2026-05-12 03:13:43] #1508/03185 | true=run | pred=run | ✓ | ent=0.679 conf=0.850 gap=0.800
[2026-05-12 03:14:10] #1509/03185 | true=run | pred=run | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 03:14:15] #1510/03185 | true=run | pred=run | ✓ | ent=0.905 conf=0.750 gap=0.600
[2026-05-12 03:14:19] #1511/03185 | true=run | pred=run | ✓ | ent=0.445 conf=0.895 gap=0.842
[2026-05-12 03:14:31] #1512/03185 | true=run | pred=run | ✓ | ent=0.066 conf=0.990 gap=0.985
[2026-05-12 03:14:37] #1513/03185 | true=run | pred=run | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-12 03:14:49] #1514/03185 | true=run | pred=run | ✓ | ent=0.307 conf=0.940 gap=0.920
[2026-05-12 03:15:00] #1515/03185 | true=run | pred=run | ✓ | ent=0.412 conf=0.920 gap=0.890
[2026-05-12 03:15:08] #1516/03185 | true=run | pred=walk | ✗ | ent=0.384 conf=0.931 gap=0.922
[2026-05-12 03:15:18] #1517/03185 | true=run | pred=run | ✓ | ent=0.206 conf=0.947 gap=0.895
[2026-05-12 03:15:29] #1518/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:15:37] #1519/03185 | true=run | pred=run | ✓ | ent=0.057 conf=0.990 gap=0.980
[2026-05-12 03:15:52] #1520/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:16:01] #1521/03185 | true=run | pred=run | ✓ | ent=0.742 conf=0.792 gap=0.644
[2026-05-12 03:16:53] #1522/03185 | true=run | pred=run | ✓ | ent=0.688 conf=0.850 gap=0.800
[2026-05-12 03:17:02] #1523/03185 | true=run | pred=run | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:17:05] #1524/03185 | true=run | pred=run | ✓ | ent=0.679 conf=0.850 gap=0.800
[2026-05-12 03:17:10] #1525/03185 | true=run | pred=run | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 03:17:17] #1526/03185 | true=run | pred=run | ✓ | ent=0.613 conf=0.850 gap=0.790
[2026-05-12 03:17:22] #1527/03185 | true=run | pred=run | ✓ | ent=1.085 conf=0.700 gap=0.550
[2026-05-12 03:17:26] #1528/03185 | true=run | pred=run | ✓ | ent=0.864 conf=0.750 gap=0.600
[2026-05-12 03:17:30] #1529/03185 | true=run | pred=run | ✓ | ent=0.844 conf=0.800 gap=0.750
[2026-05-12 03:17:43] #1530/03185 | true=run | pred=run | ✓ | ent=0.830 conf=0.800 gap=0.750
[2026-05-12 03:18:35] #1531/03185 | true=run | pred=run | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 03:18:45] #1532/03185 | true=run | pred=run | ✓ | ent=0.688 conf=0.850 gap=0.800
[2026-05-12 03:18:54] #1533/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-12 03:18:59] #1534/03185 | true=run | pred=run | ✓ | ent=0.718 conf=0.842 gap=0.792
[2026-05-12 03:19:18] #1535/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:19:32] #1536/03185 | true=run | pred=walk | ✗ | ent=0.900 conf=0.750 gap=0.600
[2026-05-12 03:19:36] #1537/03185 | true=run | pred=run | ✓ | ent=0.987 conf=0.750 gap=0.650
[2026-05-12 03:20:28] #1538/03185 | true=run | pred=run | ✓ | ent=0.349 conf=0.889 gap=0.778
[2026-05-12 03:20:52] #1539/03185 | true=run | pred=run | ✓ | ent=0.531 conf=0.850 gap=0.730
[2026-05-12 03:21:06] #1540/03185 | true=run | pred=walk | ✗ | ent=0.272 conf=0.950 gap=0.930
[2026-05-12 03:21:14] #1541/03185 | true=run | pred=run | ✓ | ent=0.881 conf=0.750 gap=0.600
[2026-05-12 03:21:17] #1542/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 03:21:25] #1543/03185 | true=run | pred=run | ✓ | ent=0.175 conf=0.970 gap=0.960
[2026-05-12 03:21:41] #1544/03185 | true=run | pred=walk | ✗ | ent=0.646 conf=0.850 gap=0.800
[2026-05-12 03:21:51] #1545/03185 | true=run | pred=run | ✓ | ent=0.683 conf=0.850 gap=0.800
[2026-05-12 03:21:55] #1546/03185 | true=run | pred=run | ✓ | ent=1.050 conf=0.700 gap=0.550
[2026-05-12 03:22:00] #1547/03185 | true=run | pred=run | ✓ | ent=0.900 conf=0.750 gap=0.600
[2026-05-12 03:22:03] #1548/03185 | true=run | pred=run | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 03:22:06] #1549/03185 | true=run | pred=run | ✓ | ent=0.498 conf=0.891 gap=0.842
[2026-05-12 03:22:09] #1550/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:22:13] #1551/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:22:18] #1552/03185 | true=run | pred=run | ✓ | ent=0.215 conf=0.944 gap=0.889
[2026-05-12 03:22:29] #1553/03185 | true=run | pred=run | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 03:22:32] #1554/03185 | true=run | pred=run | ✓ | ent=0.774 conf=0.800 gap=0.680
[2026-05-12 03:22:35] #1555/03185 | true=run | pred=run | ✓ | ent=0.768 conf=0.800 gap=0.680
[2026-05-12 03:22:39] #1556/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:23:08] #1557/03185 | true=run | pred=run | ✓ | ent=1.131 conf=0.700 gap=0.600
[2026-05-12 03:23:18] #1558/03185 | true=run | pred=run | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 03:23:41] #1559/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:23:44] #1560/03185 | true=run | pred=run | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 03:24:05] #1561/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-12 03:24:14] #1562/03185 | true=run | pred=run | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:24:21] #1563/03185 | true=run | pred=run | ✓ | ent=0.655 conf=0.850 gap=0.800
[2026-05-12 03:24:43] #1564/03185 | true=run | pred=run | ✓ | ent=0.679 conf=0.850 gap=0.800
[2026-05-12 03:24:51] #1565/03185 | true=run | pred=run | ✓ | ent=0.688 conf=0.850 gap=0.800
[2026-05-12 03:25:05] #1566/03185 | true=run | pred=run | ✓ | ent=0.390 conf=0.920 gap=0.880
[2026-05-12 03:25:08] #1567/03185 | true=run | pred=run | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 03:25:25] #1568/03185 | true=run | pred=walk | ✗ | ent=0.419 conf=0.920 gap=0.890
[2026-05-12 03:25:31] #1569/03185 | true=run | pred=run | ✓ | ent=0.679 conf=0.850 gap=0.800
[2026-05-12 03:25:51] #1570/03185 | true=run | pred=walk | ✗ | ent=0.683 conf=0.850 gap=0.800
[2026-05-12 03:25:55] #1571/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-12 03:26:21] #1572/03185 | true=run | pred=run | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 03:26:34] #1573/03185 | true=run | pred=run | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 03:26:48] #1574/03185 | true=run | pred=walk | ✗ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 03:26:56] #1575/03185 | true=run | pred=walk | ✗ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 03:26:59] #1576/03185 | true=run | pred=run | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:27:26] #1577/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:27:50] #1578/03185 | true=run | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-12 03:27:54] #1579/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 03:27:58] #1580/03185 | true=run | pred=run | ✓ | ent=1.073 conf=0.700 gap=0.550
[2026-05-12 03:28:22] #1581/03185 | true=run | pred=run | ✓ | ent=0.206 conf=0.947 gap=0.895
[2026-05-12 03:28:30] #1582/03185 | true=run | pred=run | ✓ | ent=0.693 conf=0.800 gap=0.650
[2026-05-12 03:28:34] #1583/03185 | true=run | pred=run | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:28:48] #1584/03185 | true=run | pred=run | ✓ | ent=0.543 conf=0.880 gap=0.830
[2026-05-12 03:28:54] #1585/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:28:58] #1586/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:29:18] #1587/03185 | true=run | pred=run | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 03:29:27] #1588/03185 | true=run | pred=run | ✓ | ent=0.811 conf=0.800 gap=0.750
[2026-05-12 03:29:39] #1589/03185 | true=run | pred=run | ✓ | ent=0.683 conf=0.850 gap=0.800
[2026-05-12 03:30:05] #1590/03185 | true=run | pred=run | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 03:30:10] #1591/03185 | true=run | pred=run | ✓ | ent=0.879 conf=0.750 gap=0.650
[2026-05-12 03:30:14] #1592/03185 | true=run | pred=run | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 03:30:21] #1593/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:30:32] #1594/03185 | true=run | pred=run | ✓ | ent=0.173 conf=0.969 gap=0.958
[2026-05-12 03:30:36] #1595/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:30:58] #1596/03185 | true=run | pred=run | ✓ | ent=0.598 conf=0.874 gap=0.825
[2026-05-12 03:31:09] #1597/03185 | true=run | pred=run | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-12 03:31:12] #1598/03185 | true=run | pred=run | ✓ | ent=0.679 conf=0.850 gap=0.800
[2026-05-12 03:31:22] #1599/03185 | true=run | pred=run | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 03:31:26] #1600/03185 | true=run | pred=run | ✓ | ent=0.655 conf=0.850 gap=0.800
[2026-05-12 03:31:59] #1601/03185 | true=run | pred=walk | ✗ | ent=0.424 conf=0.920 gap=0.900
[2026-05-12 03:32:09] #1602/03185 | true=run | pred=run | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 03:32:13] #1603/03185 | true=run | pred=run | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-12 03:32:26] #1604/03185 | true=run | pred=walk | ✗ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 03:32:39] #1605/03185 | true=run | pred=run | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 03:32:56] #1606/03185 | true=run | pred=run | ✓ | ent=0.881 conf=0.750 gap=0.600
[2026-05-12 03:33:08] #1607/03185 | true=run | pred=run | ✓ | ent=0.411 conf=0.904 gap=0.851
[2026-05-12 03:33:13] #1608/03185 | true=run | pred=run | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:33:36] #1609/03185 | true=run | pred=run | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 03:34:01] #1610/03185 | true=run | pred=walk | ✗ | ent=0.867 conf=0.800 gap=0.750
[2026-05-12 03:34:07] #1611/03185 | true=run | pred=run | ✓ | ent=0.651 conf=0.850 gap=0.800
[2026-05-12 03:34:18] #1612/03185 | true=run | pred=walk | ✗ | ent=0.676 conf=0.850 gap=0.800
[2026-05-12 03:34:22] #1613/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:34:26] #1614/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 03:34:29] #1615/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-12 03:34:55] #1616/03185 | true=run | pred=run | ✓ | ent=0.223 conf=0.960 gap=0.950
[2026-05-12 03:35:05] #1617/03185 | true=run | pred=run | ✓ | ent=0.293 conf=0.940 gap=0.920
[2026-05-12 03:35:13] #1618/03185 | true=run | pred=walk | ✗ | ent=0.471 conf=0.900 gap=0.850
[2026-05-12 03:35:21] #1619/03185 | true=run | pred=run | ✓ | ent=0.651 conf=0.850 gap=0.800
[2026-05-12 03:35:33] #1620/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 03:35:43] #1621/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:36:09] #1622/03185 | true=run | pred=run | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:36:18] #1623/03185 | true=run | pred=run | ✓ | ent=0.302 conf=0.940 gap=0.910
[2026-05-12 03:36:23] #1624/03185 | true=run | pred=run | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 03:36:26] #1625/03185 | true=run | pred=run | ✓ | ent=0.761 conf=0.800 gap=0.700
[2026-05-12 03:36:31] #1626/03185 | true=run | pred=run | ✓ | ent=0.679 conf=0.850 gap=0.800
[2026-05-12 03:37:00] #1627/03185 | true=run | pred=run | ✓ | ent=0.168 conf=0.970 gap=0.960
[2026-05-12 03:37:04] #1628/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:37:08] #1629/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:37:16] #1630/03185 | true=run | pred=run | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 03:37:24] #1631/03185 | true=run | pred=run | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-12 03:37:56] #1632/03185 | true=run | pred=walk | ✗ | ent=0.260 conf=0.950 gap=0.920
[2026-05-12 03:38:05] #1633/03185 | true=run | pred=run | ✓ | ent=0.418 conf=0.923 gap=0.904
[2026-05-12 03:38:19] #1634/03185 | true=run | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-12 03:38:22] #1635/03185 | true=run | pred=run | ✓ | ent=0.317 conf=0.928 gap=0.876
[2026-05-12 03:38:26] #1636/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 03:38:33] #1637/03185 | true=run | pred=run | ✓ | ent=0.419 conf=0.900 gap=0.850
[2026-05-12 03:38:37] #1638/03185 | true=run | pred=run | ✓ | ent=0.669 conf=0.850 gap=0.800
[2026-05-12 03:38:50] #1639/03185 | true=run | pred=run | ✓ | ent=0.578 conf=0.850 gap=0.750
[2026-05-12 03:39:07] #1640/03185 | true=run | pred=walk | ✗ | ent=0.905 conf=0.750 gap=0.600
[2026-05-12 03:39:10] #1641/03185 | true=run | pred=run | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 03:39:18] #1642/03185 | true=run | pred=run | ✓ | ent=0.700 conf=0.800 gap=0.650
[2026-05-12 03:39:22] #1643/03185 | true=run | pred=run | ✓ | ent=0.679 conf=0.850 gap=0.800
[2026-05-12 03:39:25] #1644/03185 | true=run | pred=run | ✓ | ent=0.693 conf=0.850 gap=0.800
[2026-05-12 03:39:28] #1645/03185 | true=run | pred=run | ✓ | ent=0.526 conf=0.891 gap=0.842
[2026-05-12 03:39:32] #1646/03185 | true=run | pred=run | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 03:39:59] #1647/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-12 03:40:02] #1648/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:40:17] #1649/03185 | true=run | pred=run | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 03:40:22] #1650/03185 | true=run | pred=run | ✓ | ent=0.442 conf=0.900 gap=0.850
[2026-05-12 03:40:28] #1651/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:40:33] #1652/03185 | true=run | pred=run | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 03:40:41] #1653/03185 | true=run | pred=run | ✓ | ent=0.655 conf=0.850 gap=0.800
[2026-05-12 03:40:45] #1654/03185 | true=run | pred=run | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 03:41:15] #1655/03185 | true=run | pred=run | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 03:41:21] #1656/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:41:26] #1657/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:41:29] #1658/03185 | true=run | pred=run | ✓ | ent=0.844 conf=0.800 gap=0.750
[2026-05-12 03:41:34] #1659/03185 | true=run | pred=run | ✓ | ent=0.500 conf=0.900 gap=0.860
[2026-05-12 03:41:50] #1660/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-12 03:41:54] #1661/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:41:59] #1662/03185 | true=run | pred=run | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 03:42:03] #1663/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:42:29] #1664/03185 | true=run | pred=run | ✓ | ent=0.431 conf=0.920 gap=0.900
[2026-05-12 03:42:42] #1665/03185 | true=run | pred=run | ✓ | ent=0.543 conf=0.880 gap=0.830
[2026-05-12 03:42:46] #1666/03185 | true=run | pred=run | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-12 03:43:00] #1667/03185 | true=run | pred=run | ✓ | ent=0.239 conf=0.950 gap=0.910
[2026-05-12 03:43:20] #1668/03185 | true=run | pred=walk | ✗ | ent=0.563 conf=0.880 gap=0.840
[2026-05-12 03:43:35] #1669/03185 | true=run | pred=run | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 03:43:38] #1670/03185 | true=run | pred=run | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:44:05] #1671/03185 | true=run | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-12 03:44:08] #1672/03185 | true=run | pred=run | ✓ | ent=0.475 conf=0.900 gap=0.850
[2026-05-12 03:44:11] #1673/03185 | true=run | pred=run | ✓ | ent=0.857 conf=0.650 gap=0.400
[2026-05-12 03:44:16] #1674/03185 | true=run | pred=run | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:44:43] #1675/03185 | true=run | pred=run | ✓ | ent=0.302 conf=0.940 gap=0.910
[2026-05-12 03:44:55] #1676/03185 | true=run | pred=run | ✓ | ent=0.246 conf=0.950 gap=0.920
[2026-05-12 03:45:12] #1677/03185 | true=run | pred=walk | ✗ | ent=0.351 conf=0.920 gap=0.870
[2026-05-12 03:45:31] #1678/03185 | true=run | pred=run | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 03:45:36] #1679/03185 | true=run | pred=run | ✓ | ent=0.394 conf=0.900 gap=0.850
