[2026-05-11 23:15:06] #0001/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:44:11] #0504/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-12 01:44:31] #0505/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.627 conf=0.850 gap=0.790
[2026-05-12 01:44:47] #0506/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 01:44:52] #0507/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 01:45:13] #0508/01676 | true=upstairs | pred=walking | ✗ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 01:45:19] #0510/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 01:45:35] #0511/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.836 conf=0.650 gap=0.380
[2026-05-12 01:45:55] #0512/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.970 conf=0.700 gap=0.520
[2026-05-12 01:46:23] #0513/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:46:32] #0514/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.651 conf=0.850 gap=0.800
[2026-05-12 01:47:15] #0516/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 01:47:38] #0517/01676 | true=upstairs | pred=walking | ✗ | ent=0.824 conf=0.600 gap=0.250
[2026-05-12 01:47:52] #0518/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:47:56] #0519/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:48:32] #0520/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 01:48:53] #0521/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.681 conf=0.840 gap=0.790
[2026-05-12 01:49:04] #0522/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.836 conf=0.780 gap=0.680
[2026-05-12 01:50:55] #0524/01676 | true=upstairs | pred=walking | ✗ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 01:51:24] #0525/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 01:51:26] #0526/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 01:51:40] #0527/01676 | true=upstairs | pred=walking | ✗ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 01:51:51] #0528/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 01:51:54] #0529/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 01:52:08] #0531/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 01:52:21] #0532/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 01:52:38] #0533/01676 | true=upstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 01:52:57] #0534/01676 | true=upstairs | pred=walking | ✗ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 01:53:08] #0535/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.997 conf=0.550 gap=0.300
[2026-05-12 01:53:23] #0536/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 01:53:33] #0537/01676 | true=upstairs | pred=walking | ✗ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 01:54:04] #0538/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.023 conf=0.700 gap=0.570
[2026-05-12 01:54:16] #0539/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 01:54:42] #0540/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:55:32] #0541/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.917 conf=0.730 gap=0.610
[2026-05-12 01:55:36] #0542/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.836 conf=0.780 gap=0.680
[2026-05-12 01:56:02] #0543/01676 | true=upstairs | pred=walking | ✗ | ent=0.712 conf=0.750 gap=0.550
[2026-05-12 01:56:05] #0544/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 01:57:40] #0545/01676 | true=upstairs | pred=jogging | ✗ | ent=0.886 conf=0.650 gap=0.450
[2026-05-12 01:57:51] #0546/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.719 conf=0.750 gap=0.580
[2026-05-12 01:58:19] #0548/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 01:58:25] #0549/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 01:58:46] #0550/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 01:58:59] #0551/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.678 conf=0.780 gap=0.660
[2026-05-12 01:59:15] #0552/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.879 conf=0.750 gap=0.650
[2026-05-12 01:59:46] #0554/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.017 conf=0.700 gap=0.550
[2026-05-12 02:00:07] #0555/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.726 conf=0.800 gap=0.700
[2026-05-12 02:00:48] #0557/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 02:00:59] #0558/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:01:09] #0559/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 02:01:15] #0560/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.892 conf=0.750 gap=0.620
[2026-05-12 02:01:29] #0561/01676 | true=upstairs | pred=walking | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 02:02:22] #0562/01676 | true=upstairs | pred=downstairs | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 02:02:36] #0563/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.761 conf=0.800 gap=0.700
[2026-05-12 02:02:44] #0564/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.938 conf=0.600 gap=0.350
[2026-05-12 02:03:01] #0565/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.878 conf=0.720 gap=0.550
[2026-05-12 02:05:18] #0566/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 02:05:32] #0567/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:05:47] #0568/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.916 conf=0.720 gap=0.600
[2026-05-12 02:05:51] #0569/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.761 conf=0.800 gap=0.700
[2026-05-12 02:06:13] #0570/01676 | true=upstairs | pred=walking | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:07:20] #0572/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.645 conf=0.820 gap=0.740
[2026-05-12 02:07:33] #0573/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 02:07:42] #0574/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 02:08:07] #0575/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.761 conf=0.800 gap=0.700
[2026-05-12 02:08:16] #0576/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.627 conf=0.850 gap=0.790
[2026-05-12 02:08:19] #0577/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.926 conf=0.750 gap=0.670
[2026-05-12 02:08:31] #0578/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:08:46] #0579/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:09:50] #0581/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 02:10:00] #0582/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.473 conf=0.870 gap=0.790
[2026-05-12 02:10:19] #0584/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.967 conf=0.700 gap=0.550
[2026-05-12 02:11:34] #0586/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.612 conf=0.850 gap=0.780
[2026-05-12 02:11:38] #0587/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.017 conf=0.700 gap=0.550
[2026-05-12 02:11:50] #0588/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 02:12:16] #0589/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 02:12:45] #0590/01676 | true=upstairs | pred=walking | ✗ | ent=1.033 conf=0.600 gap=0.350
[2026-05-12 02:12:57] #0591/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 02:13:09] #0592/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.728 conf=0.820 gap=0.740
[2026-05-12 02:13:32] #0593/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.028 conf=0.650 gap=0.490
[2026-05-12 02:13:45] #0594/01676 | true=upstairs | pred=walking | ✗ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 02:14:13] #0595/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.826 conf=0.750 gap=0.650
[2026-05-12 02:14:34] #0596/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 02:14:46] #0598/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.761 conf=0.800 gap=0.700
[2026-05-12 02:14:58] #0599/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:15:00] #0600/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.079 conf=0.700 gap=0.600
[2026-05-12 02:15:24] #0602/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 02:15:37] #0603/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:15:42] #0604/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 02:16:17] #0606/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:17:51] #0607/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.886 conf=0.650 gap=0.450
[2026-05-12 02:17:54] #0608/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.052 conf=0.650 gap=0.500
[2026-05-12 02:18:09] #0609/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 02:18:21] #0611/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.164 conf=0.620 gap=0.450
[2026-05-12 02:18:43] #0612/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.651 conf=0.850 gap=0.800
[2026-05-12 02:19:02] #0613/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.268 conf=0.550 gap=0.350
[2026-05-12 02:19:16] #0614/01676 | true=upstairs | pred=jogging | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 02:19:28] #0615/01676 | true=upstairs | pred=walking | ✗ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 02:19:32] #0616/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.666 conf=0.820 gap=0.700
[2026-05-12 02:19:52] #0617/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:20:03] #0618/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.716 conf=0.830 gap=0.780
[2026-05-12 02:20:20] #0619/01676 | true=upstairs | pred=jogging | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 02:20:24] #0620/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.490 conf=0.880 gap=0.830
[2026-05-12 02:20:26] #0621/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:20:32] #0622/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.651 conf=0.850 gap=0.800
[2026-05-12 02:20:43] #0623/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:21:25] #0624/01676 | true=upstairs | pred=walking | ✗ | ent=0.847 conf=0.750 gap=0.600
[2026-05-12 02:21:34] #0625/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:21:44] #0626/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.627 conf=0.850 gap=0.790
[2026-05-12 02:22:04] #0627/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 02:22:07] #0628/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.247 conf=0.550 gap=0.340
[2026-05-12 02:22:19] #0629/01676 | true=upstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 02:23:07] #0631/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.490 conf=0.880 gap=0.830
[2026-05-12 02:23:21] #0632/01676 | true=upstairs | pred=downstairs | ✗ | ent=1.043 conf=0.550 gap=0.200
[2026-05-12 02:23:34] #0634/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.719 conf=0.750 gap=0.580
[2026-05-12 02:24:04] #0635/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 02:24:21] #0636/01676 | true=upstairs | pred=walking | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 02:24:57] #0639/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 02:25:49] #0640/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.017 conf=0.700 gap=0.550
[2026-05-12 02:26:17] #0641/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:26:45] #0642/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 02:26:48] #0643/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 02:27:12] #0644/01676 | true=upstairs | pred=downstairs | ✗ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 02:27:25] #0645/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.255 conf=0.550 gap=0.300
[2026-05-12 02:27:44] #0646/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.975 conf=0.550 gap=0.250
[2026-05-12 02:28:58] #0647/01676 | true=upstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 02:29:07] #0648/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:29:19] #0649/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 02:30:02] #0650/01676 | true=upstairs | pred=walking | ✗ | ent=0.852 conf=0.700 gap=0.500
[2026-05-12 02:30:17] #0651/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:30:29] #0652/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.057 conf=0.649 gap=0.500
[2026-05-12 02:30:36] #0653/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 02:30:49] #0654/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 02:30:51] #0655/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.271 conf=0.600 gap=0.450
[2026-05-12 02:31:42] #0657/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 02:32:02] #0658/01676 | true=upstairs | pred=jogging | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 02:32:19] #0659/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.822 conf=0.750 gap=0.630
[2026-05-12 02:32:32] #0661/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.655 conf=0.850 gap=0.800
[2026-05-12 02:33:02] #0662/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:33:05] #0663/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 02:33:15] #0664/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 02:33:18] #0665/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 02:33:29] #0666/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:33:34] #0667/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.924 conf=0.700 gap=0.500
[2026-05-12 02:33:45] #0668/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:35:20] #0669/01676 | true=upstairs | pred=downstairs | ✗ | ent=0.975 conf=0.550 gap=0.250
[2026-05-12 02:35:37] #0670/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 02:36:39] #0672/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.965 conf=0.750 gap=0.700
[2026-05-12 02:36:50] #0673/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.902 conf=0.720 gap=0.560
[2026-05-12 02:37:13] #0675/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.003 conf=0.550 gap=0.220
[2026-05-12 02:37:17] #0676/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:37:20] #0677/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 02:37:46] #0678/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.965 conf=0.720 gap=0.590
[2026-05-12 02:38:24] #0679/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.789 conf=0.750 gap=0.620
[2026-05-12 02:38:33] #0680/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 02:38:44] #0681/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.886 conf=0.650 gap=0.450
[2026-05-12 02:38:55] #0682/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 02:39:49] #0684/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.035 conf=0.680 gap=0.550
[2026-05-12 02:40:08] #0685/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 02:40:29] #0686/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.600 conf=0.860 gap=0.810
[2026-05-12 02:40:49] #0687/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 02:41:20] #0688/01676 | true=upstairs | pred=walking | ✗ | ent=0.982 conf=0.650 gap=0.450
[2026-05-12 02:41:36] #0689/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:41:49] #0690/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-12 02:42:11] #0691/01676 | true=upstairs | pred=downstairs | ✗ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 02:42:15] #0692/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.970 conf=0.700 gap=0.520
[2026-05-12 02:42:55] #0693/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 02:43:51] #0695/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.347 conf=0.550 gap=0.400
[2026-05-12 02:44:20] #0697/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 02:44:22] #0698/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.251 conf=0.600 gap=0.450
[2026-05-12 02:44:32] #0699/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 02:44:42] #0701/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:44:51] #0702/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:45:01] #0703/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.008 conf=0.680 gap=0.500
[2026-05-12 02:45:22] #0704/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.085 conf=0.650 gap=0.450
[2026-05-12 02:45:54] #0706/01676 | true=upstairs | pred=downstairs | ✗ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 02:46:04] #0707/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 02:46:14] #0708/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 02:46:28] #0709/01676 | true=upstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 02:46:40] #0710/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.635 conf=0.850 gap=0.800
[2026-05-12 02:46:51] #0711/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 02:47:04] #0712/01676 | true=upstairs | pred=walking | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:47:25] #0713/01676 | true=upstairs | pred=walking | ✗ | ent=1.142 conf=0.560 gap=0.260
[2026-05-12 02:47:42] #0715/01676 | true=upstairs | pred=walking | ✗ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 02:47:45] #0716/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.965 conf=0.750 gap=0.700
[2026-05-12 02:47:49] #0717/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 02:48:38] #0719/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 02:48:47] #0720/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 02:48:50] #0721/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.853 conf=0.750 gap=0.600
[2026-05-12 02:49:19] #0722/01676 | true=upstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 02:49:29] #0723/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 02:49:37] #0724/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.761 conf=0.800 gap=0.700
[2026-05-12 02:50:14] #0725/01676 | true=upstairs | pred=downstairs | ✗ | ent=0.982 conf=0.650 gap=0.450
[2026-05-12 02:50:44] #0726/01676 | true=upstairs | pred=downstairs | ✗ | ent=0.731 conf=0.750 gap=0.600
[2026-05-12 02:50:46] #0727/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.033 conf=0.600 gap=0.350
[2026-05-12 02:51:27] #0728/01676 | true=upstairs | pred=walking | ✗ | ent=0.914 conf=0.700 gap=0.550
[2026-05-12 02:52:28] #0730/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-12 02:52:33] #0731/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.647 conf=0.850 gap=0.790
[2026-05-12 02:52:46] #0732/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.819 conf=0.700 gap=0.550
[2026-05-12 02:52:57] #0733/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.829 conf=0.750 gap=0.590
[2026-05-12 02:53:49] #0734/01676 | true=upstairs | pred=walking | ✗ | ent=0.824 conf=0.600 gap=0.250
[2026-05-12 02:53:57] #0735/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 02:54:08] #0736/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:54:11] #0737/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:55:13] #0738/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.735 conf=0.750 gap=0.620
[2026-05-12 02:55:17] #0739/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 02:55:32] #0740/01676 | true=upstairs | pred=walking | ✗ | ent=1.087 conf=0.640 gap=0.490
[2026-05-12 02:55:58] #0741/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.627 conf=0.850 gap=0.790
[2026-05-12 02:56:07] #0742/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.761 conf=0.800 gap=0.700
[2026-05-12 02:56:19] #0743/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.448 conf=0.880 gap=0.810
[2026-05-12 02:56:29] #0744/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.681 conf=0.840 gap=0.790
[2026-05-12 02:56:39] #0745/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 02:57:09] #0746/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:57:32] #0747/01676 | true=upstairs | pred=jogging | ✗ | ent=1.110 conf=0.550 gap=0.300
[2026-05-12 02:58:01] #0748/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 02:58:13] #0749/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.895 conf=0.760 gap=0.660
[2026-05-12 02:58:26] #0750/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.977 conf=0.550 gap=0.200
[2026-05-12 02:58:36] #0751/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.296 conf=0.930 gap=0.880
[2026-05-12 02:59:34] #0752/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:00:16] #0753/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.853 conf=0.750 gap=0.600
[2026-05-12 03:00:24] #0754/01676 | true=upstairs | pred=upstairs | ✓ | ent=1.268 conf=0.550 gap=0.350
[2026-05-12 03:00:28] #0755/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.945 conf=0.750 gap=0.670
[2026-05-12 03:00:37] #0756/01676 | true=upstairs | pred=upstairs | ✓ | ent=0.960 conf=0.720 gap=0.570
