[2026-05-11 23:14:52] #0001/03346 | true=standing | pred=standing | ✓ | ent=0.435 conf=0.880 gap=0.780
[2026-05-12 04:13:45] #1504/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 04:14:09] #1505/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:14:12] #1506/03346 | true=standing | pred=standing | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 04:14:20] #1507/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:14:46] #1508/03346 | true=standing | pred=standing | ✓ | ent=0.679 conf=0.800 gap=0.650
[2026-05-12 04:14:50] #1509/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:14:58] #1510/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:15:06] #1511/03346 | true=standing | pred=standing | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-12 04:15:19] #1512/03346 | true=standing | pred=standing | ✓ | ent=0.831 conf=0.550 gap=0.130
[2026-05-12 04:15:31] #1513/03346 | true=standing | pred=standing | ✓ | ent=0.472 conf=0.900 gap=0.860
[2026-05-12 04:15:41] #1514/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:16:00] #1515/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:16:04] #1516/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 04:16:10] #1517/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 04:16:13] #1518/03346 | true=standing | pred=standing | ✓ | ent=0.168 conf=0.970 gap=0.960
[2026-05-12 04:16:16] #1519/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:16:19] #1520/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:16:21] #1521/03346 | true=standing | pred=standing | ✓ | ent=1.271 conf=0.600 gap=0.450
[2026-05-12 04:16:26] #1522/03346 | true=standing | pred=standing | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 04:16:55] #1523/03346 | true=standing | pred=standing | ✓ | ent=0.357 conf=0.930 gap=0.900
[2026-05-12 04:16:58] #1524/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:17:07] #1525/03346 | true=standing | pred=standing | ✓ | ent=0.112 conf=0.980 gap=0.970
[2026-05-12 04:17:26] #1526/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:17:30] #1527/03346 | true=standing | pred=standing | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 04:17:51] #1528/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:18:04] #1529/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:18:09] #1530/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:18:18] #1531/03346 | true=standing | pred=standing | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 04:18:37] #1532/03346 | true=standing | pred=standing | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-12 04:18:40] #1533/03346 | true=standing | pred=standing | ✓ | ent=0.922 conf=0.500 gap=0.050
[2026-05-12 04:18:42] #1534/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:18:48] #1535/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:18:52] #1536/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:19:01] #1537/03346 | true=standing | pred=standing | ✓ | ent=0.811 conf=0.800 gap=0.750
[2026-05-12 04:19:03] #1538/03346 | true=standing | pred=standing | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 04:19:29] #1539/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:21:00] #1540/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:21:28] #1541/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:21:31] #1542/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:21:44] #1543/03346 | true=standing | pred=standing | ✓ | ent=0.499 conf=0.880 gap=0.800
[2026-05-12 04:22:05] #1544/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:22:09] #1545/03346 | true=standing | pred=standing | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 04:22:19] #1546/03346 | true=standing | pred=standing | ✓ | ent=0.196 conf=0.960 gap=0.940
[2026-05-12 04:22:41] #1547/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:23:15] #1548/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 04:23:19] #1549/03346 | true=standing | pred=standing | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 04:23:24] #1550/03346 | true=standing | pred=standing | ✓ | ent=1.079 conf=0.700 gap=0.600
[2026-05-12 04:23:33] #1551/03346 | true=standing | pred=standing | ✓ | ent=0.235 conf=0.950 gap=0.910
[2026-05-12 04:23:36] #1552/03346 | true=standing | pred=standing | ✓ | ent=1.032 conf=0.650 gap=0.450
[2026-05-12 04:23:46] #1553/03346 | true=standing | pred=standing | ✓ | ent=0.616 conf=0.850 gap=0.770
[2026-05-12 04:23:49] #1554/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:24:00] #1555/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:24:20] #1556/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:24:24] #1557/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:24:27] #1558/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:24:30] #1559/03346 | true=standing | pred=standing | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 04:24:49] #1560/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:24:51] #1561/03346 | true=standing | pred=standing | ✓ | ent=0.646 conf=0.850 gap=0.800
[2026-05-12 04:24:55] #1562/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:24:59] #1563/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 04:25:12] #1564/03346 | true=standing | pred=standing | ✓ | ent=0.453 conf=0.900 gap=0.860
[2026-05-12 04:25:28] #1565/03346 | true=standing | pred=standing | ✓ | ent=0.666 conf=0.800 gap=0.650
[2026-05-12 04:25:31] #1566/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:25:57] #1567/03346 | true=standing | pred=standing | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 04:26:10] #1568/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:26:13] #1569/03346 | true=standing | pred=standing | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 04:26:27] #1570/03346 | true=standing | pred=standing | ✓ | ent=0.740 conf=0.750 gap=0.550
[2026-05-12 04:26:37] #1571/03346 | true=standing | pred=standing | ✓ | ent=0.279 conf=0.940 gap=0.900
[2026-05-12 04:27:04] #1572/03346 | true=standing | pred=standing | ✓ | ent=0.279 conf=0.940 gap=0.900
[2026-05-12 04:27:07] #1573/03346 | true=standing | pred=standing | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-12 04:27:18] #1574/03346 | true=standing | pred=standing | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 04:27:21] #1575/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:27:33] #1576/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 04:28:03] #1577/03346 | true=standing | pred=standing | ✓ | ent=0.616 conf=0.850 gap=0.770
[2026-05-12 04:28:05] #1578/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:28:13] #1579/03346 | true=standing | pred=standing | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 04:28:17] #1580/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:28:26] #1581/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:28:30] #1582/03346 | true=standing | pred=standing | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-12 04:28:33] #1583/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:29:04] #1584/03346 | true=standing | pred=standing | ✓ | ent=0.544 conf=0.880 gap=0.840
[2026-05-12 04:29:07] #1585/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:29:10] #1586/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:29:35] #1587/03346 | true=standing | pred=standing | ✓ | ent=0.710 conf=0.730 gap=0.490
[2026-05-12 04:29:38] #1588/03346 | true=standing | pred=standing | ✓ | ent=0.937 conf=0.750 gap=0.670
[2026-05-12 04:29:43] #1589/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:29:46] #1590/03346 | true=standing | pred=standing | ✓ | ent=0.965 conf=0.750 gap=0.700
[2026-05-12 04:29:58] #1591/03346 | true=standing | pred=standing | ✓ | ent=0.802 conf=0.620 gap=0.270
[2026-05-12 04:30:07] #1592/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:30:10] #1593/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:30:16] #1594/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 04:30:36] #1595/03346 | true=standing | pred=standing | ✓ | ent=1.079 conf=0.700 gap=0.600
[2026-05-12 04:30:50] #1596/03346 | true=standing | pred=standing | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 04:30:59] #1597/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:31:10] #1598/03346 | true=standing | pred=standing | ✓ | ent=0.376 conf=0.920 gap=0.880
[2026-05-12 04:31:20] #1599/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:31:28] #1600/03346 | true=standing | pred=standing | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 04:31:55] #1601/03346 | true=standing | pred=standing | ✓ | ent=0.679 conf=0.800 gap=0.650
[2026-05-12 04:32:04] #1602/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:32:07] #1603/03346 | true=standing | pred=standing | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 04:32:12] #1604/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:32:20] #1605/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:32:23] #1606/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:32:35] #1607/03346 | true=standing | pred=standing | ✓ | ent=0.467 conf=0.880 gap=0.790
[2026-05-12 04:32:39] #1608/03346 | true=standing | pred=standing | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 04:32:42] #1609/03346 | true=standing | pred=standing | ✓ | ent=0.398 conf=0.920 gap=0.890
[2026-05-12 04:32:48] #1610/03346 | true=standing | pred=standing | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 04:32:56] #1611/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:32:59] #1612/03346 | true=standing | pred=standing | ✓ | ent=0.585 conf=0.850 gap=0.750
[2026-05-12 04:33:08] #1613/03346 | true=standing | pred=standing | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 04:33:26] #1614/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:33:30] #1615/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:33:34] #1616/03346 | true=standing | pred=standing | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 04:33:44] #1617/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:33:49] #1618/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:33:52] #1619/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:34:12] #1620/03346 | true=standing | pred=standing | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 04:34:17] #1621/03346 | true=standing | pred=standing | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-12 04:34:32] #1622/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:34:37] #1623/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:34:40] #1624/03346 | true=standing | pred=standing | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 04:34:50] #1625/03346 | true=standing | pred=standing | ✓ | ent=0.756 conf=0.800 gap=0.700
[2026-05-12 04:35:01] #1626/03346 | true=standing | pred=standing | ✓ | ent=0.467 conf=0.880 gap=0.790
[2026-05-12 04:35:20] #1627/03346 | true=standing | pred=standing | ✓ | ent=0.716 conf=0.830 gap=0.780
[2026-05-12 04:35:38] #1628/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:35:45] #1629/03346 | true=standing | pred=standing | ✓ | ent=0.543 conf=0.880 gap=0.830
[2026-05-12 04:35:57] #1630/03346 | true=standing | pred=standing | ✓ | ent=0.538 conf=0.880 gap=0.830
[2026-05-12 04:36:04] #1631/03346 | true=standing | pred=standing | ✓ | ent=0.390 conf=0.920 gap=0.880
[2026-05-12 04:36:27] #1632/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:36:29] #1633/03346 | true=standing | pred=standing | ✓ | ent=0.321 conf=0.940 gap=0.920
[2026-05-12 04:36:42] #1634/03346 | true=standing | pred=standing | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 04:36:44] #1635/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:36:53] #1636/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:37:02] #1637/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 04:37:22] #1638/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:37:27] #1639/03346 | true=standing | pred=standing | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 04:37:31] #1640/03346 | true=standing | pred=standing | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 04:37:39] #1641/03346 | true=standing | pred=standing | ✓ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 04:37:47] #1642/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:37:51] #1643/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:38:00] #1644/03346 | true=standing | pred=standing | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 04:38:03] #1645/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:38:23] #1646/03346 | true=standing | pred=standing | ✓ | ent=0.922 conf=0.500 gap=0.050
[2026-05-12 04:38:26] #1647/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:38:37] #1648/03346 | true=standing | pred=standing | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 04:38:47] #1649/03346 | true=standing | pred=standing | ✓ | ent=0.135 conf=0.970 gap=0.940
[2026-05-12 04:38:57] #1650/03346 | true=standing | pred=standing | ✓ | ent=0.847 conf=0.750 gap=0.600
[2026-05-12 04:39:00] #1651/03346 | true=standing | pred=standing | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 04:39:02] #1652/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:40:01] #1653/03346 | true=standing | pred=standing | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 04:40:04] #1654/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:40:24] #1655/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:40:34] #1656/03346 | true=standing | pred=standing | ✓ | ent=0.472 conf=0.900 gap=0.860
[2026-05-12 04:40:37] #1657/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:40:47] #1658/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:41:15] #1659/03346 | true=standing | pred=standing | ✓ | ent=0.078 conf=0.988 gap=0.980
[2026-05-12 04:41:17] #1660/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:41:25] #1661/03346 | true=standing | pred=standing | ✓ | ent=0.321 conf=0.940 gap=0.920
[2026-05-12 04:41:28] #1662/03346 | true=standing | pred=standing | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 04:41:33] #1663/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:41:35] #1664/03346 | true=standing | pred=standing | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-12 04:41:39] #1665/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:41:54] #1666/03346 | true=standing | pred=standing | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 04:41:57] #1667/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:42:05] #1668/03346 | true=standing | pred=standing | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-12 04:42:14] #1669/03346 | true=standing | pred=standing | ✓ | ent=0.490 conf=0.870 gap=0.770
[2026-05-12 04:42:25] #1670/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:42:28] #1671/03346 | true=standing | pred=standing | ✓ | ent=1.190 conf=0.650 gap=0.550
[2026-05-12 04:42:36] #1672/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:42:49] #1673/03346 | true=standing | pred=standing | ✓ | ent=0.646 conf=0.850 gap=0.800
[2026-05-12 04:43:17] #1674/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:43:37] #1675/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:43:39] #1676/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:43:42] #1677/03346 | true=standing | pred=standing | ✓ | ent=0.745 conf=0.780 gap=0.630
[2026-05-12 04:43:51] #1678/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:43:55] #1679/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:43:59] #1680/03346 | true=standing | pred=standing | ✓ | ent=0.232 conf=0.950 gap=0.920
[2026-05-12 04:44:02] #1681/03346 | true=standing | pred=standing | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 04:44:12] #1682/03346 | true=standing | pred=standing | ✓ | ent=0.890 conf=0.680 gap=0.430
[2026-05-12 04:44:21] #1683/03346 | true=standing | pred=standing | ✓ | ent=0.309 conf=0.930 gap=0.880
[2026-05-12 04:44:33] #1684/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:44:44] #1685/03346 | true=standing | pred=standing | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 04:44:46] #1686/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:44:59] #1687/03346 | true=standing | pred=standing | ✓ | ent=0.759 conf=0.780 gap=0.630
[2026-05-12 04:45:19] #1688/03346 | true=standing | pred=standing | ✓ | ent=0.529 conf=0.880 gap=0.830
[2026-05-12 04:45:28] #1689/03346 | true=standing | pred=standing | ✓ | ent=0.321 conf=0.940 gap=0.920
[2026-05-12 04:45:32] #1690/03346 | true=standing | pred=standing | ✓ | ent=0.419 conf=0.900 gap=0.850
[2026-05-12 04:45:35] #1691/03346 | true=standing | pred=standing | ✓ | ent=1.175 conf=0.450 gap=0.050
[2026-05-12 04:45:40] #1692/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:45:43] #1693/03346 | true=standing | pred=standing | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 04:46:07] #1694/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:46:11] #1695/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:46:21] #1696/03346 | true=standing | pred=standing | ✓ | ent=0.237 conf=0.950 gap=0.910
[2026-05-12 04:46:32] #1697/03346 | true=standing | pred=standing | ✓ | ent=0.168 conf=0.960 gap=0.920
[2026-05-12 04:46:35] #1698/03346 | true=standing | pred=standing | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 04:46:40] #1699/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:46:55] #1700/03346 | true=standing | pred=standing | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 04:46:59] #1701/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:47:03] #1702/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:47:07] #1703/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:47:10] #1704/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:47:13] #1705/03346 | true=standing | pred=standing | ✓ | ent=0.640 conf=0.850 gap=0.800
[2026-05-12 04:47:25] #1706/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:47:27] #1707/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:48:52] #1708/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:48:55] #1709/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:48:58] #1710/03346 | true=standing | pred=standing | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 04:49:01] #1711/03346 | true=standing | pred=standing | ✓ | ent=0.554 conf=0.880 gap=0.840
[2026-05-12 04:49:09] #1712/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:49:11] #1713/03346 | true=standing | pred=standing | ✓ | ent=0.965 conf=0.750 gap=0.700
[2026-05-12 04:50:07] #1714/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:50:18] #1715/03346 | true=standing | pred=standing | ✓ | ent=0.210 conf=0.960 gap=0.940
[2026-05-12 04:51:18] #1716/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:51:21] #1717/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:51:33] #1718/03346 | true=standing | pred=standing | ✓ | ent=0.964 conf=0.580 gap=0.230
[2026-05-12 04:51:48] #1719/03346 | true=standing | pred=standing | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 04:51:58] #1720/03346 | true=standing | pred=standing | ✓ | ent=0.453 conf=0.900 gap=0.860
[2026-05-12 04:52:05] #1721/03346 | true=standing | pred=standing | ✓ | ent=1.164 conf=0.650 gap=0.500
[2026-05-12 04:52:08] #1722/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:52:41] #1724/03346 | true=standing | pred=standing | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 04:52:45] #1725/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:52:58] #1726/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:53:34] #1727/03346 | true=standing | pred=standing | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 04:54:24] #1728/03346 | true=standing | pred=standing | ✓ | ent=0.376 conf=0.920 gap=0.880
[2026-05-12 04:54:34] #1729/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:54:58] #1730/03346 | true=standing | pred=standing | ✓ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 04:55:03] #1731/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:55:07] #1732/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:55:16] #1733/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:55:27] #1734/03346 | true=standing | pred=standing | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 04:55:31] #1735/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:55:41] #1736/03346 | true=standing | pred=standing | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 04:56:07] #1737/03346 | true=standing | pred=standing | ✓ | ent=1.060 conf=0.700 gap=0.600
[2026-05-12 04:56:10] #1738/03346 | true=standing | pred=standing | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 04:56:30] #1739/03346 | true=standing | pred=standing | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 04:56:33] #1740/03346 | true=standing | pred=standing | ✓ | ent=0.199 conf=0.950 gap=0.900
