[2026-05-11 11:03:20] #0001/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 09:38:47] #3212/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 09:39:04] #3213/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 09:39:23] #3214/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 09:40:00] #3215/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 09:40:36] #3216/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.329 | conf=0.930 | gap=0.900
[2026-05-12 09:41:38] #3217/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-12 09:41:58] #3218/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.170 | conf=0.969 | gap=0.959
[2026-05-12 09:42:29] #3219/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 09:42:49] #3220/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 09:43:08] #3221/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-12 09:44:36] #3222/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 09:44:54] #3223/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.257 | conf=0.948 | gap=0.928
[2026-05-12 09:45:08] #3224/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.451 | conf=0.895 | gap=0.853
[2026-05-12 09:45:24] #3225/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 09:45:47] #3226/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 09:46:52] #3227/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.813 | conf=0.720 | gap=0.520
[2026-05-12 09:47:46] #3228/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.664 | conf=0.820 | gap=0.740
[2026-05-12 09:47:59] #3229/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 09:48:34] #3230/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-12 09:49:06] #3231/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-12 09:49:41] #3232/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-12 09:50:06] #3233/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 09:50:25] #3234/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 09:51:08] #3235/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.365 | conf=0.920 | gap=0.890
[2026-05-12 09:51:46] #3236/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 09:52:47] #3237/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-12 09:53:03] #3238/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 09:53:41] #3239/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-12 09:55:07] #3240/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-12 09:55:44] #3241/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-12 09:56:29] #3242/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.657 | conf=0.816 | gap=0.714
[2026-05-12 09:56:44] #3243/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 09:57:21] #3244/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.611 | conf=0.700 | gap=0.400
[2026-05-12 09:59:18] #3246/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.362 | conf=0.882 | gap=0.765
[2026-05-12 09:59:36] #3247/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:00:23] #3248/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.717 | conf=0.800 | gap=0.720
[2026-05-12 10:01:06] #3249/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.447 | conf=0.900 | gap=0.850
[2026-05-12 10:01:59] #3250/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:02:46] #3251/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.560 | conf=0.816 | gap=0.663
[2026-05-12 10:03:22] #3252/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.211 | conf=0.960 | gap=0.939
[2026-05-12 10:03:38] #3253/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:03:59] #3254/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:04:16] #3255/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:04:38] #3256/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:04:57] #3257/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:05:17] #3258/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:06:11] #3259/05900 | true=Lay(5) | pred=Lay-stand(6) | ✗ | ent=0.761 | conf=0.778 | gap=0.667
[2026-05-12 10:06:36] #3260/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.739 | conf=0.778 | gap=0.667
[2026-05-12 10:06:56] #3261/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:07:55] #3262/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.348 | conf=0.930 | gap=0.910
[2026-05-12 10:08:33] #3263/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.230 | conf=0.950 | gap=0.910
[2026-05-12 10:08:50] #3264/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.293 | conf=0.940 | gap=0.920
[2026-05-12 10:09:12] #3265/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:09:32] #3266/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:10:04] #3267/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.119 | conf=0.980 | gap=0.970
[2026-05-12 10:10:29] #3268/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:10:48] #3269/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:11:11] #3270/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:12:28] #3272/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:13:23] #3273/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-12 10:14:09] #3274/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-12 10:15:46] #3275/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.365 | conf=0.920 | gap=0.890
[2026-05-12 10:16:08] #3276/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.343 | conf=0.926 | gap=0.895
[2026-05-12 10:16:30] #3277/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:17:52] #3278/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-12 10:18:10] #3279/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:18:52] #3280/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-12 10:19:08] #3281/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:19:30] #3282/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:19:43] #3283/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:20:24] #3284/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:21:36] #3285/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-12 10:23:23] #3286/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.721 | conf=0.750 | gap=0.550
[2026-05-12 10:24:00] #3287/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:24:21] #3288/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:24:57] #3289/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:25:40] #3290/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.262 | conf=0.947 | gap=0.926
[2026-05-12 10:26:06] #3291/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:27:10] #3292/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-12 10:28:03] #3293/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.492 | conf=0.880 | gap=0.820
[2026-05-12 10:28:29] #3294/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:29:24] #3295/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.879 | conf=0.550 | gap=0.150
[2026-05-12 10:30:02] #3296/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.362 | conf=0.920 | gap=0.880
[2026-05-12 10:30:34] #3297/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.332 | conf=0.929 | gap=0.899
[2026-05-12 10:30:51] #3298/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:31:10] #3299/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:31:22] #3300/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:32:02] #3301/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.154 | conf=0.970 | gap=0.950
[2026-05-12 10:32:34] #3302/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.351 | conf=0.920 | gap=0.870
[2026-05-12 10:32:49] #3303/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 10:33:44] #3304/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.246 | conf=0.950 | gap=0.920
[2026-05-12 10:34:10] #3305/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-12 10:34:33] #3306/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:34:45] #3307/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.298 | conf=0.939 | gap=0.918
[2026-05-12 10:35:02] #3308/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.742 | conf=0.800 | gap=0.700
[2026-05-12 10:35:17] #3309/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.351 | conf=0.924 | gap=0.891
[2026-05-12 10:35:51] #3310/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.351 | conf=0.920 | gap=0.870
[2026-05-12 10:36:15] #3311/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-12 10:36:26] #3312/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:36:54] #3313/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:37:17] #3314/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-12 10:37:29] #3315/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.302 | conf=0.938 | gap=0.917
[2026-05-12 10:37:57] #3316/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.255 | conf=0.949 | gap=0.929
[2026-05-12 10:38:09] #3317/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.168 | conf=0.970 | gap=0.960
[2026-05-12 10:38:18] #3318/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 10:38:28] #3319/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:38:38] #3320/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:38:54] #3321/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.337 | conf=0.928 | gap=0.897
[2026-05-12 10:39:08] #3322/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:39:20] #3323/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-12 10:40:20] #3325/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:40:58] #3326/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-12 10:42:33] #3327/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.445 | conf=0.895 | gap=0.842
[2026-05-12 10:42:44] #3328/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.337 | conf=0.928 | gap=0.897
[2026-05-12 10:42:57] #3329/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.490 | conf=0.880 | gap=0.830
[2026-05-12 10:43:12] #3330/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:43:41] #3331/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.135 | conf=0.970 | gap=0.940
[2026-05-12 10:43:53] #3332/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:44:07] #3333/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.225 | conf=0.960 | gap=0.949
[2026-05-12 10:44:16] #3334/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:44:59] #3335/05900 | true=Lay(5) | pred=Talk-stand(3) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:45:43] #3336/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.389 | conf=0.900 | gap=0.820
[2026-05-12 10:45:53] #3337/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 10:46:17] #3338/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:47:04] #3339/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.800 | conf=0.750 | gap=0.600
[2026-05-12 10:47:41] #3340/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:47:51] #3341/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:48:01] #3342/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:48:40] #3343/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:49:11] #3344/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-12 10:49:25] #3345/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:50:04] #3346/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:50:17] #3347/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 10:51:01] #3348/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.288 | conf=0.940 | gap=0.910
[2026-05-12 10:51:14] #3349/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-12 10:52:00] #3350/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.445 | conf=0.895 | gap=0.842
[2026-05-12 10:52:13] #3351/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:52:27] #3352/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:52:42] #3353/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.332 | conf=0.928 | gap=0.897
[2026-05-12 10:52:54] #3354/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:53:37] #3355/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.996 | conf=0.550 | gap=0.200
[2026-05-12 10:54:26] #3356/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-12 10:55:40] #3357/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.552 | conf=0.850 | gap=0.750
[2026-05-12 10:56:08] #3358/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-12 10:56:37] #3359/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-12 10:57:06] #3360/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.780 | conf=0.700 | gap=0.450
[2026-05-12 10:57:36] #3361/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 10:58:19] #3362/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-12 10:58:32] #3363/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.262 | conf=0.947 | gap=0.926
[2026-05-12 10:58:42] #3364/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.168 | conf=0.970 | gap=0.960
[2026-05-12 10:59:23] #3365/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 10:59:35] #3366/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 11:01:00] #3367/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.211 | conf=0.960 | gap=0.939
[2026-05-12 11:01:27] #3368/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 11:01:37] #3369/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 11:01:48] #3370/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 11:02:04] #3371/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 11:02:15] #3372/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.211 | conf=0.960 | gap=0.939
[2026-05-12 11:02:40] #3373/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 11:02:57] #3374/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.242 | conf=0.947 | gap=0.916
[2026-05-12 11:03:24] #3375/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.302 | conf=0.938 | gap=0.917
[2026-05-12 11:03:35] #3376/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.098 | conf=0.980 | gap=0.960
[2026-05-12 11:04:02] #3377/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-12 11:04:26] #3378/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 11:05:45] #3379/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=1.286 | conf=0.550 | gap=0.250
[2026-05-12 11:05:58] #3380/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 11:06:06] #3381/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 11:06:51] #3382/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.426 | conf=0.898 | gap=0.847
[2026-05-12 11:07:17] #3383/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.112 | conf=0.980 | gap=0.970
[2026-05-12 11:07:47] #3384/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-12 11:08:14] #3385/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.428 | conf=0.900 | gap=0.850
[2026-05-12 11:08:35] #3386/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.135 | conf=0.970 | gap=0.940
[2026-05-12 11:08:47] #3387/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 11:08:57] #3388/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 11:09:41] #3389/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-12 11:10:25] #3390/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.394 | conf=0.900 | gap=0.850
[2026-05-12 11:10:55] #3391/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 11:11:08] #3392/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 11:11:33] #3393/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.295 | conf=0.939 | gap=0.919
[2026-05-12 11:12:20] #3394/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.251 | conf=0.950 | gap=0.930
[2026-05-12 11:13:22] #3396/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.232 | conf=0.950 | gap=0.920
[2026-05-12 11:13:35] #3397/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 11:13:48] #3398/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 11:14:00] #3399/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.257 | conf=0.948 | gap=0.928
[2026-05-12 11:14:29] #3400/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 11:15:00] #3401/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.265 | conf=0.950 | gap=0.930
[2026-05-12 11:15:48] #3402/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=1.064 | conf=0.700 | gap=0.550
[2026-05-12 11:16:11] #3403/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-12 11:16:42] #3404/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 11:16:57] #3405/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.337 | conf=0.928 | gap=0.897
[2026-05-12 11:17:26] #3406/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.168 | conf=0.970 | gap=0.960
[2026-05-12 11:17:57] #3407/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.257 | conf=0.948 | gap=0.928
[2026-05-12 11:19:22] #3408/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.199 | conf=0.950 | gap=0.900
[2026-05-12 11:19:51] #3409/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 11:20:15] #3410/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.588 | conf=0.850 | gap=0.800
[2026-05-12 11:20:28] #3411/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.255 | conf=0.949 | gap=0.929
[2026-05-12 11:20:42] #3412/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 11:20:57] #3413/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 11:21:12] #3414/05900 | true=Lay(5) | pred=Lay(5) | ✓ | ent=0.135 | conf=0.970 | gap=0.940
[2026-05-12 11:22:26] #3415/05900 | true=Lay(5) | pred=Sit(1) | ✗ | ent=0.000 | conf=1.000 | gap=1.000
[2026-05-12 11:22:55] #3416/05900 | true=Lay(5) | pred=Stand(0) | ✗ | ent=0.552 | conf=0.850 | gap=0.750
