[2026-05-11 21:51:29] HARTH class 2 (shuffle) T=0.8
[2026-05-11 21:51:29]   2770 windows
[2026-05-11 21:51:34] #0001/02770 | true=shuffle | pred=sit | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:27:18] #2724/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 12:27:21] #2725/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 12:27:24] #2726/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.366 conf=0.300 gap=0.000
[2026-05-12 12:27:44] #2727/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.670 conf=0.300 gap=0.100
[2026-05-12 12:27:50] #2728/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 12:27:58] #2729/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.446 conf=0.500 gap=0.350
[2026-05-12 12:28:09] #2730/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.742 conf=0.500 gap=0.010
[2026-05-12 12:28:26] #2731/02770 | true=shuffle | pred=stairs_down | ✗ | ent=1.159 conf=0.450 gap=0.050
[2026-05-12 12:28:55] #2732/02770 | true=shuffle | pred=sit | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 12:29:00] #2733/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 12:29:08] #2734/02770 | true=shuffle | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 12:30:23] #2735/02770 | true=shuffle | pred=stairs_down | ✗ | ent=1.197 conf=0.500 gap=0.150
[2026-05-12 12:30:54] #2736/02770 | true=shuffle | pred=lying | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:31:09] #2737/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 12:31:22] #2738/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.697 conf=0.250 gap=0.000
[2026-05-12 12:32:18] #2739/02770 | true=shuffle | pred=walk | ✗ | ent=1.062 conf=0.620 gap=0.440
[2026-05-12 12:32:23] #2740/02770 | true=shuffle | pred=walk | ✗ | ent=1.201 conf=0.600 gap=0.450
[2026-05-12 12:32:23]   [2740/2770] acc=55% filt=2013
[2026-05-12 12:32:30] #2741/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.043 conf=0.740 gap=0.690
[2026-05-12 12:32:38] #2742/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:33:14] #2743/02770 | true=shuffle | pred=walk | ✗ | ent=0.265 conf=0.950 gap=0.930
[2026-05-12 12:33:34] #2744/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.604 conf=0.750 gap=0.510
[2026-05-12 12:34:30] #2745/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 12:34:39] #2746/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.688 conf=0.550 gap=0.100
[2026-05-12 12:35:35] #2747/02770 | true=shuffle | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 12:35:53] #2748/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.529 conf=0.380 gap=0.030
[2026-05-12 12:35:57] #2749/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 12:36:05] #2750/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.906 conf=0.750 gap=0.650
[2026-05-12 12:36:15] #2751/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.102 conf=0.600 gap=0.350
[2026-05-12 12:36:51] #2752/02770 | true=shuffle | pred=stand | ✗ | ent=0.098 conf=0.980 gap=0.960
[2026-05-12 12:38:03] #2753/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.803 conf=0.800 gap=0.740
[2026-05-12 12:38:21] #2754/02770 | true=shuffle | pred=stand | ✗ | ent=1.032 conf=0.650 gap=0.400
[2026-05-12 12:38:33] #2755/02770 | true=shuffle | pred=sit | ✗ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 12:38:42] #2756/02770 | true=shuffle | pred=stand | ✗ | ent=0.112 conf=0.980 gap=0.970
[2026-05-12 12:39:01] #2757/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.053 conf=0.450 gap=0.000
[2026-05-12 12:39:11] #2758/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.688 conf=0.350 gap=0.100
[2026-05-12 12:39:41] #2759/02770 | true=shuffle | pred=stand | ✗ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 12:39:50] #2760/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 12:39:50]   [2760/2770] acc=55% filt=2030
[2026-05-12 12:40:09] #2761/02770 | true=shuffle | pred=stand | ✗ | ent=0.848 conf=0.780 gap=0.660
[2026-05-12 12:40:41] #2762/02770 | true=shuffle | pred=stand | ✗ | ent=0.947 conf=0.750 gap=0.630
[2026-05-12 12:40:50] #2763/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.421 conf=0.880 gap=0.780
[2026-05-12 12:40:53] #2764/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.668 conf=0.300 gap=0.000
[2026-05-12 12:41:32] #2765/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 12:41:57] #2766/02770 | true=shuffle | pred=stairs_down | ✗ | ent=1.304 conf=0.450 gap=0.100
[2026-05-12 12:42:07] #2767/02770 | true=shuffle | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 12:42:22] #2768/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 12:43:21] #2769/02770 | true=shuffle | pred=stand | ✗ | ent=1.070 conf=0.700 gap=0.550
[2026-05-12 12:43:39] #2770/02770 | true=shuffle | pred=stand | ✗ | ent=0.768 conf=0.750 gap=0.550
[2026-05-12 12:43:39] Done: 1510/2770 (55%)
[2026-05-12 22:30:58] HARTH class 2 (shuffle) T=0.8
[2026-05-12 22:30:58]   2770 windows
[2026-05-12 22:30:58] Done: 0/0 (0%)
[2026-05-13 17:51:13] HARTH class 2 (shuffle) T=0.8
[2026-05-13 17:51:13]   2770 windows
[2026-05-13 17:51:31] #0001/02770 | true=shuffle | pred=lying | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 17:51:35] #0002/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 17:51:47] #0003/02770 | true=shuffle | pred=stand | ✗ | ent=1.040 conf=0.500 gap=0.250
[2026-05-13 17:51:53] #0004/02770 | true=shuffle | pred=stand | ✗ | ent=0.791 conf=0.650 gap=0.350
[2026-05-13 17:51:59] #0005/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.279 conf=0.950 gap=0.940
[2026-05-13 17:52:20] #0006/02770 | true=shuffle | pred=lying | ✗ | ent=1.623 conf=0.400 gap=0.150
[2026-05-13 17:52:33] #0007/02770 | true=shuffle | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 17:52:40] #0008/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.466 conf=0.450 gap=0.200
[2026-05-13 17:52:43] #0009/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 17:52:50] #0010/02770 | true=shuffle | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 17:53:00] #0011/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.192 conf=0.550 gap=0.250
[2026-05-13 17:53:08] #0012/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 17:53:17] #0013/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.799 conf=0.700 gap=0.450
[2026-05-13 17:53:30] #0014/02770 | true=shuffle | pred=walk | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-13 17:53:47] #0015/02770 | true=shuffle | pred=walk | ✗ | ent=0.989 conf=0.700 gap=0.580
[2026-05-13 17:54:01] #0016/02770 | true=shuffle | pred=stand | ✗ | ent=0.872 conf=0.740 gap=0.560
[2026-05-13 17:54:13] #0017/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 17:54:26] #0018/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.461 conf=0.900 gap=0.850
[2026-05-13 17:54:33] #0019/02770 | true=shuffle | pred=stand | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-13 17:54:39] #0020/02770 | true=shuffle | pred=stand | ✗ | ent=0.668 conf=0.850 gap=0.800
[2026-05-13 17:54:39]   [20/2770] acc=45% filt=14
[2026-05-13 17:54:48] #0021/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.414 conf=0.400 gap=0.050
[2026-05-13 17:54:51] #0022/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-13 17:54:59] #0023/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.085 conf=0.450 gap=0.000
[2026-05-13 17:55:19] #0024/02770 | true=shuffle | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 17:55:31] #0025/02770 | true=shuffle | pred=stand | ✗ | ent=1.330 conf=0.550 gap=0.350
[2026-05-13 17:55:43] #0026/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.644 conf=0.300 gap=0.000
[2026-05-13 17:56:01] #0027/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.018 conf=0.450 gap=0.000
[2026-05-13 17:56:24] #0028/02770 | true=shuffle | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 17:56:29] #0029/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-13 17:56:32] #0030/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-13 17:56:47] #0031/02770 | true=shuffle | pred=sit | ✗ | ent=0.856 conf=0.800 gap=0.740
[2026-05-13 17:57:05] #0032/02770 | true=shuffle | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 17:57:08] #0033/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 17:57:23] #0034/02770 | true=shuffle | pred=sit | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 17:57:26] #0035/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 17:57:43] #0036/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 17:57:50] #0037/02770 | true=shuffle | pred=stand | ✗ | ent=0.999 conf=0.500 gap=0.150
[2026-05-13 17:58:16] #0038/02770 | true=shuffle | pred=stairs_down | ✗ | ent=1.658 conf=0.350 gap=0.070
[2026-05-13 17:58:22] #0039/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.004 conf=0.720 gap=0.570
[2026-05-13 17:58:28] #0040/02770 | true=shuffle | pred=stand | ✗ | ent=0.892 conf=0.750 gap=0.600
[2026-05-13 17:58:28]   [40/2770] acc=45% filt=26
[2026-05-13 17:58:44] #0041/02770 | true=shuffle | pred=stand | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-13 17:59:09] #0042/02770 | true=shuffle | pred=stand | ✗ | ent=0.500 conf=0.800 gap=0.600
[2026-05-13 17:59:26] #0043/02770 | true=shuffle | pred=lying | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 17:59:43] #0044/02770 | true=shuffle | pred=stand | ✗ | ent=1.414 conf=0.400 gap=0.050
[2026-05-13 17:59:46] #0045/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.873 conf=0.250 gap=0.050
[2026-05-13 17:59:59] #0046/02770 | true=shuffle | pred=walk | ✗ | ent=0.224 conf=0.950 gap=0.910
[2026-05-13 18:00:04] #0047/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-13 18:00:08] #0048/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.898 conf=0.600 gap=0.300
[2026-05-13 18:00:31] #0049/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-13 18:00:41] #0050/02770 | true=shuffle | pred=walk | ✗ | ent=0.112 conf=0.980 gap=0.970
[2026-05-13 18:00:56] #0051/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 18:01:11] #0052/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.156 conf=0.450 gap=0.050
[2026-05-13 18:01:34] #0053/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.134 conf=0.650 gap=0.500
[2026-05-13 18:01:44] #0054/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.355 conf=0.500 gap=0.300
[2026-05-13 18:01:55] #0055/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.379 conf=0.450 gap=0.100
[2026-05-13 18:01:59] #0056/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 18:02:06] #0057/02770 | true=shuffle | pred=stand | ✗ | ent=0.791 conf=0.650 gap=0.350
[2026-05-13 18:02:29] #0058/02770 | true=shuffle | pred=lying | ✗ | ent=0.613 conf=0.800 gap=0.650
[2026-05-13 18:02:43] #0059/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-13 18:03:02] #0060/02770 | true=shuffle | pred=walk | ✗ | ent=0.447 conf=0.900 gap=0.850
[2026-05-13 18:03:02]   [60/2770] acc=48% filt=40
[2026-05-13 18:03:16] #0061/02770 | true=shuffle | pred=lying | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 18:03:22] #0062/02770 | true=shuffle | pred=stand | ✗ | ent=0.000 conf=1.000 gap=1.000
[2026-05-13 18:03:36] #0063/02770 | true=shuffle | pred=walk | ✗ | ent=1.190 conf=0.650 gap=0.550
[2026-05-13 18:03:40] #0064/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.986 conf=0.480 gap=0.020
[2026-05-13 18:03:43] #0065/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.857 conf=0.650 gap=0.400
[2026-05-13 18:03:56] #0066/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.132 conf=0.700 gap=0.600
[2026-05-13 18:04:08] #0067/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 18:04:11] #0068/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.055 conf=0.400 gap=0.000
[2026-05-13 18:04:18] #0069/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 18:04:39] #0070/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.680 conf=0.850 gap=0.790
[2026-05-13 18:04:52] #0071/02770 | true=shuffle | pred=walk | ✗ | ent=1.237 conf=0.650 gap=0.550
[2026-05-13 18:05:05] #0072/02770 | true=shuffle | pred=stairs_down | ✗ | ent=1.779 conf=0.300 gap=0.050
[2026-05-13 18:05:18] #0073/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-13 18:05:21] #0074/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 18:05:28] #0075/02770 | true=shuffle | pred=run | ✗ | ent=0.693 conf=0.850 gap=0.800
[2026-05-13 18:05:46] #0076/02770 | true=shuffle | pred=stand | ✗ | ent=0.880 conf=0.750 gap=0.600
[2026-05-13 18:06:06] #0077/02770 | true=shuffle | pred=sit | ✗ | ent=1.147 conf=0.650 gap=0.500
[2026-05-13 18:06:25] #0078/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.746 conf=0.700 gap=0.450
[2026-05-13 18:06:38] #0079/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.462 conf=0.848 gap=0.703
[2026-05-13 18:06:43] #0080/02770 | true=shuffle | pred=sit | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 18:06:43]   [80/2770] acc=49% filt=56
[2026-05-13 18:06:46] #0081/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.018 conf=0.450 gap=0.000
[2026-05-13 18:06:57] #0082/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.457 conf=0.550 gap=0.400
[2026-05-13 18:07:14] #0083/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.224 conf=0.950 gap=0.910
[2026-05-13 18:07:44] #0084/02770 | true=shuffle | pred=stand | ✗ | ent=1.207 conf=0.550 gap=0.250
[2026-05-13 18:08:05] #0085/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-13 18:08:12] #0086/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.132 conf=0.700 gap=0.600
[2026-05-13 18:08:30] #0087/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-13 18:08:50] #0088/02770 | true=shuffle | pred=sit | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-13 18:09:07] #0089/02770 | true=shuffle | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 18:09:20] #0090/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-13 18:09:35] #0091/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 18:09:46] #0092/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 18:09:57] #0093/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.373 conf=0.550 gap=0.400
[2026-05-13 18:10:13] #0094/02770 | true=shuffle | pred=walk | ✗ | ent=1.010 conf=0.700 gap=0.600
[2026-05-13 18:10:25] #0095/02770 | true=shuffle | pred=walk | ✗ | ent=0.475 conf=0.900 gap=0.850
[2026-05-13 18:10:34] #0096/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 18:10:40] #0097/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-13 18:10:43] #0098/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.595 conf=0.350 gap=0.000
[2026-05-13 18:10:53] #0099/02770 | true=shuffle | pred=walk | ✗ | ent=0.394 conf=0.900 gap=0.850
[2026-05-13 18:11:08] #0100/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.993 conf=0.750 gap=0.670
[2026-05-13 18:11:08]   [100/2770] acc=53% filt=73
[2026-05-13 18:11:22] #0101/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-13 18:11:27] #0102/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 18:11:35] #0103/02770 | true=shuffle | pred=sit | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 18:11:57] #0104/02770 | true=shuffle | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 18:12:11] #0105/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-13 18:12:15] #0106/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 18:12:31] #0107/02770 | true=shuffle | pred=walk | ✗ | ent=1.023 conf=0.750 gap=0.700
[2026-05-13 18:12:43] #0108/02770 | true=shuffle | pred=stand | ✗ | ent=0.880 conf=0.750 gap=0.600
[2026-05-13 18:12:49] #0109/02770 | true=shuffle | pred=stand | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 18:13:00] #0110/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.630 conf=0.350 gap=0.100
[2026-05-13 18:13:04] #0111/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.617 conf=0.300 gap=0.000
[2026-05-13 18:13:07] #0112/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 18:13:28] #0113/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.032 conf=0.650 gap=0.400
[2026-05-13 18:13:39] #0114/02770 | true=shuffle | pred=stand | ✗ | ent=0.950 conf=0.600 gap=0.400
[2026-05-13 18:13:43] #0115/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 18:13:55] #0116/02770 | true=shuffle | pred=stand | ✗ | ent=0.773 conf=0.780 gap=0.630
[2026-05-13 18:14:09] #0117/02770 | true=shuffle | pred=walk | ✗ | ent=1.461 conf=0.350 gap=0.050
[2026-05-13 18:14:20] #0118/02770 | true=shuffle | pred=walk | ✗ | ent=0.669 conf=0.850 gap=0.800
[2026-05-13 18:14:27] #0119/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.819 conf=0.700 gap=0.550
[2026-05-13 18:14:39] #0120/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-13 18:14:39]   [120/2770] acc=52% filt=89
[2026-05-13 18:14:45] #0121/02770 | true=shuffle | pred=walk | ✗ | ent=1.554 conf=0.450 gap=0.270
[2026-05-13 18:14:48] #0122/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-13 18:15:09] #0123/02770 | true=shuffle | pred=stand | ✗ | ent=0.518 conf=0.850 gap=0.750
[2026-05-13 18:15:22] #0124/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.043 conf=0.700 gap=0.600
[2026-05-13 18:15:43] #0125/02770 | true=shuffle | pred=stairs_down | ✗ | ent=1.085 conf=0.650 gap=0.450
[2026-05-13 18:15:58] #0126/02770 | true=shuffle | pred=stand | ✗ | ent=1.057 conf=0.740 gap=0.690
[2026-05-13 18:16:10] #0127/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.290 conf=0.500 gap=0.300
[2026-05-13 18:16:19] #0128/02770 | true=shuffle | pred=stand | ✗ | ent=1.190 conf=0.650 gap=0.550
[2026-05-13 18:16:41] #0129/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 18:16:59] #0130/02770 | true=shuffle | pred=stand | ✗ | ent=0.343 conf=0.930 gap=0.900
[2026-05-13 18:17:15] #0131/02770 | true=shuffle | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 18:17:34] #0132/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 18:17:45] #0133/02770 | true=shuffle | pred=lying | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 18:18:05] #0134/02770 | true=shuffle | pred=walk | ✗ | ent=1.569 conf=0.350 gap=0.100
[2026-05-13 18:18:17] #0135/02770 | true=shuffle | pred=stand | ✗ | ent=1.101 conf=0.550 gap=0.200
[2026-05-13 18:18:23] #0136/02770 | true=shuffle | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 18:18:29] #0137/02770 | true=shuffle | pred=walk | ✗ | ent=0.588 conf=0.850 gap=0.800
[2026-05-13 18:18:40] #0138/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-13 18:18:46] #0139/02770 | true=shuffle | pred=stand | ✗ | ent=0.423 conf=0.850 gap=0.700
[2026-05-13 18:18:49] #0140/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-13 18:18:49]   [140/2770] acc=50% filt=106
[2026-05-13 18:18:52] #0141/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-13 18:19:01] #0142/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.307 conf=0.500 gap=0.200
[2026-05-13 18:19:12] #0143/02770 | true=shuffle | pred=walk | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 18:19:26] #0144/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.163 conf=0.500 gap=0.150
[2026-05-13 18:19:45] #0145/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.814 conf=0.800 gap=0.700
[2026-05-13 18:20:12] #0146/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-13 18:20:34] #0147/02770 | true=shuffle | pred=sit | ✗ | ent=0.837 conf=0.800 gap=0.740
[2026-05-13 18:20:47] #0148/02770 | true=shuffle | pred=stand | ✗ | ent=1.469 conf=0.350 gap=0.000
[2026-05-13 18:21:05] #0149/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.154 conf=0.650 gap=0.550
[2026-05-13 18:21:07] #0150/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 18:21:19] #0151/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-13 18:21:22] #0152/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 18:21:43] #0153/02770 | true=shuffle | pred=stand | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 18:21:47] #0154/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-13 18:21:58] #0155/02770 | true=shuffle | pred=stairs_up | ✗ | ent=1.313 conf=0.400 gap=0.000
[2026-05-13 18:22:04] #0156/02770 | true=shuffle | pred=stand | ✗ | ent=0.627 conf=0.850 gap=0.790
[2026-05-13 18:22:26] #0157/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-13 18:22:40] #0158/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.888 conf=0.770 gap=0.650
[2026-05-13 18:22:51] #0159/02770 | true=shuffle | pred=stairs_down | ✗ | ent=0.688 conf=0.550 gap=0.100
[2026-05-13 18:22:54] #0160/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.474 conf=0.350 gap=0.050
[2026-05-13 18:22:54]   [160/2770] acc=51% filt=118
[2026-05-13 18:23:01] #0161/02770 | true=shuffle | pred=stand | ✗ | ent=0.647 conf=0.650 gap=0.300
[2026-05-13 18:23:20] #0162/02770 | true=shuffle | pred=stairs_down | ✗ | ent=1.076 conf=0.550 gap=0.200
[2026-05-13 18:23:33] #0163/02770 | true=shuffle | pred=sit | ✗ | ent=0.325 conf=0.900 gap=0.800
[2026-05-13 18:23:46] #0164/02770 | true=shuffle | pred=stairs_up | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-13 18:23:57] #0165/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.017 conf=0.750 gap=0.700
[2026-05-13 18:24:00] #0166/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-13 18:24:14] #0167/02770 | true=shuffle | pred=stand | ✗ | ent=0.768 conf=0.800 gap=0.680
[2026-05-13 18:24:29] #0168/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.195 conf=0.680 gap=0.600
