[2026-05-11 21:51:38] #0002/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 02:20:29] #0765/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:20:43] #0766/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 02:21:12] #0767/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:21:20] #0768/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 02:21:24] #0769/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:22:04] #0771/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.417 conf=0.500 gap=0.250
[2026-05-12 02:23:02] #0774/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.498 conf=0.850 gap=0.730
[2026-05-12 02:23:47] #0776/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.274 conf=0.650 gap=0.550
[2026-05-12 02:24:44] #0777/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 02:24:51] #0778/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:24:57] #0779/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:25:00] #0780/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:25:47] #0783/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.672 conf=0.350 gap=0.050
[2026-05-12 02:26:40] #0786/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.040 conf=0.500 gap=0.250
[2026-05-12 02:26:44] #0787/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.378 conf=0.550 gap=0.320
[2026-05-12 02:27:30] #0790/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 02:27:35] #0791/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:27:40] #0792/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:28:19] #0794/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.828 conf=0.250 gap=0.030
[2026-05-12 02:29:58] #0796/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.680 conf=0.850 gap=0.790
[2026-05-12 02:30:11] #0797/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.543 conf=0.350 gap=0.050
[2026-05-12 02:30:19] #0798/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.014 conf=0.700 gap=0.520
[2026-05-12 02:30:59] #0799/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 02:31:53] #0802/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 02:32:04] #0804/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.802 conf=0.700 gap=0.500
[2026-05-12 02:33:24] #0806/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.271 conf=0.600 gap=0.450
[2026-05-12 02:33:34] #0807/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 02:34:32] #0810/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.359 conf=0.620 gap=0.540
[2026-05-12 02:35:20] #0813/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.280 conf=0.600 gap=0.400
[2026-05-12 02:35:51] #0814/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:35:53] #0815/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:35:59] #0816/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:36:40] #0818/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.765 conf=0.350 gap=0.150
[2026-05-12 02:38:22] #0820/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:38:25] #0821/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 02:38:38] #0822/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 02:38:41] #0823/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.825 conf=0.250 gap=0.000
[2026-05-12 02:38:54] #0824/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.338 conf=0.420 gap=0.020
[2026-05-12 02:39:09] #0825/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.474 conf=0.400 gap=0.050
[2026-05-12 02:39:39] #0827/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:40:37] #0830/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.139 conf=0.550 gap=0.250
[2026-05-12 02:40:54] #0832/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.228 conf=0.600 gap=0.400
[2026-05-12 02:40:58] #0833/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.375 conf=0.550 gap=0.350
[2026-05-12 02:41:09] #0834/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.347 conf=0.550 gap=0.400
[2026-05-12 02:41:55] #0836/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.442 conf=0.900 gap=0.850
[2026-05-12 02:42:25] #0837/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.448 conf=0.550 gap=0.430
[2026-05-12 02:43:36] #0842/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:43:52] #0843/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:46:09] #0851/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.482 conf=0.900 gap=0.850
[2026-05-12 02:47:35] #0856/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.247 conf=0.480 gap=0.130
[2026-05-12 02:48:07] #0857/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:50:12] #0863/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:51:14] #0866/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 02:51:44] #0867/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:51:54] #0868/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.275 conf=0.550 gap=0.300
[2026-05-12 02:51:58] #0869/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.985 conf=0.490 gap=0.040
[2026-05-12 02:52:40] #0872/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 02:53:05] #0874/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.857 conf=0.650 gap=0.400
[2026-05-12 02:54:06] #0875/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.170 conf=0.650 gap=0.470
[2026-05-12 02:54:33] #0876/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 02:55:18] #0878/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.342 conf=0.550 gap=0.300
[2026-05-12 02:56:05] #0880/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.814 conf=0.800 gap=0.700
[2026-05-12 02:57:00] #0883/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 02:57:04] #0884/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 02:57:29] #0886/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.118 conf=0.500 gap=0.100
[2026-05-12 02:58:33] #0888/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.366 conf=0.300 gap=0.000
[2026-05-12 03:00:23] #0891/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 03:00:51] #0892/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 03:01:55] #0894/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 03:02:16] #0895/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 03:03:26] #0899/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 03:04:03] #0900/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.754 conf=0.750 gap=0.550
[2026-05-12 03:04:10] #0901/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.639 conf=0.800 gap=0.700
[2026-05-12 03:04:54] #0904/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.856 conf=0.800 gap=0.730
[2026-05-12 03:04:56] #0905/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.680 conf=0.250 gap=0.000
[2026-05-12 03:08:59] #0912/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.647 conf=0.650 gap=0.300
[2026-05-12 03:10:00] #0915/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.710 conf=0.300 gap=0.050
[2026-05-12 03:10:12] #0916/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 03:10:24] #0917/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 03:10:31] #0918/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:12:02] #0919/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:12:32] #0920/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 03:12:51] #0921/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:12:54] #0922/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.777 conf=0.490 gap=0.000
[2026-05-12 03:13:07] #0923/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.986 conf=0.470 gap=0.000
[2026-05-12 03:13:37] #0925/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 03:15:14] #0928/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 03:15:38] #0930/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.985 conf=0.490 gap=0.040
[2026-05-12 03:16:11] #0931/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.163 conf=0.700 gap=0.620
[2026-05-12 03:18:26] #0934/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.665 conf=0.350 gap=0.150
[2026-05-12 03:19:44] #0936/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.551 conf=0.850 gap=0.740
[2026-05-12 03:20:25] #0937/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.992 conf=0.700 gap=0.510
[2026-05-12 03:20:59] #0939/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:21:18] #0940/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.375 conf=0.550 gap=0.350
[2026-05-12 03:23:02] #0945/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.484 conf=0.400 gap=0.150
[2026-05-12 03:24:21] #0947/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 03:26:25] #0951/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.900 gap=0.880
[2026-05-12 03:26:54] #0952/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.330 conf=0.550 gap=0.350
[2026-05-12 03:27:02] #0953/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.949 conf=0.450 gap=0.000
[2026-05-12 03:28:27] #0957/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 03:28:45] #0958/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 03:29:10] #0960/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 03:30:31] #0963/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:30:52] #0964/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.840 conf=0.780 gap=0.680
[2026-05-12 03:31:06] #0965/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.063 conf=0.550 gap=0.200
[2026-05-12 03:32:05] #0967/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:32:51] #0968/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.979 conf=0.650 gap=0.400
[2026-05-12 03:34:17] #0973/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.926 conf=0.650 gap=0.400
[2026-05-12 03:34:28] #0974/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.931 conf=0.650 gap=0.370
[2026-05-12 03:34:42] #0975/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.412 conf=0.550 gap=0.370
[2026-05-12 03:35:40] #0977/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 03:35:55] #0978/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 03:35:59] #0979/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 03:36:25] #0981/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.543 conf=0.796 gap=0.599
[2026-05-12 03:38:14] #0986/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.529 conf=0.500 gap=0.350
[2026-05-12 03:38:23] #0987/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.871 conf=0.650 gap=0.350
[2026-05-12 03:39:01] #0989/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 03:39:26] #0991/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 03:39:40] #0992/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 03:40:07] #0993/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.327 conf=0.550 gap=0.300
[2026-05-12 03:42:02] #0996/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 03:42:26] #0997/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:42:37] #0998/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.265 conf=0.940 gap=0.900
[2026-05-12 03:43:46] #1001/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 03:44:45] #1002/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.825 conf=0.750 gap=0.600
[2026-05-12 03:45:28] #1004/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 03:45:31] #1005/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.005 conf=0.550 gap=0.170
[2026-05-12 03:45:50] #1007/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.426 conf=0.450 gap=0.250
[2026-05-12 03:46:24] #1008/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 03:46:36] #1009/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.326 conf=0.600 gap=0.450
[2026-05-12 03:47:18] #1011/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.682 conf=0.400 gap=0.220
[2026-05-12 03:47:22] #1012/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.110 conf=0.450 gap=0.000
[2026-05-12 03:47:43] #1013/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:49:20] #1016/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 03:49:45] #1017/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:50:18] #1019/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.537 conf=0.400 gap=0.150
[2026-05-12 03:51:14] #1021/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.539 conf=0.450 gap=0.300
[2026-05-12 03:51:39] #1023/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.871 conf=0.780 gap=0.730
[2026-05-12 03:51:43] #1024/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 03:51:47] #1025/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 03:52:21] #1027/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.526 conf=0.500 gap=0.350
[2026-05-12 03:53:51] #1031/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.746 conf=0.700 gap=0.450
[2026-05-12 03:53:55] #1032/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 03:54:10] #1034/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 03:54:30] #1035/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 03:54:41] #1036/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 03:54:44] #1037/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.448 conf=0.350 gap=0.050
[2026-05-12 03:54:52] #1038/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 03:55:09] #1040/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 03:55:34] #1041/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.680 conf=0.850 gap=0.790
[2026-05-12 03:55:38] #1042/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 03:56:08] #1043/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 03:57:50] #1046/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 03:58:06] #1047/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 03:58:09] #1048/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 03:58:15] #1049/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.423 conf=0.850 gap=0.700
[2026-05-12 04:00:19] #1054/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 04:00:46] #1056/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.414 conf=0.400 gap=0.050
[2026-05-12 04:01:00] #1057/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.217 conf=0.550 gap=0.250
[2026-05-12 04:01:07] #1058/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 04:01:10] #1059/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 04:01:22] #1061/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.664 conf=0.350 gap=0.050
[2026-05-12 04:03:40] #1065/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 04:03:54] #1066/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 04:03:58] #1067/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 04:05:36] #1070/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.972 conf=0.550 gap=0.170
[2026-05-12 04:05:47] #1071/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.070 conf=0.700 gap=0.550
[2026-05-12 04:06:00] #1072/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 04:06:26] #1074/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.085 conf=0.720 gap=0.640
[2026-05-12 04:08:14] #1076/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 04:08:30] #1077/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.827 conf=0.700 gap=0.460
[2026-05-12 04:08:42] #1079/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 04:09:23] #1082/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 04:09:34] #1083/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 04:10:07] #1086/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 04:10:16] #1087/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:12:12] #1092/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 04:13:33] #1094/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.791 conf=0.650 gap=0.350
[2026-05-12 04:13:52] #1095/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.394 conf=0.900 gap=0.850
[2026-05-12 04:14:47] #1098/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 04:15:17] #1100/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.611 conf=0.450 gap=0.280
[2026-05-12 04:15:53] #1102/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 04:16:19] #1104/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 04:16:41] #1106/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:16:53] #1107/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.947 conf=0.200 gap=0.000
[2026-05-12 04:17:03] #1108/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.996 conf=0.550 gap=0.200
[2026-05-12 04:17:23] #1109/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.056 conf=0.990 gap=0.980
[2026-05-12 04:17:26] #1110/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 04:17:47] #1111/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.235 conf=0.550 gap=0.350
[2026-05-12 04:18:15] #1112/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.288 conf=0.450 gap=0.250
[2026-05-12 04:20:08] #1118/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.321 conf=0.330 gap=0.000
[2026-05-12 04:20:21] #1119/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 04:20:28] #1120/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.079 conf=0.700 gap=0.600
[2026-05-12 04:20:33] #1121/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 04:21:09] #1122/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 04:21:29] #1123/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 04:22:21] #1125/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.753 conf=0.250 gap=0.000
[2026-05-12 04:22:34] #1126/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.426 conf=0.500 gap=0.250
[2026-05-12 04:22:45] #1127/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.985 conf=0.490 gap=0.040
[2026-05-12 04:23:06] #1128/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.101 conf=0.550 gap=0.200
[2026-05-12 04:23:45] #1131/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.673 conf=0.600 gap=0.200
[2026-05-12 04:23:54] #1132/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.406 conf=0.400 gap=0.020
[2026-05-12 04:24:56] #1133/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 04:25:02] #1134/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.488 conf=0.400 gap=0.100
[2026-05-12 04:25:23] #1135/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
[2026-05-12 04:25:35] #1136/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 04:26:58] #1138/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.500 conf=0.800 gap=0.600
[2026-05-12 04:27:02] #1139/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.089 conf=0.400 gap=0.100
[2026-05-12 04:27:05] #1140/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 04:27:12] #1141/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 04:27:56] #1142/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.562 conf=0.750 gap=0.500
[2026-05-12 04:27:59] #1143/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 04:28:18] #1144/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 04:28:28] #1146/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.441 conf=0.350 gap=0.100
[2026-05-12 04:28:32] #1147/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.325 conf=0.900 gap=0.800
[2026-05-12 04:28:51] #1149/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.765 conf=0.200 gap=0.000
[2026-05-12 04:29:02] #1150/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.995 conf=0.700 gap=0.550
[2026-05-12 04:29:45] #1153/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.693 conf=0.500 gap=0.000
[2026-05-12 04:30:04] #1154/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.012 conf=0.750 gap=0.700
[2026-05-12 04:30:09] #1155/02770 | true=shuffle | pred=shuffle | ✓ | ent=1.322 conf=0.550 gap=0.300
[2026-05-12 04:30:12] #1156/02770 | true=shuffle | pred=shuffle | ✓ | ent=0.611 conf=0.700 gap=0.400
