[2026-05-12 10:27:49] PAMAP2 class 2 (standing) start T=0.8
[2026-05-12 10:27:49]   1989 windows
[2026-05-12 10:28:04] #0001/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 15:15:28] #0936/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 15:15:40] #0937/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 15:15:58] #0938/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 15:16:19] #0939/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.384 conf=0.920 gap=0.890
[2026-05-12 15:16:28] #0940/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.628 conf=0.820 gap=0.700
[2026-05-12 15:16:28]   [940/1989] acc=701/940=75% filt=905
[2026-05-12 15:16:38] #0941/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.258 conf=0.950 gap=0.930
[2026-05-12 15:16:50] #0942/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.453 conf=0.900 gap=0.860
[2026-05-12 15:16:59] #0943/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.739 conf=0.800 gap=0.720
[2026-05-12 15:17:22] #0944/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 15:17:34] #0945/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 15:17:47] #0946/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.850 gap=0.780
[2026-05-12 15:17:59] #0947/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 15:18:10] #0948/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.428 conf=0.900 gap=0.850
[2026-05-12 15:18:21] #0949/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 15:18:37] #0950/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.800 gap=0.650
[2026-05-12 15:18:48] #0951/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 15:19:00] #0952/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 15:19:12] #0953/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.825 conf=0.750 gap=0.600
[2026-05-12 15:19:23] #0954/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.733 conf=0.800 gap=0.700
[2026-05-12 15:19:50] #0955/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.571 conf=0.840 gap=0.720
[2026-05-12 15:20:16] #0956/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.000 conf=1.000 gap=1.000
[2026-05-12 15:20:25] #0957/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.964 conf=0.700 gap=0.550
[2026-05-12 15:20:50] #0958/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=1.186 conf=0.450 gap=0.100
[2026-05-12 15:21:15] #0959/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 15:21:36] #0960/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 15:21:36]   [960/1989] acc=717/960=75% filt=924
[2026-05-12 15:21:54] #0961/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.155 conf=0.500 gap=0.150
[2026-05-12 15:22:02] #0962/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.415 conf=0.900 gap=0.840
[2026-05-12 15:22:29] #0963/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.566 conf=0.850 gap=0.750
[2026-05-12 15:22:54] #0964/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.682 conf=0.820 gap=0.720
[2026-05-12 15:23:04] #0965/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 15:23:16] #0966/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 15:23:32] #0967/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 15:23:46] #0968/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 15:23:58] #0969/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 15:24:10] #0970/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 15:24:19] #0971/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.850 gap=0.790
[2026-05-12 15:24:32] #0972/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.471 conf=0.880 gap=0.800
[2026-05-12 15:24:42] #0973/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 15:24:55] #0974/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.857 conf=0.700 gap=0.480
[2026-05-12 15:25:17] #0975/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.518 conf=0.850 gap=0.750
[2026-05-12 15:25:30] #0976/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 15:25:55] #0977/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=1.103 conf=0.600 gap=0.370
[2026-05-12 15:26:06] #0978/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.733 conf=0.800 gap=0.700
[2026-05-12 15:26:21] #0979/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 15:26:33] #0980/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.624 conf=0.850 gap=0.800
[2026-05-12 15:26:33]   [980/1989] acc=733/980=75% filt=943
[2026-05-12 15:26:51] #0981/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 15:27:01] #0982/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.678 conf=0.820 gap=0.720
[2026-05-12 15:27:15] #0983/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 15:27:41] #0984/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=0.898 conf=0.550 gap=0.150
[2026-05-12 15:27:54] #0985/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 15:28:05] #0986/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 15:28:29] #0987/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 15:28:49] #0988/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.196 conf=0.960 gap=0.940
[2026-05-12 15:29:12] #0989/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.444 conf=0.900 gap=0.860
[2026-05-12 15:29:33] #0990/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.458 conf=0.900 gap=0.860
[2026-05-12 15:29:46] #0991/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.907 conf=0.720 gap=0.570
[2026-05-12 15:29:51] #0992/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 15:30:04] #0993/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.453 conf=0.900 gap=0.860
[2026-05-12 15:30:15] #0994/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.825 conf=0.750 gap=0.600
[2026-05-12 15:31:01] #0995/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.764 conf=0.750 gap=0.570
[2026-05-12 15:31:12] #0996/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.028 conf=0.620 gap=0.370
[2026-05-12 15:31:25] #0997/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.094 conf=0.650 gap=0.500
[2026-05-12 15:31:50] #0998/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.783 conf=0.780 gap=0.680
[2026-05-12 15:31:59] #0999/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 15:32:12] #1000/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 15:32:12]   [1000/1989] acc=748/1000=75% filt=963
[2026-05-12 15:32:23] #1001/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.800 conf=0.750 gap=0.600
[2026-05-12 15:32:32] #1002/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 15:32:44] #1003/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 15:32:56] #1004/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 15:33:13] #1005/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.876 conf=0.750 gap=0.650
[2026-05-12 15:33:29] #1006/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 15:33:44] #1007/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 15:33:55] #1008/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.453 conf=0.900 gap=0.860
[2026-05-12 15:34:10] #1009/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.051 conf=0.650 gap=0.450
[2026-05-12 15:34:38] #1010/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.893 conf=0.550 gap=0.150
[2026-05-12 15:34:52] #1011/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 15:35:16] #1012/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.434 conf=0.900 gap=0.840
[2026-05-12 15:35:27] #1013/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.384 conf=0.920 gap=0.890
[2026-05-12 15:35:39] #1014/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 15:36:02] #1015/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.530 conf=0.860 gap=0.760
[2026-05-12 15:36:12] #1016/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.826 conf=0.750 gap=0.650
[2026-05-12 15:36:35] #1017/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 15:37:01] #1018/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=1.102 conf=0.600 gap=0.350
[2026-05-12 15:37:26] #1019/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 15:37:51] #1020/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 15:37:51]   [1020/1989] acc=763/1020=75% filt=983
[2026-05-12 15:38:01] #1021/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 15:38:11] #1022/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 15:38:20] #1023/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.568 conf=0.850 gap=0.770
[2026-05-12 15:38:26] #1024/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-12 15:38:52] #1025/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 15:39:21] #1026/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.556 conf=0.870 gap=0.820
[2026-05-12 15:39:47] #1027/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 15:39:59] #1028/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 15:40:03] #1029/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.778 conf=0.800 gap=0.750
[2026-05-12 15:40:21] #1030/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.537 conf=0.870 gap=0.800
[2026-05-12 15:40:44] #1031/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.227 conf=0.940 gap=0.880
[2026-05-12 15:40:54] #1032/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.731 conf=0.780 gap=0.630
[2026-05-12 15:41:07] #1033/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 15:41:34] #1034/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=1.089 conf=0.500 gap=0.250
[2026-05-12 15:41:45] #1035/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 15:41:57] #1036/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.713 conf=0.800 gap=0.680
[2026-05-12 15:42:09] #1037/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 15:42:36] #1038/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 15:42:52] #1039/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 15:43:05] #1040/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 15:43:05]   [1040/1989] acc=778/1040=75% filt=1002
[2026-05-12 15:43:33] #1041/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.938 conf=0.550 gap=0.170
[2026-05-12 15:43:44] #1042/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 15:43:58] #1043/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.619 conf=0.850 gap=0.790
[2026-05-12 15:44:08] #1044/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.384 conf=0.920 gap=0.890
[2026-05-12 15:44:22] #1045/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.791 conf=0.700 gap=0.450
[2026-05-12 15:44:33] #1046/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.698 conf=0.820 gap=0.740
[2026-05-12 15:44:55] #1047/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=0.927 conf=0.550 gap=0.200
[2026-05-12 15:45:20] #1048/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.010 conf=0.700 gap=0.600
[2026-05-12 15:45:33] #1049/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.638 conf=0.820 gap=0.700
[2026-05-12 15:45:45] #1050/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 15:45:59] #1051/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=1.186 conf=0.450 gap=0.100
[2026-05-12 15:46:13] #1052/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 15:46:32] #1053/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 15:46:46] #1054/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.647 conf=0.820 gap=0.700
[2026-05-12 15:46:58] #1055/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.850 gap=0.780
[2026-05-12 15:47:26] #1056/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=1.041 conf=0.520 gap=0.140
[2026-05-12 15:47:36] #1057/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.384 conf=0.920 gap=0.890
[2026-05-12 15:49:58] #1058/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 15:50:15] #1059/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.786 conf=0.750 gap=0.570
[2026-05-12 15:50:21] #1060/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 15:50:21]   [1060/1989] acc=791/1060=75% filt=1021
[2026-05-12 15:50:35] #1061/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.733 conf=0.800 gap=0.700
[2026-05-12 15:50:49] #1062/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 15:51:11] #1063/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.224 conf=0.950 gap=0.910
[2026-05-12 15:51:35] #1064/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.551 conf=0.850 gap=0.740
[2026-05-12 15:52:00] #1065/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.688 conf=0.800 gap=0.660
[2026-05-12 15:52:12] #1066/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.638 conf=0.830 gap=0.730
[2026-05-12 15:52:35] #1067/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 15:52:58] #1068/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.485 conf=0.880 gap=0.800
[2026-05-12 15:53:10] #1069/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 15:53:20] #1070/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 15:53:46] #1071/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 15:53:57] #1072/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.571 conf=0.850 gap=0.750
[2026-05-12 15:54:41] #1073/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=0.984 conf=0.700 gap=0.550
[2026-05-12 15:54:53] #1074/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.613 conf=0.850 gap=0.780
[2026-05-12 15:55:09] #1075/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.682 conf=0.820 gap=0.720
[2026-05-12 15:55:21] #1076/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.175 conf=0.600 gap=0.450
[2026-05-12 15:55:34] #1077/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 15:55:47] #1078/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.876 conf=0.750 gap=0.650
[2026-05-12 15:56:06] #1079/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 15:56:37] #1080/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.856 conf=0.750 gap=0.630
[2026-05-12 15:56:37]   [1080/1989] acc=806/1080=75% filt=1041
[2026-05-12 15:56:50] #1081/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 15:57:03] #1082/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.588 conf=0.850 gap=0.800
[2026-05-12 15:57:21] #1083/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.999 conf=0.500 gap=0.150
[2026-05-12 15:57:43] #1084/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 15:57:58] #1085/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.863 conf=0.700 gap=0.480
[2026-05-12 15:58:16] #1086/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 15:58:30] #1087/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 15:58:41] #1088/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 15:59:13] #1089/01989 | true=standing(2) | pred=lying(0) | ✗ | ent=0.687 conf=0.750 gap=0.550
[2026-05-12 15:59:24] #1090/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 15:59:35] #1091/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 15:59:51] #1092/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 16:00:04] #1093/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 16:00:27] #1094/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.390 conf=0.920 gap=0.900
[2026-05-12 16:01:03] #1095/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 16:01:15] #1096/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.708 conf=0.800 gap=0.700
[2026-05-12 16:01:27] #1097/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 16:01:40] #1098/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.462 conf=0.900 gap=0.870
[2026-05-12 16:01:52] #1099/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.046 conf=0.500 gap=0.100
[2026-05-12 16:02:03] #1100/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.713 conf=0.800 gap=0.680
[2026-05-12 16:02:03]   [1100/1989] acc=821/1100=75% filt=1059
[2026-05-12 16:02:15] #1101/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.895 conf=0.750 gap=0.650
[2026-05-12 16:02:33] #1102/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.647 conf=0.820 gap=0.700
[2026-05-12 16:03:01] #1103/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=0.898 conf=0.600 gap=0.300
[2026-05-12 16:03:28] #1104/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.876 conf=0.750 gap=0.650
[2026-05-12 16:03:39] #1105/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.825 conf=0.750 gap=0.600
[2026-05-12 16:03:58] #1106/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.376 conf=0.920 gap=0.880
[2026-05-12 16:04:18] #1107/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.610 conf=0.850 gap=0.780
[2026-05-12 16:04:32] #1108/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.621 conf=0.850 gap=0.800
[2026-05-12 16:04:42] #1109/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.876 conf=0.750 gap=0.650
[2026-05-12 16:05:05] #1110/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 16:05:17] #1111/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.032 conf=0.650 gap=0.450
[2026-05-12 16:05:27] #1112/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.602 conf=0.850 gap=0.770
[2026-05-12 16:05:32] #1113/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.375 conf=0.900 gap=0.820
[2026-05-12 16:05:58] #1114/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.593 conf=0.850 gap=0.770
[2026-05-12 16:06:09] #1115/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.689 conf=0.820 gap=0.740
[2026-05-12 16:06:32] #1116/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 16:06:45] #1117/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.781 conf=0.780 gap=0.660
[2026-05-12 16:06:56] #1118/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=1.032 conf=0.650 gap=0.450
[2026-05-12 16:07:09] #1119/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 16:07:21] #1120/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 16:07:21]   [1120/1989] acc=834/1120=74% filt=1079
[2026-05-12 16:07:41] #1121/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.666 conf=0.800 gap=0.650
[2026-05-12 16:07:55] #1122/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.713 conf=0.800 gap=0.680
[2026-05-12 16:08:08] #1123/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.579 conf=0.850 gap=0.780
[2026-05-12 16:08:12] #1124/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.834 conf=0.750 gap=0.600
[2026-05-12 16:08:24] #1125/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.524 conf=0.880 gap=0.830
[2026-05-12 16:08:36] #1126/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.960 conf=0.650 gap=0.400
[2026-05-12 16:09:05] #1127/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.517 conf=0.850 gap=0.730
[2026-05-12 16:09:22] #1128/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.905 conf=0.700 gap=0.500
[2026-05-12 16:09:35] #1129/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.733 conf=0.800 gap=0.700
[2026-05-12 16:09:46] #1130/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.896 conf=0.700 gap=0.500
[2026-05-12 16:10:17] #1131/01989 | true=standing(2) | pred=sitting(1) | ✗ | ent=0.948 conf=0.700 gap=0.550
[2026-05-12 16:10:28] #1132/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.515 conf=0.880 gap=0.830
[2026-05-12 16:10:44] #1133/01989 | true=standing(2) | pred=jogging(4) | ✗ | ent=0.786 conf=0.750 gap=0.570
[2026-05-12 16:10:57] #1134/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.447 conf=0.900 gap=0.850
[2026-05-12 16:11:14] #1135/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 16:11:25] #1136/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.664 conf=0.820 gap=0.740
[2026-05-12 16:11:28] #1137/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.199 conf=0.950 gap=0.900
[2026-05-12 16:11:39] #1138/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.742 conf=0.800 gap=0.700
[2026-05-12 16:12:01] #1139/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.279 conf=0.920 gap=0.840
[2026-05-12 16:12:19] #1140/01989 | true=standing(2) | pred=standing(2) | ✓ | ent=0.647 conf=0.820 gap=0.700
[2026-05-12 16:12:19]   [1140/1989] acc=849/1140=74% filt=1099
[2026-05-12 16:12:46] #1141/01989 | true=standing(2) | pred=walking(3) | ✗ | ent=0.621 conf=0.850 gap=0.800
